"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF1" "ACF2" "ACF3" "racf" "lpacf" "mssd" "Item1" "Item2" "Item3" "Item1.1" "Item2.1" "Item3.1" "Item1.2" "Item2.2" "Item3.2" "Item1.3" "Item2.3" "Item3.3" "Item1.4" "Item2.4" "Item3.4" "Item1.5" "Item2.5" "Item3.5" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1001 "TV-DPCM" 0 0 0 0 0 0 0.553 0.608 0.397 0.343 0.493 0.463 0.733 0.664 0.586 0.827 0.474 0.544 0.819 0.652 0.453 0.458 0.408 0.594 0.405 0.061 0.581 0.438 0.383 0.273 0.29 0.445 0.532 0.404 0.18 0.581 0.365 0.059 0.146 0.532 0.558 0.568 0.715 0.766 0.26
1001 "DPCM" 0 4 0 0 0 0 0.689 0.463 0.254 0.625 0.411 0.345 0.383 0.868 0.616 0.333 0.779 0.56 0.452 0.805 0.46 0.255 0.619 0.452 0.48 0.526 0.023 0.321 0.426 0.461 0.322 0.809 0.196 0.629 0.276 0.686 0.037 0.078 0.157 0.562 0.463 0.428 0.522 0.186 0.495
1001 "BiDim" 0 0 0 0 0 0 0.81 0.392 0.558 0.872 0.29 0.182 0.966 0.823 0.009 0.934 0.715 0.008 0.937 0.755 0.011 0.585 0.589 0.238 0.782 0.933 0.087 0.055 0.212 0.224 0.001 0.931 0.957 0.999 0.696 0.12 0.014 0.127 0.231 0.007 0.139 0.07 0.357 0.726 0.403
1001 "DRIFT" 0 0 0 0 0 0 0.58 0.502 0.442 0.503 0.461 0.444 0.74 0.75 0.732 0.573 0.426 0.763 0.755 0.566 0.642 0.511 0.468 0.583 0.409 0.428 0.671 0.468 0.416 0.376 0.307 0.397 0.442 0.859 0.983 0.965 0.114 0.073 0.059 0.483 0.516 0.53 0.399 0.335 0.253
1001 "GPCM" 0 0 0 0 0 0 0.62 0.383 0.396 0.656 0.424 0.399 0.682 0.192 0.926 0.46 0.165 0.903 0.575 0.22 0.637 0.606 0.337 0.681 0.454 0.247 0.949 0.468 0.734 0.483 0.754 0.029 0.562 0.359 0.987 0.495 0.784 0.065 0.485 0.356 0.207 0.569 0.634 0.846 0.293
1001 "AR3" 0 0 0 0 0 0 0.289 0.548 0.635 0.211 0.718 0.748 0.798 0.734 0.76 0.725 0.812 0.897 0.904 0.802 0.721 0.636 0.506 0.336 0.698 0.541 0.766 0.818 0.497 0.451 0.2 0.209 0.428 0.69 0.32 0.456 0.239 0.185 0.184 0.505 0.5 0.55 0.192 0.736 0.382
1002 "TV-DPCM" 0 0 0 0 0 0 0.631 0.323 0.571 0.784 0.42 0.391 0.75 0.83 0.598 0.733 0.837 0.448 0.743 0.872 0.471 0.605 0.66 0.574 0.314 0.803 0.514 0.453 0.124 0.434 0.195 0.547 0.392 0.984 0.863 0.846 0.931 0.067 0.956 0.464 0.565 0.556 0.692 0.502 0.656
1002 "DPCM" 0 2 0 0 0 0 0.703 0.423 0.437 0.721 0.377 0.299 0.941 0.25 0.594 0.933 0.446 0.379 0.876 0.499 0.473 0.642 0.532 0.487 0.137 0.304 0.258 0.155 0.84 0.453 0.218 0.198 0.782 0.623 0.989 0.424 0.773 0.042 0.687 0.578 0.325 0.235 0.334 0.637 0.829
1002 "BiDim" 0 3 0 0 0 0 0.621 0.48 0.778 0.753 0.39 0.332 0.683 0.993 0.008 0.716 0.98 0.045 0.76 0.986 0.062 0.504 0.603 0.215 0.292 0.693 0.192 0.009 0.134 0.004 0 0.986 0.897 0.998 0.087 0.002 0.996 0.353 0.376 0.001 0.026 0.251 0.834 0.488 0.35
1002 "DRIFT" 0 0 0 0 0 0 0.723 0.532 0.432 0.698 0.369 0.256 0.694 0.846 0.133 0.538 0.361 0.121 0.412 0.437 0.069 0.505 0.654 0.28 0.899 0.702 0.388 0.602 0.581 0.732 0.067 0.74 0.782 0.85 0.043 0.316 0.212 0.811 0.596 0.348 0.445 0.509 0.701 0.744 0.35
1002 "GPCM" 0 0 0 0 0 0 0.586 0.512 0.285 0.571 0.429 0.419 0.786 0.152 0.861 0.576 0.397 0.81 0.632 0.487 0.756 0.605 0.254 0.625 0.86 0.112 0.634 0.62 0.227 0.322 0.696 0.108 0.559 0.095 0.861 0.189 0.149 0.699 0.022 0.397 0.21 0.492 0.16 0.162 0.207
1002 "AR3" 0 0 0 0 0 0 0.292 0.525 0.799 0.271 0.639 0.728 0.916 0.572 0.936 0.866 0.754 0.847 0.894 0.576 0.892 0.69 0.464 0.565 0.796 0.737 0.758 0.717 0.614 0.75 0.512 0.074 0.38 0.757 0.761 0.755 0.528 0.181 0.141 0.551 0.293 0.555 0.474 0.733 0.548
1003 "TV-DPCM" 0 0 0 0 0 0 0.479 0.635 0.616 0.272 0.568 0.529 0.788 0.708 0.67 0.681 0.691 0.764 0.824 0.582 0.807 0.543 0.602 0.508 0.642 0.674 0.818 0.163 0.547 0.668 0.388 0.27 0.456 0.731 0.685 0.622 0.214 0.126 0.626 0.533 0.524 0.569 0.69 0.503 0.401
1003 "DPCM" 0 2 0 0 0 0 0.674 0.635 0.252 0.422 0.427 0.343 0.415 0.589 0.85 0.296 0.378 0.877 0.298 0.404 0.79 0.545 0.547 0.657 0.192 0.437 0.547 0.711 0.649 0.344 0.708 0.399 0.204 0.27 0.818 0.783 0.114 0.429 0.068 0.482 0.571 0.471 0.493 0.59 0.215
1003 "BiDim" 0 4 0 0 0 0 0.82 0.446 0.506 0.779 0.252 0.162 0.826 0.707 0.03 0.952 0.529 0.008 0.828 0.461 0.036 0.528 0.544 0.379 0.63 0.118 0.33 0.186 0.245 0.055 0.01 0.835 0.968 0.912 0.115 0.012 0.087 0.228 0.3 0.051 0.303 0.114 0.242 0.746 0.937
