"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF1" "ACF2" "ACF3" "racf" "lpacf" "mssd" "Item1" "Item2" "Item3" "Item4" "Item5" "Item6" "Item1.1" "Item2.1" "Item3.1" "Item4.1" "Item5.1" "Item6.1" "Item1.2" "Item2.2" "Item3.2" "Item4.2" "Item5.2" "Item6.2" "Item1.3" "Item2.3" "Item3.3" "Item4.3" "Item5.3" "Item6.3" "Item1.4" "Item2.4" "Item3.4" "Item4.4" "Item5.4" "Item6.4" "Item1.5" "Item2.5" "Item3.5" "Item4.5" "Item5.5" "Item6.5" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.4.1." "ppp.q3.5.1." "ppp.q3.6.1." "ppp.q3.3.2." "ppp.q3.4.2." "ppp.q3.5.2." "ppp.q3.6.2." "ppp.q3.4.3." "ppp.q3.5.3." "ppp.q3.6.3." "ppp.q3.5.4." "ppp.q3.6.4." "ppp.q3.6.5." "OR.2.1." "OR.3.1." "OR.4.1." "OR.5.1." "OR.6.1." "OR.3.2." "OR.4.2." "OR.5.2." "OR.6.2." "OR.4.3." "OR.5.3." "OR.6.3." "OR.5.4." "OR.6.4." "OR.6.5." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.4.1." "ppp.ordiff.5.1." "ppp.ordiff.6.1." "ppp.ordiff.3.2." "ppp.ordiff.4.2." "ppp.ordiff.5.2." "ppp.ordiff.6.2." "ppp.ordiff.4.3." "ppp.ordiff.5.3." "ppp.ordiff.6.3." "ppp.ordiff.5.4." "ppp.ordiff.6.4." "ppp.ordiff.6.5." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.4.1." "ppp.resid.5.1." "ppp.resid.6.1." "ppp.resid.3.2." "ppp.resid.4.2." "ppp.resid.5.2." "ppp.resid.6.2." "ppp.resid.4.3." "ppp.resid.5.3." "ppp.resid.6.3." "ppp.resid.5.4." "ppp.resid.6.4." "ppp.resid.6.5." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.4.1." "ppp.rediff.5.1." "ppp.rediff.6.1." "ppp.rediff.3.2." "ppp.rediff.4.2." "ppp.rediff.5.2." "ppp.rediff.6.2." "ppp.rediff.4.3." "ppp.rediff.5.3." "ppp.rediff.6.3." "ppp.rediff.5.4." "ppp.rediff.6.4." "ppp.rediff.6.5."
1001 "TV-DPCM" 0 0 0 0 0 0 0.654 0.52 0.36 0.632 0.446 0.358 0.538 0.597 0.93 0.571 0.713 0.773 0.365 0.216 0.695 0.445 0.595 0.859 0.279 0.39 0.679 0.312 0.582 0.881 0.504 0.49 0.757 0.522 0.633 0.652 0.358 0.545 0.808 0.21 0.831 0.599 0.87 0.481 0.21 0.378 0.922 0.594 0.886 0.714 0.229 0.071 0.505 0.356 0.471 0.58 0.07 0.305 0.487 0.121 0.793 0.809 0.279 0.548 0.526 0.763 0.701 0.114 0.56 0.724 0.649 0.694 0.674 0.174 0.784 0.248 0.279 0.586 0.312 0.167 0.593 0.201 0.678 0.492 0.197 0.16 0.177 0.088 0.543 0.642 0.496 0.232 0.363 0.428 0.602 0.547 0.503 0.611 0.46 0.618 0.583 0.452 0.494 0.594 0.417 0.485 0.539 0.587 0.046 0.666 0.304 0.792 0.372 0.325 0.698 0.83 0.75 0.366 0.513 0.251 0.687 0.146 0.309
1001 "DPCM" 0 6 0 0 0 0 0.745 0.455 0.188 0.772 0.381 0.289 0.82 0.286 0.681 0.52 0.907 0.259 0.61 0.18 0.657 0.178 0.845 0.516 0.652 0.128 0.661 0.246 0.774 0.545 0.673 0.282 0.658 0.562 0.702 0.424 0.363 0.776 0.194 0.653 0.802 0.514 0.375 0.751 0.369 0.605 0.559 0.352 0.392 0.117 0.483 0.764 0.281 0.675 0.599 0.203 0.944 0.356 0.427 0.723 0.542 0.518 0.066 0.61 0.145 0.658 0.538 0.376 0.839 0.815 0.617 0.016 0.926 0.675 0.56 0.571 0.247 0.399 0.401 0.846 0.853 0.698 0.465 0.25 0.128 0.105 0.54 0.941 0.621 0.064 0.054 0.383 0.121 0.612 0.411 0.63 0.626 0.614 0.592 0.63 0.44 0.128 0.598 0.561 0.478 0.584 0.549 0.374 0.495 0.748 0.724 0.41 0.478 0.214 0.39 0.644 0.01 0.537 0.434 0.126 0.456 0.349 0.694
1001 "BiDim" 0 0 0 0 0 0 0.638 0.258 0.736 0.833 0.408 0.376 0.83 0.663 0.835 0.015 0.627 0.521 0.819 0.646 0.681 0.033 0.684 0.508 0.68 0.609 0.688 0.04 0.72 0.542 0.613 0.543 0.612 0.27 0.536 0.58 0.774 0.811 0.38 0.269 0.605 0.507 0.331 0.067 0.623 0.416 0.333 0.399 0.001 0.001 0.928 0.922 0.984 0.056 0.999 0.927 0.555 0.974 0.618 0.836 0.021 0.022 0.012 0.949 0.826 0.081 0.862 0.031 0.95 0.004 0.136 0.352 0.042 0.054 0.571 0.773 0.398 0.761 0.55 0.067 0.507 0.751 0.348 0.912 0.412 0.554 0.733 0.478 0.566 0.688 0.721 0.283 0.696 0.007 0.014 0.091 0.528 0.191 0.152 0.002 0.33 0.66 0.06 0.65 0.612 0.371 0.428 0.14 0.041 0.057 0.944 0.619 0.876 0.033 0.991 0.798 0.224 0.969 0.577 0.44 0.595 0.296 0.864
1001 "DRIFT" 0 0 0 0 0 0 0.628 0.46 0.385 0.783 0.417 0.359 0.639 0.878 0.859 0.912 0.485 0.608 0.156 0.821 0.439 0.547 0.302 0.897 0.215 0.975 0.405 0.77 0.332 0.789 0.358 0.523 0.639 0.636 0.613 0.459 0.869 0.766 0.163 0.697 0.687 0.608 0.718 0.172 0.336 0.603 0.282 0.623 0.709 0.492 0.153 0.341 0.821 0.21 0.659 0.068 0.131 0.323 0.655 0.517 0.712 0.04 0.788 0.059 0.509 0.987 0.206 0.308 0.529 0.753 0.248 0.951 0.749 0.6 0.748 0.642 0.992 0.579 0.525 0.159 0.003 0.152 0.346 0.427 0.535 0.634 0.2 0.356 0.917 0.325 0.156 0.029 0.284 0.559 0.514 0.431 0.545 0.452 0.464 0.582 0.504 0.522 0.477 0.586 0.569 0.518 0.436 0.358 0.25 0.208 0.632 0.671 0.356 0.659 0.484 0.211 0.679 0.632 0.683 0.254 0.607 0.854 0.24
1001 "GPCM" 0 0 0 0 0 0 0.776 0.472 0.375 0.851 0.342 0.231 0.907 0.291 0.438 0.802 0.072 0.987 0.258 0.322 0.595 0.505 0.102 0.821 0.684 0.18 0.636 0.441 0.105 0.914 0.622 0.403 0.46 0.663 0.306 0.573 0.745 0.657 0.492 0.162 0.283 0.699 0.048 0.572 0.492 0.146 0.599 0.33 0.458 0.109 0.547 0.788 0.26 0.595 0.456 0.567 0.91 0.789 0.704 0.053 0.678 0.017 0.521 0.178 0.945 0.774 0.474 0.977 0.066 0.749 0.08 0.03 0.096 0.354 0.459 0.819 0.964 0.547 0.628 0.036 0.355 0.036 0.067 0.451 0.854 0.562 0.701 0.552 0.156 0.644 0.017 0.976 0.806 0.58 0.411 0.539 0.471 0.311 0.525 0.606 0.359 0.578 0.534 0.168 0.292 0.47 0.138 0.609 0.313 0.874 0.439 0.282 0.228 0.848 0.489 0.829 0.54 0.949 0.977 0.883 0.955 0.893 0.436
1001 "AR3" 0 1 0 0 0 0 0.318 0.507 0.81 0.293 0.6 0.67 0.659 0.942 0.617 0.649 0.71 0.224 0.874 0.787 0.552 0.734 0.665 0.449 0.809 0.856 0.509 0.823 0.583 0.462 0.51 0.584 0.662 0.579 0.523 0.318 0.489 0.407 0.344 0.509 0.523 0.318 0.334 0.72 0.236 0.498 0.887 0.538 0.173 0.302 0.55 0.366 0.678 0.125 0.278 0.515 0.612 0.93 0.507 0.453 0.089 0.154 0.818 0.681 0.174 0.1 0.172 0.01 0.788 0.691 0.364 0.372 0.154 0.515 0.077 0.826 0.135 0.024 0.878 0.224 0.84 0.437 0.591 0.047 0.339 0.268 0.114 0.401 0.898 0.303 0.398 0.048 0.42 0.446 0.541 0.597 0.556 0.459 0.27 0.472 0.552 0.519 0.397 0.603 0.502 0.528 0.57 0.388 0.87 0.346 0.503 0.32 0.562 0.519 0.543 0.639 0.753 0.825 0.544 0.484 0.584 0.69 0.228
1002 "TV-DPCM" 0 0 0 0 0 0 0.489 0.498 0.372 0.461 0.477 0.544 0.423 0.598 0.494 0.925 0.82 0.53 0.792 0.49 0.276 0.727 0.611 0.835 0.706 0.557 0.379 0.917 0.608 0.57 0.329 0.597 0.39 0.372 0.514 0.402 0.163 0.355 0.933 0.179 0.263 0.095 0.814 0.576 0.401 0.35 0.684 0.326 0.377 0.872 0.131 0.878 0.147 0.549 0.398 0.215 0.855 0.623 0.37 0.334 0.088 0.639 0.585 0.372 0.178 0.663 0.127 0.883 0.239 0.98 0.746 0.712 0.392 0.346 0.344 0.83 0.787 0.965 0.607 0.856 0.757 0.104 0.115 0.738 0.273 0.497 0.748 0.694 0.54 0.908 0.299 0.967 0.549 0.615 0.287 0.399 0.44 0.552 0.605 0.554 0.438 0.476 0.578 0.593 0.573 0.238 0.621 0.605 0.254 0.837 0.098 0.677 0.527 0.441 0.391 0.413 0.666 0.262 0.359 0.304 0.409 0.371 0.471
1002 "DPCM" 0 0 0 0 0 0 0.599 0.456 0.325 0.601 0.451 0.407 0.259 0.845 0.526 0.542 0.92 0.22 0.32 0.85 0.391 0.31 0.755 0.342 0.208 0.788 0.399 0.337 0.76 0.323 0.542 0.586 0.423 0.521 0.663 0.319 0.273 0.421 0.028 0.467 0.559 0.606 0.505 0.778 0.957 0.911 0.677 0.126 0.552 0.72 0.19 0.922 0.531 0.247 0.659 0.211 0.401 0.566 0.254 0.47 0.07 0.924 0.508 0.776 0.078 0.235 0.349 0.036 0.396 0.346 0.916 0.263 0.601 0.162 0.288 0.722 0.182 0.646 0.062 0.244 0.537 0.069 0.404 0.057 0.892 0.044 0.611 0.093 0.01 0.126 0.023 0.397 0.356 0.654 0.38 0.606 0.432 0.517 0.439 0.635 0.307 0.639 0.601 0.466 0.612 0.221 0.255 0.623 0.636 0.292 0.42 0.413 0.513 0.446 0.353 0.864 0.338 0.6 0.776 0.627 0.155 0.83 0.394
1002 "BiDim" 0 4 0 0 0 0 0.581 0.458 0.457 0.641 0.454 0.433 0.265 0.151 0.423 0.512 0.589 0.992 0.381 0.271 0.475 0.46 0.594 0.965 0.356 0.359 0.477 0.521 0.746 0.991 0.501 0.357 0.545 0.486 0.577 0.518 0.592 0.674 0.737 0.744 0.434 0.631 0.077 0.027 0.092 0.354 0 0.033 0.006 0.008 0.996 0.995 0.636 0.074 0.94 0.95 0.95 0.961 0.788 0.945 0.018 0 0.002 0.894 0.981 0.073 0.276 0.98 0.956 0.184 0.316 0.354 0.237 0.291 0.112 0.64 0.999 0.871 0.699 0.008 0.564 0.565 0.558 0.964 0.729 0.548 0.771 0.704 0.738 0.495 0.722 0.974 0.212 0.231 0.18 0.027 0.04 0.675 0.434 0.11 0.132 0.41 0.193 0.518 0.421 0.129 0.004 0.015 0.151 0.179 0.811 0.931 0.541 0.15 0.827 0.716 0.734 0.703 0.666 0.559 0.756 0.212 0.767
1002 "DRIFT" 0 0 0 0 0 0 0.467 0.524 0.506 0.457 0.514 0.534 0.796 0.71 0.6 0.616 0.654 0.369 0.502 0.441 0.625 0.823 0.448 0.493 0.508 0.354 0.898 0.727 0.343 0.36 0.722 0.556 0.519 0.613 0.494 0.37 0.18 0.091 0.752 0.848 0.167 0.733 0.782 0.376 0.249 0.626 0.968 0.791 0.413 0.782 0.269 0.178 0.55 0.378 0.21 0.834 0.523 0.382 0.312 0.046 0.315 0.908 0.64 0.913 0.628 0.926 0.746 0.944 0.954 0.821 0.624 0.743 0.926 0.911 0.937 0.627 0.292 0.134 0.377 0.031 0.933 0.923 0.028 0.898 0.936 0.35 0.759 0.927 0.02 0.19 0.896 0.824 0.558 0.542 0.577 0.534 0.462 0.596 0.592 0.453 0.568 0.603 0.578 0.573 0.513 0.585 0.381 0.556 0.432 0.49 0.626 0.576 0.194 0.36 0.646 0.221 0.262 0.461 0.308 0.848 0.526 0.314 0.634
