cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
3 1 110 9 0 0 5 0 1.0084 0 0.3802 -0.1637 0.2131 0.2484 1.0824 0.9422 -0.2385 0.7588 0.9859 10.6218 0.7167 0.4484 0.7965 0.9804 4.6473 0.1838 0.1838 0.4203 1 1
3 2 91 0 0 0 2 0 1.0047 0 -0.1149 0.1661 0.2744 0.3642 1.4171 0.9873 0.1451 0.26 0.3674 2.1563 0.7695 -0.0646 0.5726 0.7256 3.2259 -0.1982 0.1982 0.4562 0 1
3 3 106 0 0 0 2 2 1.0037 0 0.9997 -0.021 0.0507 0.0509 1.8709 0.9674 -0.2424 0.3648 0.5096 3.2535 0.7833 -0.0537 0.5419 0.6841 3.5954 0.0662 0.0662 0.3932 0 1
3 4 94 0 0 0 3 3 1.0127 1 -0.9799 0.0109 0.2257 0.2577 1.4843 0.9404 0.277 0.3968 0.5535 5.4316 0.6442 0.2558 0.6487 0.8248 3.8621 -0.0755 0.0755 0.5819 1 1
3 5 90 0 0 0 0 0 1.0054 0 -0.9706 0.4048 0.4048 0.4573 1.4283 0.9894 -0.2127 0.2893 0.3806 1.3339 0.7166 -0.0329 0.6164 0.7886 3.0834 -0.2576 0.2576 0.4369 0 0
3 6 93 0 0 0 2 0 1.0104 1 0.9784 -0.1769 0.1769 0.1871 1.5741 0.9852 0.0506 0.3493 0.4206 3.9786 0.7327 -0.1313 0.5743 0.7055 3.6829 -0.0379 0.0379 0.4668 1 1
3 7 108 0 0 0 1 0 1.0028 0 -0.1758 -0.1804 0.2621 0.3872 1.0372 0.9611 0.0968 0.2644 0.326 2.7268 0.77 0.2831 0.6508 0.8001 3.7344 0.1256 0.1256 0.36 0 1
3 8 92 0 0 0 2 0 1.0046 0 0.5317 0.077 0.2318 0.2895 1.5595 0.9434 0.0214 0.267 0.3336 3.2 0.6468 -0.1176 0.6473 0.8302 3.6242 -0.0879 0.0879 0.5285 0 1
3 9 102 0 0 0 1 0 1.0083 0 0.9685 -0.0724 0.113 0.1223 1.3298 0.9876 0.2633 0.2633 0.3155 2.0214 0.6999 0.1926 0.6909 0.8952 3.7796 0.0394 0.0394 0.4852 0 1
3 10 93 2 0 0 3 0 1.0112 1 -0.7784 0.03 0.2749 0.2953 1.6017 0.963 0.0093 0.2571 0.3326 3.018 0.7249 -0.0019 0.5677 0.7414 3.5056 -0.1505 0.1505 0.6341 1 1
3 11 104 0 0 0 1 0 1.0053 0 -0.1093 0.1802 0.3023 0.3151 1.3967 0.9705 0.2128 0.3043 0.3602 2.3838 0.7203 0.0094 0.6396 0.7854 3.3769 -0.0094 0.0094 0.4113 0 1
3 12 101 0 0 0 1 0 1.0039 0 0.937 -0.0105 0.2292 0.269 1.5153 0.9707 -0.5303 0.5303 0.6541 3.9136 0.7776 -0.2351 0.6098 0.7435 3.4246 0.0273 0.0273 0.4029 0 1
3 13 101 2 0 0 0 0 1.0057 0 0.9965 -0.2928 0.2928 0.3966 1.0696 0.998 0.4091 0.4238 0.4994 4.1193 0.801 0.4483 0.6656 0.8169 3.8446 0.0895 0.0895 0.4162 1 0
3 14 91 0 0 0 2 0 1.0027 0 0.3045 0.2003 0.2913 0.4227 1.8812 0.9942 -0.037 0.1812 0.2307 2.5187 0.7732 -0.0658 0.6298 0.812 3.2799 -0.0929 0.0929 0.4418 0 1
3 15 233 14 0 0 4 4 1.0061 0 0.9957 -0.1984 0.1984 0.2174 1.3087 0.9899 0.8659 0.8659 0.8835 1.8891 0.8371 0.9545 1.007 1.1626 4.3614 0.2843 0.2843 0.3075 1 1
3 16 97 0 0 0 5 2 1.0122 1 0.2196 0.0041 0.3253 0.3534 1.8251 0.9693 -0.4175 0.5459 0.6787 6.2838 0.717 0.1018 0.592 0.754 3.7786 -0.1102 0.1102 0.6728 1 1
3 17 111 1 0 0 1 0 1.0041 0 0.2226 -0.3854 0.3854 0.4523 1.0829 0.9791 0.8865 1.2618 1.9107 14.2493 0.7061 0.0633 0.6434 0.7911 4.0384 0.12 0.12 0.4509 1 1
