cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
18 1 349 0 0 0 0 0 1.0036 0 0.9831 -0.1436 0.2312 0.2675 0.9982 0.8885 -0.1817 0.4103 0.5305 2.3591 -0.0178 0.0178 0.3087 0 0
18 2 350 0 0 0 0 0 1.0011 0 0.9946 0.1998 0.2077 0.2558 1.2974 0.9058 0.086 0.3752 0.488 2.4915 0.0079 0.0079 0.2899 0 0
18 3 375 0 0 0 0 0 1.0017 0 0.9906 -0.2665 0.2772 0.3207 1.1185 0.9172 -0.2511 0.4481 0.5596 2.5788 0.0625 0.0625 0.2705 0 0
18 4 399 0 0 0 1 0 1.0077 0 0.9936 0.1631 0.1885 0.223 1.2192 0.9046 0.1754 0.4366 0.5411 2.6379 0.099 0.099 0.277 0 1
18 5 323 0 0 0 0 0 1.0045 0 0.9914 0.0424 0.1282 0.1636 0.8792 0.8781 0.0385 0.3841 0.4923 2.3456 -0.1785 0.1785 0.3343 0 0
18 6 366 0 0 0 0 0 1.0091 0 0.993 0.0678 0.1566 0.1857 1.2377 0.8969 0.0525 0.4153 0.5079 2.5221 0.0316 0.0316 0.2876 0 0
18 7 375 0 0 0 0 0 1.0021 0 0.9925 0.14 0.1842 0.2228 1.3515 0.9221 0.1384 0.379 0.4796 2.6234 0.0659 0.0659 0.2665 0 0
18 8 381 0 0 0 1 0 1.0021 0 0.9945 0.0444 0.1691 0.208 1.455 0.8833 0.025 0.4203 0.5096 2.4699 0.0455 0.0455 0.2821 0 1
18 9 358 0 0 0 0 0 1.0052 0 0.9892 0.0079 0.1733 0.2175 1.3227 0.9062 0.0284 0.4009 0.5205 2.4112 0.0427 0.0427 0.2906 0 0
18 10 344 0 0 0 0 0 1.0028 0 0.9936 -0.2743 0.2743 0.3177 1.1579 0.8916 -0.2399 0.4449 0.5529 2.4286 -0.0297 0.0297 0.3172 0 0
18 11 332 0 0 0 0 0 1.0046 0 0.9929 -0.121 0.1511 0.1853 0.9241 0.8926 -0.0528 0.4068 0.5005 2.4028 -0.0795 0.0795 0.3157 0 0
18 12 396 0 0 0 0 0 1.0027 0 0.9927 -0.1483 0.1655 0.2007 1.0052 0.9259 -0.0089 0.3736 0.4642 2.5005 0.099 0.099 0.2316 0 0
18 13 396 0 0 0 0 0 1.0043 0 0.9891 -0.2289 0.255 0.3096 1.3122 0.9228 -0.2086 0.4241 0.5184 2.5735 0.1011 0.1011 0.2573 0 0
18 14 340 0 0 0 0 0 1.0009 0 0.9934 0.0608 0.1288 0.1625 1.0784 0.9074 0.0448 0.3862 0.4804 2.5549 0.0089 0.0089 0.2854 0 0
18 15 352 0 0 0 0 0 1.0036 0 0.9932 0.0634 0.1404 0.1645 1.2631 0.939 0.0272 0.3546 0.4499 2.4324 0.0128 0.0128 0.2797 0 0
18 16 358 0 0 0 1 0 1.0015 0 0.9925 0.0228 0.1766 0.2331 1.1308 0.9189 0.0047 0.396 0.5023 2.5467 0.0575 0.0575 0.2737 0 1
18 17 350 0 0 0 0 0 1.0009 0 0.9891 -0.0041 0.1256 0.1562 0.9512 0.8962 0.09 0.3813 0.4906 2.3397 -0.0298 0.0298 0.296 0 0
18 18 362 0 0 0 0 0 1.0014 0 0.9908 0.2183 0.2397 0.3075 1.0392 0.9145 0.1056 0.4235 0.5284 2.346 0.0169 0.0169 0.2718 0 0
18 19 345 0 0 0 0 0 1.0042 0 0.9908 0.0155 0.1481 0.1842 1.1098 0.9085 0.041 0.379 0.4794 2.4096 -0.0157 0.0157 0.2965 0 0
18 20 403 0 0 0 0 0 1.0055 0 0.9927 0.3344 0.3344 0.3718 1.0057 0.9158 0.2783 0.4556 0.5707 2.5874 0.0832 0.0832 0.2575 0 0
18 21 360 0 0 0 1 0 1.0044 0 0.9883 0.3543 0.3557 0.4275 1.3014 0.9237 0.252 0.4403 0.5247 2.5886 0.0206 0.0206 0.3031 0 1
18 22 366 0 0 0 0 0 1.0077 0 0.9895 0.1476 0.187 0.2308 1.0796 0.9061 0.1418 0.4088 0.512 2.4772 0.0471 0.0471 0.2918 0 0
18 23 336 0 0 0 0 0 1.0025 0 0.9938 -0.1328 0.1705 0.2186 1.0601 0.8957 -0.1726 0.4137 0.5114 2.4047 -0.0545 0.0545 0.3141 0 0
18 24 334 0 0 0 0 0 1.0017 0 0.994 -0.1572 0.1968 0.2273 1.0889 0.8898 -0.1228 0.4182 0.5122 2.3224 -0.0398 0.0398 0.2943 0 0
