cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
4 1 138 0 0 0 0 0 1.004 0 0.9947 0.1161 0.1285 0.1599 1.1262 0.8837 0.0532 0.4205 0.5217 3.0757 -0.003 0.003 0.2378 0 0
4 2 133 0 0 0 0 0 1.0016 0 0.9672 -0.0337 0.1725 0.2201 1.0737 0.8562 0.0131 0.4485 0.5693 2.9815 -0.0852 0.0852 0.2514 0 0
4 3 147 0 0 0 0 0 1.0028 0 0.983 -0.0621 0.117 0.1489 0.9811 0.8897 -0.1374 0.4335 0.5519 3.1466 0.0319 0.0319 0.2324 0 0
4 4 142 0 0 0 0 0 1.0055 0 0.9831 -0.2026 0.2038 0.2688 1.1034 0.8785 -0.1309 0.448 0.5611 3.0128 -0.0309 0.0309 0.2398 0 0
4 5 147 0 0 0 0 0 1.0024 0 0.9879 0.2293 0.2708 0.3039 1.1281 0.8818 0.1629 0.4542 0.5803 2.8309 -0.0114 0.0114 0.2285 0 0
4 6 133 0 0 0 0 0 1.0021 0 0.9852 0.2708 0.2878 0.3253 1.2759 0.8745 0.2439 0.4616 0.5657 2.853 -0.0476 0.0476 0.2401 0 0
4 7 159 0 0 0 0 0 1.0029 0 0.9751 -0.1199 0.1783 0.2191 0.908 0.8787 -0.1427 0.455 0.5701 2.937 0.0336 0.0336 0.219 0 0
4 8 149 0 0 0 0 0 1.0021 0 0.9926 -0.1089 0.1398 0.153 0.9518 0.8839 -0.104 0.4246 0.548 2.9182 0.0297 0.0297 0.2217 0 0
4 9 128 0 0 0 0 0 1.0028 0 0.9843 0.0494 0.1135 0.1446 1.0937 0.8455 -0.0076 0.4185 0.5387 2.8783 -0.1584 0.1584 0.2619 0 0
4 10 133 0 0 0 0 0 1.0034 0 0.9719 0.0525 0.1586 0.1866 0.8616 0.8629 0.0575 0.4336 0.5417 2.8713 -0.0863 0.0863 0.2448 0 0
4 11 135 0 0 0 0 0 1.0014 0 0.9383 0.0225 0.3014 0.4486 2.4136 0.7942 -0.0907 0.503 0.6307 3.3111 -0.0968 0.0968 0.3125 0 0
4 12 139 0 0 0 0 0 1.0036 0 0.9971 0.1047 0.1436 0.1666 1.7594 0.8814 0.1271 0.444 0.5532 3.1302 0.0111 0.0111 0.2394 0 0
4 13 139 0 0 0 0 0 1.0023 0 0.9624 -0.0178 0.1563 0.2036 0.8908 0.8772 -0.0268 0.4276 0.5482 2.8519 -0.1472 0.1472 0.2516 0 0
4 14 128 0 0 0 0 0 1.0014 0 0.9775 -0.1239 0.2893 0.3786 1.5227 0.8353 -0.117 0.4832 0.5924 2.6165 -0.1466 0.1466 0.2811 0 0
4 15 141 0 0 0 0 0 1.0015 0 0.984 0.0449 0.2181 0.3046 1.8668 0.8708 0.1267 0.4648 0.5865 2.7429 -0.0204 0.0204 0.2437 0 0
4 16 131 0 0 0 0 0 1.0045 0 0.9837 -0.1316 0.2411 0.3266 1.5543 0.8718 -0.1462 0.4617 0.5809 2.7753 -0.0934 0.0934 0.2598 0 0
4 17 139 0 0 0 0 0 1.0077 0 0.9915 -0.1461 0.2038 0.2419 1.8907 0.8352 -0.1834 0.4857 0.597 2.7126 -0.1575 0.1575 0.2908 0 0
4 18 146 0 0 0 0 0 1.0028 0 0.9494 -0.1881 0.3227 0.4885 2.3001 0.8587 -0.0821 0.4821 0.6183 3.2607 0.041 0.041 0.2377 0 0
4 19 155 0 0 0 0 0 1.0025 0 0.9446 -0.1342 0.24 0.3016 1.3427 0.8653 -0.1615 0.4878 0.5946 3.6046 0.0962 0.0962 0.2412 0 0
4 20 137 0 0 0 0 0 1.0021 0 0.992 0.0921 0.19 0.2351 1.3138 0.8898 0.0617 0.4381 0.5515 2.8256 -0.0809 0.0809 0.241 0 0
4 21 123 0 0 0 0 0 1.001 0 0.9889 -0.0981 0.1577 0.1993 1.3151 0.8577 -0.0777 0.4582 0.5761 2.7916 -0.1571 0.1571 0.2808 0 0
4 22 134 0 0 0 0 0 1.002 0 0.9822 0.1261 0.148 0.1845 0.9634 0.8917 0.1307 0.4214 0.5218 2.8378 -0.0326 0.0326 0.231 0 0
4 23 136 0 0 0 0 0 1.0025 0 0.9942 -0.188 0.2139 0.2512 1.6278 0.8555 -0.207 0.5008 0.6209 2.9587 -0.0211 0.0211 0.2493 0 0
4 24 158 0 0 0 0 0 1.0025 0 0.9704 0.1092 0.1867 0.2173 0.9869 0.8596 0.093 0.4696 0.5988 3.1672 0.0554 0.0554 0.2281 0 0
