cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
7 1 108 1.0021 0 0.3735 0.111 1.5611 0.995 -0.1975 3.0388 0.8504 -0.2218 2.9616 -0.0479 0.4394 0
7 2 114 1.0027 0 -0.2621 -0.0395 1.3476 0.9547 -0.1869 5.1433 0.8375 -0.0477 3.0101 0.0155 0.4506 1
7 3 101 1.0047 0 0.8532 -0.0818 2.1195 0.9367 -0.6618 12.7011 0.7764 -0.1797 3.0182 -0.2038 0.5747 1
7 4 126 1.0054 0 0.7088 -0.0361 1.5551 0.9792 -0.2134 4.6084 0.8889 -0.2241 2.8424 -0.0306 0.4517 1
7 5 106 1.0029 0 0.8065 -0.0833 1.9663 0.9638 0.1173 5.5918 0.8286 -0.0689 2.8979 -0.0593 0.4422 1
7 6 155 1.0056 0 0.0915 -0.084 1.1162 0.9736 0.0066 4.3152 0.8307 0.12 3.2072 0.164 0.3906 1
7 7 138 1.0047 0 0.6955 -0.0031 1.1514 0.9708 -0.2554 6.2251 0.8882 -0.1263 3.0256 0.1197 0.4214 1
7 8 115 1.0036 0 0.7869 0.1702 2.7923 0.9657 0.0956 2.71 0.8619 0.0475 3.0005 0.0072 0.4289 1
7 9 117 1.0036 0 0.5322 0.0625 1.3854 0.971 -0.5256 3.9784 0.8443 -0.3296 3.1232 0.0709 0.4036 0
7 10 105 1.004 0 0.3421 0.0566 1.6134 0.9594 0.0546 5.8216 0.818 -0.0758 3.0701 -0.0653 0.4679 1
7 11 143 1.013 0 0.9773 -0.169 1.1356 0.9847 0.2262 3.1461 0.8745 0.1258 3.5363 0.2272 0.3673 0
7 12 103 1.0018 0 0.0286 -0.0321 1.49 0.9797 0.1265 3.6478 0.8559 0.0998 2.9494 -0.1495 0.5304 0
7 13 119 1.0063 0 0.7195 0.0978 1.3906 0.9748 -0.1507 4.2794 0.8678 -0.0694 2.8036 0.0199 0.435 1
7 14 117 1.002 0 0.3492 -0.0833 1.2696 0.9875 0.083 1.958 0.8891 0.0085 2.6187 -0.0023 0.4068 0
7 15 100 1.0034 0 0.5787 -0.1449 1.4029 0.971 0.4887 14.9768 0.7792 0.2023 3.2536 -0.4266 0.6416 1
7 16 186 1.0029 0 0.3523 -0.3078 1.4053 0.9686 -0.5457 7.8384 0.8692 -0.5662 3.4198 0.1575 0.4631 1
7 17 99 1.0041 0 0.799 -0.0826 1.5679 0.9769 -0.1157 7.0674 0.7817 -0.1419 3.1799 -0.2672 0.5796 1
7 18 100 1.0038 0 0.226 -0.0323 1.732 0.9665 0.7135 7.842 0.8418 0.4126 3.0517 -0.1468 0.5471 1
7 19 105 1.0033 0 0.3027 0.3183 1.5542 0.981 0.4026 3.1647 0.8205 0.3544 2.8279 -0.0819 0.467 0
7 20 100 1.0033 0 0.663 0.2289 1.8849 0.9298 -0.4413 3.5882 0.833 -0.1958 2.9166 -0.1768 0.5669 0
7 21 148 1.0036 0 0.4152 -0.1659 1.0792 0.9865 -0.1655 3.1702 0.8439 -0.3035 3.3145 0.1945 0.39 0
7 22 121 1.0031 0 0.562 -0.0125 1.4136 0.9822 0.0636 2.7892 0.8572 0.1064 3.2997 0.1035 0.3894 0
7 23 104 1.0039 0 0.753 0.0064 1.899 0.9723 0.1703 4.3263 0.8166 0.2579 2.9283 -0.1924 0.6056 1
7 24 170 1.0017 0 0.7073 0.1177 1.4067 0.973 0.631 3.055 0.9266 0.5037 2.9134 0.1803 0.319 0
