cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
14 1 405 1.0076 0 0.9921 0.001 1.433 0.9561 0.0025 2.4627 -0.0187 0.1955 0
14 2 466 1.0079 0 0.9722 -0.0396 1.7434 0.9467 0.0225 2.4524 0.0242 0.2162 0
14 3 427 1.0039 0 0.9835 -0.1373 1.3298 0.9496 -0.0916 2.3441 -0.004 0.2114 0
14 4 423 1.0054 0 0.9823 0.0027 1.3885 0.9539 0.0167 2.4211 -0.0277 0.2092 0
14 5 423 1.0059 0 0.9867 0.0625 1.658 0.9487 0.0565 2.3697 3e-04 0.221 0
14 6 439 1.0061 0 0.9671 -0.1774 1.1453 0.9452 -0.2032 2.6574 0.0124 0.2018 0
14 7 392 1.0031 0 0.988 -0.0682 1.5288 0.9458 -0.0853 2.1389 -0.1286 0.2145 0
14 8 565 1.0035 0 0.9802 0.1691 1.3914 0.9529 0.1973 2.2859 0.0532 0.1956 0
14 9 390 1.0025 0 0.9801 -0.1574 2.3139 0.9341 -0.0647 2.5727 -0.0524 0.2188 0
14 10 400 1.0105 0 0.974 -0.1698 1.4796 0.9503 -0.1668 2.2286 -0.0398 0.2192 0
14 11 509 1.0027 0 0.9765 -0.1237 1.2103 0.9521 -0.0726 2.3981 0.0052 0.195 0
14 12 409 1.0071 0 0.9892 -0.0352 1.3397 0.9397 -0.0299 2.3237 -0.0223 0.2216 0
14 13 426 1.0093 0 0.9858 -0.1212 1.7773 0.9535 -0.1019 2.3223 0.0211 0.1964 0
14 14 478 1.0026 0 0.9742 0.0162 1.5477 0.9521 0.0086 2.3656 0.0186 0.2035 0
14 15 490 1.0037 0 0.9889 0.1912 1.6083 0.9462 0.1758 2.7855 0.033 0.1856 0
14 16 415 1.0049 0 0.9824 -0.0705 1.7536 0.9388 -0.0629 2.1718 -0.0288 0.212 0
14 17 410 1.0024 0 0.9847 0.0121 2.3767 0.9433 0.0086 2.4389 -0.0408 0.2201 0
14 18 445 1.0055 0 0.9897 -0.0847 1.5898 0.9474 -0.0746 2.6976 0.0029 0.2185 0
14 19 388 1.0071 0 0.9761 0.0604 0.9772 0.943 0.0531 2.276 -0.0931 0.2278 0
14 20 509 1.0042 0 0.9846 -0.1028 2.0909 0.9561 -0.1199 2.393 0.0413 0.1872 0
14 21 429 1.0092 0 0.9767 0.0261 1.8763 0.9424 -0.0271 2.3995 -0.0093 0.2044 0
14 22 378 1.0059 0 0.9727 -0.0993 1.6065 0.9377 -0.1241 2.2947 -0.1289 0.2188 0
14 23 565 1.0025 0 0.9853 -0.1686 1.3776 0.9581 -0.175 2.3424 0.0285 0.209 0
14 24 410 1.0066 0 0.984 0.0315 1.638 0.9461 0.0917 2.3149 -0.0282 0.2214 0
