cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
7 1 298 1.004 0 0.6151 -0.0525 2.5303 0.9716 -0.175 12.5295 0.9067 -0.0682 2.7623 1
7 2 317 1.0052 0 0.9268 0.0562 2.5569 0.9543 -0.303 4.6293 0.9792 -0.2512 2.617 1
7 3 385 1.0042 0 0.9315 0.0503 5.2246 0.9049 -0.0953 12.7437 0.9263 0.0777 2.5252 1
7 4 401 1.0033 0 -0.029 0.051 4.4318 0.8913 2.1413 38.3816 0.9371 0.5162 2.4252 1
7 5 326 1.0032 0 0.7981 0.1975 3.9726 0.9752 -0.4592 7.4096 0.9489 -0.3548 2.4745 1
7 6 322 1.0014 0 0.5189 0.1458 2.2554 0.9534 -0.1211 6.1295 0.9717 -0.0691 3.2276 1
7 7 359 1.0013 0 0.4951 0.0952 3.8257 0.8705 -0.2119 18.0255 0.9612 -0.2574 2.81 1
7 8 371 1.0035 0 0.8613 -0.0281 2.7816 0.9651 0.3155 12.5878 0.9344 0.4829 3.6744 1
7 9 335 1.0032 0 0.4549 -0.2271 2.7874 0.9816 -0.0669 8.6855 0.9559 0.0744 2.7107 1
7 10 312 1.0014 0 0.8864 0.0493 3.1481 0.9729 0.1477 7.2183 0.9381 0.1523 3.1117 1
7 11 335 1.004 0 0.7663 -0.0995 2.9047 0.9821 0.4806 8.6121 0.9749 0.3477 3.383 1
7 12 342 1.0026 0 0.689 -0.1252 3.2394 0.9481 0.3057 11.2853 0.8999 0.4575 3.0314 1
7 13 308 1.0023 0 0.9265 -0.0151 2.7522 0.9467 0.8544 9.3505 0.9802 0.6961 3.7159 1
7 14 342 1.0073 0 0.6699 -0.0534 3.8937 0.9531 -0.449 23.749 0.9011 -0.1406 2.2189 1
7 15 360 1.004 0 0.6816 0.0483 3.9517 0.961 0.5068 25.8684 0.9064 0.355 2.5259 1
7 16 324 1.0041 0 0.3525 0.1314 4.8024 0.9661 0.1091 11.6809 0.9008 0.1212 2.4 1
7 17 318 1.0057 0 0.7242 0.0402 2.5442 0.9512 0.0594 6.657 0.9742 0.0695 2.6707 1
7 18 337 1.0021 0 0.4508 0.0732 2.221 0.9259 0.9192 7.5391 0.9277 0.8383 3.3143 1
7 19 327 1.0024 0 0.852 0.0574 2.2804 0.969 0.2039 7.0889 0.965 0.1747 3.2835 1
7 20 353 1.0072 0 0.9498 0.1335 3.2463 0.9495 0.0707 10.3092 0.9227 0.1261 2.7639 1
7 21 313 1.0029 0 0.1578 0.1356 2.7859 0.8924 0.0629 9.7881 0.9151 0.1287 2.7354 1
7 22 370 1.0051 0 0.438 0.0605 3.3299 0.9265 -0.8216 20.7568 0.9408 -0.3887 2.9576 1
7 23 338 1.0053 0 0.4655 0.0121 4.4868 0.9117 0.283 23.0071 0.9042 0.2279 2.459 1
7 24 325 1.0036 0 0.2325 0.1451 2.1852 0.9376 -0.3933 8.0972 0.9569 -0.389 3.4727 1
