cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
3 1 235 1.0074 0 0.923 -0.2816 3.1424 0.9575 -0.035 2.1669 0
3 2 244 1.0027 0 0.9221 -0.0454 2.4072 0.923 -0.2679 1.8257 0
3 3 220 1.0064 0 0.7676 1.3821 3.4695 0.8028 1.173 3.9992 0
3 4 273 1.0053 0 0.979 0.553 1.7763 0.9568 0.5508 1.9354 0
3 5 247 1.0061 0 0.9488 0.2153 2.7327 0.9488 0.2095 2.2215 0
3 6 266 1.004 0 0.9599 -0.1463 2.2763 0.9276 -0.2757 1.8386 0
3 7 261 1.0101 0 0.9667 0.1991 2.2452 0.9406 0.2312 2.1732 0
3 8 257 1.0038 0 0.9986 0.0425 1.9991 0.9672 0.0291 1.9058 0
3 9 239 1.0034 0 0.9164 -0.9199 3.1492 0.9654 -0.5904 2.1999 0
3 10 265 1.0039 0 0.9639 0.4653 1.7293 0.9491 0.4144 1.6649 0
3 11 249 1.007 0 0.9384 0.836 2.6128 0.9094 0.8045 2.0103 0
3 12 288 1.0021 0 0.9858 -0.3117 1.4424 0.9694 -0.3157 1.6952 0
3 13 256 1.0064 0 0.9854 -0.0654 2.1363 0.897 -0.0296 1.7417 0
3 14 243 1.0029 0 0.9023 0.271 2.4308 0.9485 0.0636 1.9103 0
3 15 256 1.0055 0 0.9196 0.5338 3.0745 0.9008 0.5678 2.6468 0
3 16 251 1.0049 0 0.9692 0.6966 2.4862 0.9505 0.6241 2.1722 0
3 17 282 1.0077 0 0.9834 0.372 1.9806 0.9726 0.3873 2.029 0
3 18 261 1.0008 0 0.9616 0.4965 1.4657 0.9364 0.4492 1.6006 0
3 19 223 1.003 0 0.9367 -0.1407 2.8372 0.9442 -0.1449 2.0225 0
3 20 262 1.0048 0 0.9405 -0.3752 2.8488 0.9416 -0.299 2.29 0
3 21 251 1.0029 0 0.9893 0.2331 2.2114 0.9819 0.208 2.4398 0
3 22 253 1.0044 0 0.9849 -0.1589 2.2202 0.9854 -0.1883 2.2626 0
3 23 269 1.0049 0 0.9891 0.092 2.2644 0.9672 0.0281 2.1796 0
3 24 251 1.0089 0 0.9631 0.1183 2.897 0.9538 -0.0106 2.2889 0
