cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
36 1 1211 0 0 0 0 0 1.0006 0 0.9342 0.0378 0.1637 0.2021 1.2445 0.9987 0.0416 0.0735 0.1066 1.9049 0.6996 -0.0434 0.5731 0.7334 4.0882 -0.0069 0.0069 0.338 0 0
36 2 1256 0 0 0 0 0 1.0014 0 0.98 0.0932 0.0932 0.1162 1.4494 0.9966 0.0429 0.0776 0.1055 1.9632 0.6182 -0.0185 0.6449 0.8213 4.0423 -0.1704 0.1704 0.4145 0 0
36 3 1230 0 0 0 0 0 1.0014 0 0.8377 0.1139 0.1876 0.2479 1.1119 0.994 0.1476 0.1614 0.2183 1.2398 0.6533 0.0949 0.6413 0.8225 4.0102 -0.0272 0.0272 0.3344 0 0
36 4 1227 0 0 0 0 0 1.0034 0 0.4958 -0.1552 0.3362 0.3614 2.0201 0.9756 -0.025 0.2931 0.39 4.099 0.6357 -0.0402 0.6407 0.817 4.081 -0.2271 0.2271 0.6029 0 0
36 5 1231 0 0 0 0 0 1.0008 0 0.9598 -0.066 0.1533 0.2003 1.1785 0.964 0.0999 0.2108 0.3587 2.7677 0.6573 -0.0401 0.6095 0.7707 4.1981 0.082 0.082 0.4379 0 0
36 6 1262 0 0 0 0 0 1.0008 0 0.9048 -0.2346 0.2581 0.3674 0.7936 0.9878 -0.0465 0.1865 0.2756 2.1708 0.6857 0.049 0.591 0.7518 4.458 0.2587 0.2587 0.3242 0 0
36 7 1272 0 0 0 0 0 1.0012 0 0.4028 0.0827 0.4298 0.4927 1.8965 0.9658 0.0153 0.2574 0.316 2.3494 0.6359 -0.1141 0.6531 0.8191 4.1263 -0.2293 0.2293 0.458 0 0
36 8 1228 0 0 0 0 0 1.0006 0 0.2604 -0.0119 0.1641 0.1823 0.9191 0.9891 -0.1217 0.1634 0.209 1.0755 0.7515 -0.0252 0.5673 0.7273 4.0596 -0.0016 0.0016 0.3571 0 0
36 9 1189 0 0 0 0 0 1.001 0 0.9475 0.1417 0.3403 0.4348 2.1844 0.9909 -0.0967 0.2843 0.3803 3.9285 0.6123 -0.1084 0.6488 0.8035 4.0923 -0.0371 0.0371 0.409 0 0
36 10 1238 0 0 0 0 0 1.0009 0 0.8977 0.0151 0.1133 0.1392 1.1005 0.9809 0.0117 0.1455 0.1857 2.295 0.6569 0.0728 0.6251 0.7967 4.25 0.1002 0.1002 0.4419 0 0
