cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
13 1 359 0 0 0 0 0 1.0002 0 0.9608 0.1982 0.2596 0.3183 1.8251 0.911 0.1702 0.3846 0.4743 2.3582 -0.0094 0.0094 0.4802 0 0
13 2 387 0 0 0 0 0 1.0007 0 0.961 0.0898 0.2043 0.2639 1.9746 0.9272 0.0514 0.3179 0.3888 2.3728 0.0469 0.0469 0.4703 0 0
13 3 313 0 0 0 0 0 1.0009 0 0.963 0.077 0.3562 0.4999 2.7408 0.8537 0.0827 0.3567 0.4546 1.9552 -0.0903 0.0903 0.5508 0 0
13 4 365 0 0 0 0 0 1.0003 0 0.9017 -0.1489 0.3931 0.5996 3.0105 0.9064 -0.0248 0.3285 0.4173 2.3084 -0.1191 0.1191 0.5712 0 0
13 5 342 0 0 0 0 0 1.0004 0 0.9712 -0.0423 0.3974 0.5154 2.846 0.9058 -0.1188 0.3552 0.4538 2.0668 -0.0683 0.0683 0.542 0 0
13 6 299 0 0 0 0 0 1.0004 0 0.9427 -0.2196 0.3608 0.4766 2.489 0.9194 -0.1473 0.3704 0.4625 2.4246 -0.064 0.064 0.4651 0 0
13 7 359 4 0 0 0 0 1.0012 0 0.9449 0.154 0.2589 0.316 2.1158 0.9191 0.1881 0.3632 0.4734 2.4558 0.043 0.043 0.5241 1 0
13 8 352 0 0 0 0 0 1.0007 0 0.9326 -0.1952 0.3984 0.4956 2.5751 0.8923 -0.1192 0.3704 0.4664 2.259 0.0138 0.0138 0.4911 0 0
13 9 290 0 0 0 0 0 1.0004 0 0.9218 0.1261 0.3192 0.4493 2.1044 0.8978 0.1026 0.3393 0.4415 2.3695 -0.0594 0.0594 0.508 0 0
13 10 326 0 0 0 0 0 1.0004 0 0.9369 -0.092 0.3042 0.3876 2.0233 0.8949 -0.0238 0.384 0.4655 2.3481 -0.1559 0.1559 0.4829 0 0
13 11 343 0 0 0 0 0 1.0001 0 0.9284 0.1968 0.4039 0.5076 2.8935 0.8794 0.0569 0.3573 0.452 2.3328 -0.1213 0.1213 0.57 0 0
13 12 390 0 0 0 0 0 1.0007 0 0.9615 0.048 0.2421 0.2854 2.0945 0.9113 0.0355 0.3259 0.4017 2.3774 0.012 0.012 0.4775 0 0
13 13 402 0 0 0 0 0 1.0003 0 0.9586 -0.2051 0.3748 0.4923 2.6483 0.9278 -0.2704 0.4223 0.508 2.2584 0.0742 0.0742 0.4988 0 0
