"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF.1" "ACF.2" "ACF.3" "PACF" "LPACF" "MSSD" "itcor.Item_1" "itcor.Item_2" "itcor.Item_3" "itcor2.Item_1" "itcor2.Item_2" "itcor2.Item_3" "itcor3.Item_1" "itcor3.Item_2" "itcor3.Item_3" "q1.Item_1" "q1.Item_2" "q1.Item_3" "q1alt.Item_1" "q1alt.Item_2" "q1alt.Item_3" "lpacf.Item_1" "lpacf.Item_2" "lpacf.Item_3" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1001 "Meaning" 0 0 0 0 0 0 0.848 0.793 0.263 0.212 0.294 0.129 0.692 0.98 0.003 0.84 0.954 0.009 0.852 0.991 0.106 0.468 0.516 0.071 0.087 0.009 0 0.002 0.054 0 0 0.999 0.932 0.99 0.015 0.334 0.134 0.003 0.013 0 0.003 0.159 0.67 0.029 0.299
1001 "Default" 0 0 0 0 0 0 0.575 0.763 0.362 0.159 0.51 0.428 0.128 0.866 0.95 0.354 0.835 0.906 0.597 0.937 0.903 0.139 0.179 0.301 0 0 0 0.001 0.187 0.056 0.796 0.766 0.015 0.942 0.99 1 0.981 0.85 1 0.342 0.494 0.102 0.037 0.087 0.978
1001 "Random" 0 0 0 0 0 0 0.613 0.721 0.352 0.201 0.456 0.409 0.404 0.365 0.613 0.544 0.347 0.555 0.614 0.403 0.493 0.428 0.336 0.497 0.045 0.011 0.195 0.017 0.553 0.174 0.709 0.513 0.438 0.224 0.269 0.448 0.046 0.006 0.01 0.505 0.591 0.604 0.225 0.469 0.57
1001 "HalfDrift" 0 0 0 0 0 0 0.556 0.572 0.504 0.31 0.483 0.45 0.945 0.045 0.771 0.883 0.286 0.891 0.903 0.631 0.974 0.481 0.146 0.628 0.419 0 0.001 0.064 0.001 0.006 0.707 0.007 0.894 0.016 0.994 0.326 0.042 0.092 0.045 0.444 0.018 0.179 0.887 0.632 0.411
1002 "Meaning" 0 0 0 0 0 0 0.764 0.37 0.415 0.719 0.287 0.268 0.692 0.997 0.009 0.743 0.997 0.013 0.754 0.998 0.046 0.541 0.621 0.158 0.05 0.609 0.095 0.044 0.035 0.002 0 0.984 0.814 1 0.099 0.065 0.997 0.017 0.113 0.005 0.028 0.409 0.927 0.013 0.192
1002 "Default" 0 3 0 0 0 0 0.719 0.29 0.428 0.815 0.355 0.32 0.973 0.113 0.722 0.987 0.33 0.653 0.99 0.732 0.759 0.512 0.192 0.379 0 0 0 0.067 0 0.039 0.503 0.013 0.909 1 1 0.999 1 0.995 1 0.594 0.094 0.19 0.664 0.697 0.199
1002 "Random" 0 1 0 0 0 0 0.768 0.211 0.383 0.904 0.296 0.266 0.741 0.089 0.566 0.785 0.112 0.505 0.766 0.15 0.573 0.421 0.326 0.484 0.114 0.039 0.242 0.188 0.003 0.102 0.766 0.059 0.886 0.179 0.988 0.067 0.004 0.001 0.02 0.452 0.176 0.24 0.41 0.875 0.207
1002 "HalfDrift" 0 0 0 0 0 0 0.743 0.429 0.48 0.746 0.324 0.248 1 0.007 0.342 1 0.024 0.466 0.992 0.127 0.569 0.6 0.043 0.564 0.488 0 0.008 0.593 0.001 0.02 0.16 0.018 0.998 0.46 0.959 0.003 0.014 0.176 0.115 0.621 0.012 0.002 0.784 0.119 0.035
1003 "Meaning" 0 0 0 0 0 0 0.742 0.617 0.518 0.498 0.361 0.249 0.928 0.935 0.004 0.871 0.856 0.04 0.949 0.837 0.098 0.605 0.536 0.113 0.755 0.523 0.313 0.011 0.183 0.008 0 0.925 0.978 0.994 0.221 0.076 0.087 0.008 0.113 0.006 0.112 0.069 0.919 0.044 0.002
1003 "Default" 0 0 0 0 0 0 0.491 0.583 0.546 0.35 0.537 0.521 0.993 0.264 0.982 0.951 0.485 0.987 0.993 0.579 0.987 0.383 0.056 0.259 0.001 0 0.007 0.074 0.106 0.642 0.543 0.003 0.65 0.997 0.999 0.982 1 1 1 0.539 0.091 0.481 0.488 0.71 0.332
1003 "Random" 0 0 0 0 0 0 0.672 0.53 0.533 0.546 0.412 0.312 0.776 0.199 0.31 0.695 0.238 0.299 0.789 0.289 0.244 0.564 0.208 0.421 0.606 0.014 0.582 0.052 0.17 0.643 0.408 0.34 0.881 0.239 0.885 0.095 0.009 0.003 0.048 0.596 0.504 0.213 0.647 0.468 0.074
1003 "HalfDrift" 0 0 0 0 0 0 0.698 0.396 0.445 0.731 0.369 0.316 0.89 0.067 0.374 0.794 0.297 0.537 0.835 0.684 0.866 0.508 0.175 0.537 0.168 0 0.003 0.373 0 0 0.302 0.176 0.962 0.298 0.758 0.056 0.169 0.171 0 0.581 0.234 0.102 0.273 0.47 0.208
1004 "Meaning" 0 0 0 0 0 0 0.834 0.416 0.341 0.969 0.221 0.131 1 0.283 0.003 1 0.339 0.013 1 0.372 0.139 0.529 0.403 0.033 0.22 0.052 0 0.036 0 0 0 0.601 1 0.994 0.775 0.011 0.109 0.208 0.001 0 0.604 0 0.938 0.845 0.003
1004 "Default" 0 2 0 0 0 0 0.676 0.361 0.42 0.942 0.376 0.3 0.818 0.011 0.999 0.828 0.036 0.995 0.928 0.124 0.998 0.308 0.17 0.307 0 0 0 0.004 0 0.42 0.995 0 0.7 0.972 1 0.969 0.949 1 0.127 0.011 0.004 0.479 0.009 0.998 0.095
1004 "Random" 0 0 0 0 0 0 0.642 0.482 0.609 0.849 0.378 0.352 0.742 0.022 0.835 0.729 0.045 0.811 0.774 0.081 0.83 0.433 0.261 0.433 0.124 0.006 0.219 0.046 0.002 0.145 0.956 0.006 0.888 0.035 0.972 0.113 0.014 0.085 0.002 0.11 0.027 0.221 0.074 0.993 0.061
1004 "HalfDrift" 0 0 0 0 0 0 0.809 0.277 0.292 0.959 0.274 0.22 0.836 0.683 0.429 0.587 0.773 0.535 0.771 0.926 0.627 0.63 0.486 0.568 0.456 0.165 0.006 0.187 0.03 0.012 0.074 0.576 0.75 0.284 0.33 0.736 0.841 0.869 0.018 0.419 0.564 0.524 0.944 0.326 0.448
1005 "Meaning" 0 0 0 0 0 0 0.887 0.816 0.547 0.281 0.26 0.078 0.784 0.375 0.015 0.799 0.375 0.033 0.734 0.518 0.163 0.592 0.373 0.176 0.7 0.015 0.024 0.107 0.001 0 0.002 0.824 0.99 0.885 0.591 0.274 0.272 0.114 0.104 0.064 0.337 0.05 0.622 0.337 0.267
1005 "Default" 0 0 0 0 0 0 0.917 0.827 0.55 0.341 0.226 0.049 0.084 0.012 0.998 0.304 0.049 0.968 0.542 0.402 0.987 0.05 0.14 0.24 0 0 0 0 0 0.201 1 0.012 0.428 0.99 1 0.999 1 1 1 0 0.181 0.553 0.002 0.994 0.071
1005 "Random" 0 0 0 0 0 0 0.845 0.863 0.408 0.15 0.293 0.099 0.282 0.015 0.752 0.36 0.04 0.73 0.565 0.104 0.778 0.4 0.266 0.491 0.041 0.005 0.694 0.002 0 0.136 0.997 0.07 0.859 0.002 0.824 0.072 0.118 0.002 0.011 0.011 0.25 0.377 0.028 0.968 0.028
1005 "HalfDrift" 0 0 0 0 0 0 0.428 0.569 0.762 0.341 0.594 0.596 0.939 0.167 0.923 0.842 0.952 0.971 0.894 0.975 0.985 0.513 0.154 0.562 0.441 0.033 0.022 0.774 0.146 0.081 0.338 0.092 0.397 0.465 0.784 0.598 0.425 0.984 0.032 0.422 0.193 0.417 0.946 0.636 0.964
1006 "Meaning" 0 0 0 0 0 0 0.694 0.595 0.647 0.443 0.368 0.246 0.974 0.779 0 0.922 0.856 0.007 0.973 0.616 0.059 0.566 0.499 0.076 0.429 0.814 0.073 0.134 0.003 0 0 0.913 0.999 0.995 0.051 0.008 0.063 0.001 0.012 0.001 0.048 0.004 0.002 0.209 0.044
1006 "Default" 0 0 0 0 0 0 0.475 0.49 0.629 0.448 0.489 0.552 0.702 0.74 0.98 0.738 0.895 0.871 0.891 0.52 0.963 0.047 0.279 0.291 0.001 0.032 0.009 0.404 0.032 0.792 0.718 0.057 0.221 0.951 0.998 0.992 0.751 0.208 0.379 0.543 0.435 0.41 0.385 0.878 0.494
1006 "Random" 0 0 0 0 0 0 0.52 0.509 0.601 0.444 0.477 0.449 0.236 0.495 0.504 0.42 0.596 0.364 0.487 0.39 0.491 0.276 0.518 0.541 0.33 0.437 0.286 0.554 0.188 0.381 0.673 0.509 0.478 0.162 0.427 0.24 0.11 0.006 0.021 0.509 0.524 0.563 0.72 0.928 0.831
1006 "HalfDrift" 0 0 0 0 0 0 0.623 0.664 0.61 0.324 0.473 0.338 0.99 0.042 0.342 0.827 0.775 0.691 0.963 0.904 0.83 0.513 0.162 0.584 0.568 0.022 0.016 0.395 0 0.003 0.019 0.261 0.979 0.383 0.629 0.019 0.245 0.643 0.675 0.586 0.193 0.016 0.987 0.452 0.956
1007 "Meaning" 0 0 0 0 0 0 0.639 0.695 0.594 0.257 0.47 0.298 0.76 0.91 0.003 0.937 0.892 0.014 0.931 0.964 0.154 0.464 0.517 0.172 0.059 0.015 0 0.079 0.113 0 0 0.998 0.978 0.999 0.007 0.069 0.029 0.027 0.027 0 0.017 0.1 0.552 0.078 0.312
1007 "Default" 0 0 0 0 0 0 0.334 0.639 0.593 0.226 0.66 0.67 0.214 1 0.298 0.617 0.996 0.549 0.658 0.998 0.717 0.347 0.382 0.044 0.001 0 0 0.002 0.679 0.026 0.054 0.991 0.016 0.999 0.993 0.999 1 1 1 0.172 0.039 0.135 0.51 0.015 0.98
