cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
44 1 1346 0 0 0 0 0 1.0011 0 0.4189 -0.1533 0.2411 0.3042 0.6811 0.9867 -0.0201 0.2186 0.2982 1.4647 0.7739 -0.0251 0.5589 0.7053 4.5549 0.0534 0.0534 0.2451 0 0
44 2 1282 0 0 0 0 0 1.0007 0 -0.9927 0.0903 0.1689 0.1862 0.8895 0.9957 0.096 0.108 0.1402 1.1591 0.7654 0.0329 0.5847 0.7525 4.2954 -0.0719 0.0719 0.3312 0 0
44 3 1323 0 0 0 0 0 1.0003 0 0.9984 -0.0744 0.1816 0.2117 0.8799 0.9967 -0.0273 0.0909 0.11 1.4297 0.8172 -0.0594 0.5068 0.6553 4.4102 0.0104 0.0104 0.2677 0 0
44 4 1315 0 0 0 0 0 1.0006 0 0.5809 -0.0548 0.1023 0.1052 0.8749 0.9954 -0.0169 0.0786 0.1134 1.2276 0.7947 0.0027 0.5366 0.68 4.181 -0.0996 0.0996 0.2871 0 0
44 5 1287 0 0 0 0 0 1.0007 0 0.8785 0.0798 0.1446 0.1486 0.9841 0.9929 0.0443 0.1196 0.1508 1.854 0.6565 -0.0311 0.6747 0.852 4.2923 -0.0159 0.0159 0.3536 0 0
44 6 1225 0 0 0 0 0 1.0006 0 0.8466 0.0115 0.0732 0.0764 1.1054 0.9963 -0.0735 0.1633 0.1761 2.9847 0.6704 -0.0107 0.7261 0.9108 4.3652 -0.1546 0.1546 0.5469 0 0
44 7 1231 0 0 0 0 0 1.0012 0 0.9999 0.1571 0.1571 0.2009 1.3793 0.9938 -0.1179 0.1225 0.1528 1.5736 0.6815 -0.1357 0.6911 0.8859 4.2929 -0.0833 0.0833 0.331 0 0
44 8 1297 0 0 0 0 0 1.0007 0 -0.4113 0.0716 0.2389 0.296 0.972 0.9929 -0.0782 0.1406 0.1657 1.9056 0.7054 -0.1024 0.6399 0.8153 4.4588 1e-04 1e-04 0.2924 0 0
44 9 1282 0 0 0 0 0 1.0005 0 0.985 0.0279 0.0428 0.0581 0.8626 0.9922 -0.0904 0.0933 0.1519 1.3007 0.7419 -0.1231 0.5856 0.7616 4.3935 -0.0324 0.0324 0.2676 0 0
44 10 1279 0 0 0 0 0 1.001 0 0.9114 0.0488 0.0747 0.0937 0.9047 0.9972 -0.108 0.1676 0.2213 1.3822 0.7491 -0.0927 0.5969 0.764 4.4356 -0.0432 0.0432 0.3109 0 0
44 11 1341 0 0 0 0 0 1.0004 0 0.9365 0.1627 0.1627 0.1985 0.8281 0.9974 -0.0483 0.1234 0.136 1.0486 0.7257 -0.1473 0.6393 0.8221 4.4029 3e-04 3e-04 0.2581 0 0
44 12 1287 0 0 0 0 0 1.0002 0 0.6227 0.078 0.2788 0.3153 1.5153 0.9854 -0.159 0.2013 0.2882 2.0683 0.7423 -0.0776 0.6808 0.8587 4.352 -0.059 0.059 0.3167 0 0
44 13 1325 0 0 0 0 0 1.0003 0 0.9312 -0.0829 0.0829 0.0929 0.8552 0.9992 -0.207 0.207 0.2251 1.418 0.7846 -0.2568 0.6309 0.8075 4.5438 0.0904 0.0904 0.2258 0 0
44 14 1300 0 0 0 0 0 1.0009 0 0.9515 -0.1127 0.1156 0.1714 0.7969 0.9801 0.1515 0.1995 0.2759 2.4146 0.6773 0.0117 0.6817 0.8608 4.6012 0.0444 0.0444 0.4269 0 0
44 15 1344 0 0 0 0 0 1.0008 0 -0.1324 -0.1001 0.2175 0.2261 0.8518 0.9922 0.012 0.1515 0.1761 1.698 0.7749 0.0879 0.5932 0.7425 4.4264 0.0159 0.0159 0.3066 0 0
44 16 1317 0 0 0 0 0 1.0012 0 0.8339 0.0634 0.1387 0.179 0.9679 0.9899 -0.1234 0.1669 0.224 1.6021 0.7562 -0.0265 0.6518 0.8063 4.2656 0.0061 0.0061 0.3116 0 0
44 17 1276 0 0 0 0 0 1.0011 0 0.8199 0.1285 0.1285 0.1836 1.106 0.9985 -0.0535 0.2075 0.2426 1.4598 0.7643 -0.0676 0.6358 0.8019 4.1203 -0.1424 0.1424 0.3421 0 0
44 18 1225 0 0 0 0 0 1.001 0 0.9953 -0.0998 0.0998 0.1031 0.9068 0.9978 -0.1321 0.1548 0.1949 2.2341 0.7446 -0.104 0.6109 0.7653 4.3323 -0.0115 0.0115 0.3057 0 0
44 19 1273 0 0 0 0 0 1.0004 0 0.0412 -0.0584 0.0782 0.0927 0.9576 0.9944 0.1322 0.1805 0.2395 2.7588 0.6386 -0.0104 0.6516 0.8283 4.3333 -0.1183 0.1183 0.5577 0 0
44 20 1274 0 0 0 0 0 1.0016 0 -0.8367 -0.0664 0.3307 0.3506 1.375 0.9953 0.4032 0.6848 0.9009 5.5576 0.6293 0.1159 0.6822 0.8579 4.3509 -0.0655 0.0655 0.4012 0 0
44 21 1307 0 0 0 0 0 1.0005 0 0.9992 -0.0857 0.0857 0.0874 0.9124 0.9862 0.0189 0.3891 0.5087 6.5279 0.6989 -0.1265 0.6344 0.8099 4.5811 0.0381 0.0381 0.373 0 0
44 22 1284 0 0 0 0 0 1.0003 0 0.8848 -0.1971 0.1971 0.2176 0.8846 0.9864 0.0896 0.2325 0.3532 3.2292 0.7208 -0.1113 0.651 0.8395 4.5743 0.0214 0.0214 0.4932 0 0
44 23 1327 0 0 0 0 0 1.0003 0 0.2268 0.0899 0.1149 0.1294 0.8359 0.9982 0.0852 0.1021 0.1381 1.4714 0.7677 0.0014 0.584 0.728 4.4642 0.0214 0.0214 0.2806 0 0
44 24 1239 0 0 0 0 0 1.0011 0 0.6864 -0.1887 0.1887 0.2105 0.8175 0.9897 0.2644 0.3266 0.5367 4.6251 0.6401 0.1062 0.6707 0.8432 4.9713 0.0715 0.0715 0.422 0 0
44 25 1318 0 0 0 0 0 1.0006 0 -0.4432 -0.2076 0.2734 0.3189 0.7694 0.9855 -0.0928 0.2245 0.3358 1.9102 0.6851 -0.0487 0.6269 0.7943 4.4353 0.031 0.031 0.3169 0 0
44 26 1298 0 0 0 0 0 1.0021 0 -0.9894 -0.0713 0.2829 0.3383 1.1922 0.994 0.176 0.2431 0.3414 3.4123 0.6889 0.0428 0.654 0.8396 4.2961 -0.0957 0.0957 0.3509 0 0
44 27 1332 0 0 0 0 0 1.0005 0 0.8795 0.0576 0.0765 0.1163 0.9611 0.9965 0.0963 0.1079 0.1262 1.1753 0.7729 -0.0226 0.6012 0.7684 4.0984 -0.1398 0.1398 0.3329 0 0
44 28 1292 0 0 0 0 0 1.0008 0 0.9268 -0.2121 0.2121 0.2268 0.7394 0.9984 0.1068 0.3254 0.3913 2.9054 0.6654 0.2204 0.6401 0.8195 4.6803 0.0828 0.0828 0.315 0 0
44 29 1315 0 0 0 0 0 1.0003 0 0.9998 0.027 0.027 0.028 0.9517 0.9987 -0.1112 0.1149 0.1342 1.3307 0.752 -0.0705 0.5836 0.7566 4.7042 0.066 0.066 0.2682 0 0
44 30 1238 0 0 0 0 0 1.0011 0 0.2605 0.171 0.2766 0.3367 1.0407 0.9874 0.0474 0.2122 0.2589 2.0194 0.6982 0.0231 0.7091 0.8757 4.2553 -0.0432 0.0432 0.3439 0 0
44 31 1299 0 0 0 0 0 1.0003 0 -0.7582 -0.1295 0.2081 0.2177 0.9648 0.9968 0.3421 0.3421 0.4445 2.9288 0.6727 0.1238 0.6928 0.8817 4.4313 -0.0266 0.0266 0.3344 0 0
44 32 1242 0 0 0 0 0 1.0004 0 0.973 -0.0158 0.0829 0.093 0.9945 0.9948 0.0274 0.219 0.2566 2.4994 0.6153 -0.0385 0.7418 0.9209 4.6666 0.0839 0.0839 0.3456 0 0
44 33 1333 0 0 0 0 0 1.0004 0 0.9373 -0.099 0.099 0.1322 0.958 0.9986 -0.1838 0.2151 0.2331 2.4596 0.7427 -0.1384 0.6667 0.8438 4.5832 0.0808 0.0808 0.2793 0 0
44 34 1312 0 0 0 0 0 1.0006 0 0.9707 -0.0882 0.1135 0.1466 0.7062 0.997 0.0193 0.1132 0.1578 1.7515 0.7772 -0.0064 0.5754 0.7331 4.4859 0.0489 0.0489 0.2894 0 0
44 35 1320 0 0 0 0 0 1.0005 0 0.863 -0.1741 0.1741 0.1904 0.8086 0.9819 -0.092 0.3468 0.443 3.4287 0.6413 -0.0469 0.725 0.8964 4.7281 0.0819 0.0819 0.4187 0 0
44 36 1254 0 0 0 0 0 1.0003 0 0.9973 0.0736 0.1171 0.1235 0.9316 0.9949 -0.063 0.1075 0.1523 2.2767 0.7198 0.0509 0.669 0.8401 4.5245 0.0266 0.0266 0.3027 0 0
44 37 1281 0 0 0 0 0 1.0004 0 0.9939 -0.0115 0.0286 0.0367 0.9768 0.9931 0.0027 0.1094 0.194 3.0495 0.6769 0.0319 0.6924 0.8628 4.1902 -0.1712 0.1712 0.5664 0 0
44 38 1287 0 0 0 0 0 1.0013 0 0.9298 0.0188 0.0997 0.1069 1.1264 0.9942 0.1117 0.1222 0.1618 1.5134 0.7309 0.1081 0.6018 0.7738 4.2588 -0.0848 0.0848 0.3695 0 0
44 39 1274 0 0 0 0 0 1.0008 0 0.9692 0.0262 0.1506 0.1754 1.1217 0.9894 0.1839 0.2358 0.3475 4.2535 0.7237 -9e-04 0.6263 0.8104 4.3736 -0.0303 0.0303 0.2982 0 0
44 40 1302 0 0 0 0 0 1.0006 0 0.6924 0.0056 0.0853 0.0921 0.9256 0.9883 0.2616 0.292 0.321 1.4694 0.676 0.1604 0.658 0.8366 4.5881 0.0182 0.0182 0.3155 0 0
44 41 1270 0 0 0 0 0 1.0003 0 -0.1557 0.0519 0.1406 0.1411 0.8388 0.9883 0.1569 0.2135 0.2278 1.6187 0.6816 0.1635 0.6784 0.8517 4.31 -0.027 0.027 0.3022 0 0
44 42 1276 0 0 0 0 0 1.0018 0 -0.6428 -0.1321 0.2512 0.2615 1.0789 0.9854 -0.1931 0.4104 0.5456 4.1137 0.6904 -0.0387 0.65 0.8027 4.4738 -7e-04 7e-04 0.4032 0 0
44 43 1251 0 0 0 0 0 1.0008 0 0.9622 0.0802 0.0802 0.1085 0.8882 0.9968 -0.2056 0.2056 0.2381 1.5442 0.6299 -0.1438 0.7072 0.8954 4.3604 -0.0195 0.0195 0.3399 0 0
44 44 1441 0 0 0 0 0 1.0012 0 0.9189 -0.2761 0.4129 0.53 0.8001 0.9918 0.0136 0.1495 0.1759 1.2877 0.795 0.157 0.5847 0.74 4.6414 0.1185 0.1185 0.2414 0 0
44 45 1336 0 0 0 0 0 1.0007 0 -0.5071 0.0949 0.1532 0.1694 0.8147 0.9922 -0.056 0.1959 0.2309 1.9403 0.713 -0.0507 0.6056 0.7799 4.1945 -0.0435 0.0435 0.3002 0 0
44 46 1254 0 0 0 0 0 1.0019 0 -0.9774 0.0076 0.1985 0.2193 1.3124 0.9659 0.2019 0.2139 0.3766 3.6581 0.6034 0.1559 0.6969 0.8936 4.189 -0.1831 0.1831 0.478 0 0
44 47 1275 0 0 0 0 0 1.0008 0 0.5276 -0.2053 0.3076 0.3355 0.886 0.9891 0.0948 0.2223 0.2982 3.5292 0.7015 -0.0722 0.6454 0.8306 4.2348 -0.0245 0.0245 0.3347 0 0
44 48 1351 0 0 0 0 0 1.0009 0 0.9489 0.0938 0.1297 0.1404 1.0189 0.9942 0.0048 0.0729 0.0899 0.9209 0.7879 -0.018 0.5349 0.6872 4.322 0.0091 0.0091 0.2833 0 0
44 49 1235 0 0 0 0 0 1.0004 0 0.8302 -0.0051 0.1124 0.1296 1.0488 0.9841 0.0608 0.1411 0.1725 1.8047 0.7146 0.0851 0.6291 0.8074 4.6544 0.0327 0.0327 0.3411 0 0
44 50 1244 0 0 0 0 0 1.0009 0 0.891 0.0373 0.1068 0.12 1.0703 0.985 0.2158 0.2657 0.3276 2.1861 0.6787 0.0467 0.7096 0.8796 4.372 -0.0573 0.0573 0.3669 0 0
44 51 1320 0 0 0 0 0 1.0005 0 0.9835 0.1161 0.1388 0.1886 0.9756 0.9911 -0.144 0.1618 0.1923 1.375 0.7498 -0.1171 0.6367 0.7883 4.5218 0.0118 0.0118 0.3103 0 0
44 52 1317 0 0 0 0 0 1.0003 0 -0.8869 -0.1316 0.2453 0.2632 0.9998 0.9933 0.3333 0.3693 0.4772 3.1073 0.6954 0.0138 0.6314 0.8069 4.4449 0.054 0.054 0.3551 0 0
44 53 1254 0 0 0 0 0 1.0005 0 1 -0.1587 0.1587 0.1815 0.8036 0.9884 -0.2087 0.3465 0.5 3.5307 0.7119 5e-04 0.6182 0.7832 4.5281 0.0123 0.0123 0.3373 0 0
44 54 1386 0 0 0 0 0 1.0008 0 -0.6117 -0.1971 0.1971 0.2282 0.7121 0.994 -0.0795 0.1674 0.2641 2.3041 0.7582 0.0026 0.5907 0.7489 4.4771 0.038 0.038 0.3542 0 0
44 55 1655 351 0 0 0 0 1.0009 0 0.9905 -0.4464 0.4464 0.4767 0.6106 0.9957 0.2081 1.3381 1.6792 7.8561 0.4763 0.4259 1.0989 1.3722 7.1212 0.3431 0.3431 0.2661 1 0
44 56 1246 0 0 0 0 0 1.0008 0 0.5026 0.02 0.205 0.237 1.0955 0.987 -0.1555 0.2074 0.2433 2.2776 0.6692 -0.1265 0.7019 0.8819 4.2227 -0.0545 0.0545 0.3883 0 0
44 57 1303 1 0 0 0 0 1.0007 0 0.9888 -0.103 0.1082 0.1324 0.9584 0.9946 -0.1401 0.4014 0.5003 4.8 0.5791 -0.0083 0.7579 0.971 4.9507 0.0675 0.0675 0.4928 1 0
