cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
54 1 667 0 0 0 0 0 1.0001 0 0.9645 -0.065 0.3091 0.4073 2.4819 0.756 -0.0232 0.4568 0.6529 4.0824 -0.1377 0.1377 0.4585 0 0
54 2 632 0 0 0 0 0 1.0002 0 0.9131 0.0908 0.2728 0.3609 1.7021 0.8147 0.0742 0.4358 0.622 4.2312 0.0502 0.0502 0.4335 0 0
54 3 607 0 0 0 0 0 1.0009 0 0.9559 -0.0438 0.2485 0.3552 2.1424 0.7821 0.0292 0.4569 0.6276 4.0866 -0.035 0.035 0.4242 0 0
54 4 658 0 0 0 0 0 1.0004 0 0.9754 0.0743 0.2533 0.3123 2.3796 0.7329 0.0743 0.466 0.6506 4.1142 0.1864 0.1864 0.4709 0 0
54 5 579 0 0 0 0 0 1.0007 0 0.9667 -0.0952 0.1789 0.2353 1.6694 0.7793 -0.0502 0.4384 0.5896 4.0777 -0.0306 0.0306 0.432 0 0
54 6 628 0 0 0 0 0 1.0003 0 0.9683 -0.0113 0.1993 0.2556 1.7986 0.7926 -0.0082 0.4286 0.6033 4.0575 0.1246 0.1246 0.4186 0 0
54 7 673 0 0 0 0 0 1.0003 0 0.9342 0.0122 0.2665 0.334 1.7567 0.7892 0.046 0.4601 0.6122 4.0273 -0.2 0.2 0.4222 0 0
54 8 614 0 0 0 0 0 1.0004 0 0.9719 -0.0174 0.2751 0.3529 2.572 0.7648 0.0092 0.4732 0.6329 4.0911 -0.1183 0.1183 0.45 0 0
54 9 609 0 0 0 0 0 1.0012 0 0.969 -0.0092 0.1825 0.2322 1.6599 0.7772 -0.0888 0.4777 0.694 4.0582 -0.0716 0.0716 0.4059 0 0
54 10 594 0 0 0 0 0 1.0004 0 0.951 -0.3116 0.3669 0.4736 2.4554 0.6801 -0.1182 0.522 0.7122 4.1583 0.0587 0.0587 0.5574 0 0
54 11 609 0 0 0 0 0 1.0002 0 0.9503 0.0486 0.2134 0.2638 1.484 0.7571 -0.058 0.4585 0.6864 4.1247 -0.0957 0.0957 0.4809 0 0
54 12 613 0 0 0 0 0 1.0002 0 0.963 -0.1843 0.3061 0.4379 2.5307 0.7573 -0.1562 0.4584 0.6195 4.0396 -0.1073 0.1073 0.4331 0 0
54 13 608 0 0 0 0 0 1.0006 0 0.9208 0.078 0.3033 0.5336 3.0892 0.7729 -0.0208 0.447 0.5871 4.0502 -0.1012 0.1012 0.4486 0 0
54 14 587 0 0 0 0 0 1.0014 0 0.9802 0.0957 0.198 0.3049 2.4582 0.7741 0.0176 0.4677 0.6326 4.1545 -0.1035 0.1035 0.5009 0 0
54 15 573 0 0 0 0 0 1.0009 0 0.9745 -0.0522 0.1924 0.2744 1.9606 0.7583 -0.0678 0.4797 0.6367 4.0813 -0.0569 0.0569 0.4845 0 0
54 16 642 0 0 0 0 0 1.0012 0 0.9115 -0.2334 0.3569 0.5219 2.451 0.8044 -0.1351 0.4146 0.5612 4.1221 -0.088 0.088 0.4777 0 0
54 17 555 0 0 0 0 0 1.0013 0 0.9485 -0.1719 0.3551 0.4486 1.9287 0.8323 -0.1304 0.448 0.57 4.1772 0.0294 0.0294 0.4656 0 0
54 18 578 0 0 0 0 0 1.001 0 0.9581 -0.061 0.3197 0.5167 2.901 0.8084 -2e-04 0.4341 0.589 4.1175 -0.0175 0.0175 0.4592 0 0
54 19 578 0 0 0 0 0 1.0003 0 0.9725 -0.0179 0.1867 0.2662 1.9547 0.8439 0.0441 0.3908 0.4959 4.0107 0.0306 0.0306 0.4336 0 0
54 20 638 0 0 0 0 0 1.0001 0 0.9177 0.2789 0.3753 0.6537 2.5767 0.7728 0.083 0.4767 0.6519 4.0598 0.1946 0.1946 0.4622 0 0
54 21 588 0 0 0 0 0 1.0004 0 0.957 -0.0518 0.4329 0.584 2.9629 0.7816 -0.1327 0.4871 0.639 4.1704 -0.0698 0.0698 0.4959 0 0
54 22 602 0 0 0 0 0 1.0008 0 0.9594 -0.1556 0.316 0.4076 2.1657 0.7414 -0.1719 0.4839 0.6432 4.0956 -0.1224 0.1224 0.4547 0 0
54 23 587 0 0 0 0 0 1.0013 0 0.9665 0.1518 0.2541 0.4045 2.6829 0.745 0.045 0.4412 0.5966 4.0754 0.0159 0.0159 0.4927 0 0
54 24 592 0 0 0 0 0 1.0012 0 0.9667 0.1813 0.29 0.367 2.4918 0.7667 0.0058 0.4563 0.6149 4.0361 0.0047 0.0047 0.4489 0 0
54 25 527 0 0 0 0 0 1.0003 0 0.9508 -0.1419 0.329 0.4284 2.0552 0.7504 -0.0412 0.484 0.6356 4.0664 -0.1005 0.1005 0.4417 0 0
54 26 634 0 0 0 0 0 1.0001 0 0.9794 -0.0269 0.1976 0.2715 2.3723 0.8126 0.0609 0.4126 0.5734 4.0775 0.0607 0.0607 0.434 0 0
54 27 553 0 0 0 0 0 1.0014 0 0.9641 0.0426 0.2982 0.4056 2.3391 0.7593 0.003 0.4826 0.6716 4.103 -0.0993 0.0993 0.4305 0 0
54 28 595 0 0 0 0 0 1.0002 0 0.9482 0.1942 0.3313 0.3976 2.1417 0.7675 0.1378 0.4987 0.6855 4.0335 -0.0193 0.0193 0.4646 0 0
54 29 587 0 0 0 0 0 1.0004 0 0.918 -0.1636 0.3485 0.4447 1.7422 0.8236 -0.0734 0.4393 0.5927 4.0432 -0.0213 0.0213 0.4091 0 0
54 30 589 0 0 0 0 0 1.0003 0 0.9754 0.0428 0.2164 0.2771 1.7455 0.7698 0.0184 0.4794 0.6349 4.3131 -0.0685 0.0685 0.4669 0 0
54 31 599 0 0 0 0 0 1.0002 0 0.975 0.1544 0.3082 0.3946 2.3877 0.7392 0.1109 0.4783 0.6699 4.1035 0 0 0.4611 0 0
54 32 596 0 0 0 0 0 1.0006 0 0.9499 -0.2225 0.303 0.3833 2.2709 0.7669 -0.1252 0.5023 0.6754 4.0956 -0.1945 0.1945 0.4226 0 0
54 33 597 0 0 0 0 0 1.0007 0 0.9265 0.0174 0.3111 0.4805 2.7584 0.7557 0.0513 0.4946 0.6607 4.0564 -0.1762 0.1762 0.4766 0 0
54 34 669 0 0 0 0 0 1.0005 0 0.9708 -0.2108 0.2934 0.4319 2.6096 0.8095 -0.1125 0.4501 0.6091 4.1242 -0.128 0.128 0.4198 0 0
54 35 626 0 0 0 0 0 1.0009 0 0.9635 0.2052 0.2408 0.2976 2.2939 0.7657 0.1562 0.4675 0.6164 4.1674 0.0591 0.0591 0.4544 0 0
54 36 600 0 0 0 0 0 1.0006 0 0.9571 -0.0248 0.2702 0.3458 1.9174 0.8234 0.0324 0.3982 0.5576 4.1304 0.0044 0.0044 0.4423 0 0
54 37 665 0 0 0 0 0 1.0001 0 0.9718 0.0341 0.1921 0.2272 1.8184 0.8378 0.0469 0.3684 0.5037 4.1601 -0.0369 0.0369 0.4125 0 0
54 38 531 0 0 0 0 0 1.0011 0 0.9664 0.0042 0.2113 0.2504 1.6541 0.7468 0.0312 0.4665 0.6635 4.2885 -0.0193 0.0193 0.4387 0 0
54 39 579 0 0 0 0 0 1.0004 0 0.9675 0.1647 0.2227 0.2903 1.672 0.7402 0.0647 0.456 0.6314 4.0419 0.2348 0.2348 0.4163 0 0
54 40 606 0 0 0 0 0 1.0002 0 0.9515 0.179 0.3107 0.3801 2.1522 0.8395 0.0585 0.4399 0.5585 4.1794 0.0707 0.0707 0.4476 0 0
54 41 606 0 0 0 0 0 1.0016 0 0.9247 -0.1212 0.3693 0.4957 2.6725 0.7688 -0.1036 0.4722 0.6571 4.1246 -0.1236 0.1236 0.4972 0 0
54 42 558 0 0 0 0 0 1.0013 0 0.9802 -0.0219 0.215 0.2604 2.3367 0.8111 0.0254 0.4066 0.5474 3.9996 -0.1372 0.1372 0.3857 0 0
54 43 627 0 0 0 0 0 1.0004 0 0.9655 -0.016 0.2867 0.4136 2.213 0.7356 -0.016 0.4693 0.6461 4.0752 0.0824 0.0824 0.4517 0 0
54 44 649 0 0 0 0 0 1.0003 0 0.9713 -0.0309 0.2133 0.2737 2.1386 0.8048 -0.0143 0.4353 0.5972 4.3038 -0.1367 0.1367 0.4943 0 0
54 45 621 0 0 0 0 0 1.0012 0 0.9685 0.0193 0.2182 0.2743 2.241 0.7799 0.0657 0.4394 0.5808 4.1605 -0.0708 0.0708 0.4773 0 0
54 46 642 0 0 0 0 0 1.0005 0 0.9515 -0.1182 0.2829 0.4048 2.0876 0.7872 -0.1138 0.4671 0.6125 4.0857 -0.1474 0.1474 0.4305 0 0
