cond r genModel parModel run.time tot.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat corrupt efficiency acf1 acf2 acf3 racf lpacf mssd itcor1 itcor2 itcor3 itcor4 itcor5 itcor6 q1_1 q1_2 q1_3 q1_4 q1_5 q1_6 q1alt_1 q1alt_2 q1alt_3 q1alt_4 q1alt_5 q1alt_6 ilpacf_1 ilpacf_2 ilpacf_3 ilpacf_4 ilpacf_5 ilpacf_6 q3_2_1 q3_3_1 q3_4_1 q3_5_1 q3_6_1 q3_3_2 q3_4_2 q3_5_2 q3_6_2 q3_4_3 q3_5_3 q3_6_3 q3_5_4 q3_6_4 q3_6_5 or_2_1 or_3_1 or_4_1 or_5_1 or_6_1 or_3_2 or_4_2 or_5_2 or_6_2 or_4_3 or_5_3 or_6_3 or_5_4 or_6_4 or_6_5 ordiff_2_1 ordiff_3_1 ordiff_4_1 ordiff_5_1 ordiff_6_1 ordiff_3_2 ordiff_4_2 ordiff_5_2 ordiff_6_2 ordiff_4_3 ordiff_5_3 ordiff_6_3 ordiff_5_4 ordiff_6_4 ordiff_6_5 resid_2_1 resid_3_1 resid_4_1 resid_5_1 resid_6_1 resid_3_2 resid_4_2 resid_5_2 resid_6_2 resid_4_3 resid_5_3 resid_6_3 resid_5_4 resid_6_4 resid_6_5 rediff_2_1 rediff_3_1 rediff_4_1 rediff_5_1 rediff_6_1 rediff_3_2 rediff_4_2 rediff_5_2 rediff_6_2 rediff_4_3 rediff_5_3 rediff_6_3 rediff_5_4 rediff_6_4 rediff_6_5
5 1 GPCM 0.666666666666667 4734 5476 0 0 0 0 0 1.0104 0 0 0 0.222 0.678 0.59 0.075 0.315 0.746 0.001 0.007 1 0.995 0.012 0.013 0.591 0.603 0.024 0.045 0.525 0.643 0.903 0.842 0.152 0.116 0.664 0.237 0.29 0.192 0.378 0.096 0.104 0.447 0.143 0.799 0.214 0.031 0.022 0.922 0.39 0.006 0.125 0.972 0.821 0.695 0.808 0.901 0.05 0 0.908 0.262 0.043 0.005 0.762 0.499 0.021 0.002 1 0.273 0.831 0.62 0.64 0.205 0.001 0.095 0.467 0.093 0.439 0.084 0.896 0.845 0.262 0.562 0.339 0.11 0.748 0.046 0.612 0.044 0.101 0.615 0.061 0.017 0.048 0.623 0.028 0.062 0 0.237 0.204 0.452 0.356 0.099 0.729 0.713 0.825 0.028 0.815 0.855 0.296 0.025 0.388 0.822 0.713 0.407 0.539 0.134 0.689
5 2 GPCM 0.666666666666667 4708 5449 0 0 0 0 0 1.0065 0 0 0 0.531 0.411 0.506 0.614 0.516 0.461 0.376 0.016 0.999 0.977 0 0.008 0.572 0.59 0.099 0.108 0.523 0.572 0.484 0.648 0.214 0.618 0.606 0.304 0.445 0.539 0.1 0.564 0.368 0.292 0.177 0.743 0.355 0.368 0.466 0.428 0.624 0.21 0.016 0.884 0.956 0.98 0.288 0.907 0 0.408 0.707 0.432 0.124 0.457 0.163 0.736 0.202 0.071 0.755 0.897 0.973 0.24 0.921 0 0.468 0.601 0.648 0.148 0.39 0.443 0.253 0.964 0.984 0.436 0.734 0.591 0.358 0.513 1 0.378 0.125 0.502 0.271 0.5 0.422 0.512 0.062 0.031 0.005 0.241 0.061 0.509 0.341 0 0.133 0.863 0.868 0.316 0.729 0.541 0.457 0.904 0.897 0.951 0.929 0.982 0.624 0.134 0.892
5 3 GPCM 0.666666666666667 4145 4932 0 0 0 0 0 1.0082 0 0 0 0.456 0.406 0.557 0.584 0.496 0.542 0.016 0.01 0.996 1 0.001 0 0.612 0.725 0.147 0.007 0.448 0.414 0.761 0.269 0.37 0.464 0.344 0.424 0.218 0.272 0.41 0.024 0.064 0.085 0.086 0.725 0.491 0.279 0.016 0.285 0.946 0.009 0.163 0.98 0.358 0.715 0.927 0.672 0.006 0.028 0.86 0.835 0.198 0.051 0.942 0.467 0.004 0.082 0.999 0.609 0.96 0.746 0.625 0.01 0.202 0.633 0.529 0.924 0.063 0.753 0.481 0.375 0.367 0.548 0.876 0.504 0.805 0.718 0.931 0.139 0.252 0.153 0.108 0.02 0.565 0.02 0.035 0.105 0 0.63 0.494 0.07 0.218 0.002 0.09 0.546 0.066 0.828 0.012 0.37 0.157 0.205 0.193 0.319 0.446 0.295 0.001 0.028 0.924
5 4 GPCM 0.666666666666667 4605 5361 0 0 0 0 0 1.0021 0 0 0 0.382 0.646 0.659 0.238 0.438 0.581 0.207 0.077 0.998 1 0 0 0.573 0.637 0.224 0.056 0.601 0.579 0.712 0.688 0.127 0.633 0.694 0.403 0.59 0.352 0.085 0.81 0.19 0.454 0.157 0.932 0.982 0.02 0.026 0.837 0.833 0.245 0.022 0.803 0.773 0.82 0.574 0.578 0.005 0.313 0.86 0.964 0.051 0 0.891 0.782 0.062 0.118 0.997 0.888 0.891 0.734 0.672 0.004 0.662 0.65 0.688 0.01 0.988 0.543 0.166 0.9 0.588 0.676 0.42 0.338 0.635 0.869 0.012 0.243 0.059 0.017 0.056 0.041 0.125 0.135 0.124 0.022 0.021 0.233 0.216 0.59 0.573 0.008 0.848 0.99 0.053 0.041 0.766 0.949 0.875 0.046 0.206 0.97 0.907 0.925 0.442 0.862 0.018
5 5 GPCM 0.666666666666667 6350 7090 1 0 0 0 0 1.0082 0 1 0 0.511 0.381 0.394 0.66 0.533 0.493 0.025 0.402 0.999 0.921 0.003 0.044 0.667 0.486 0.022 0.263 0.567 0.66 0.241 0.685 0.522 0.07 0.861 0.774 0.583 0.192 0.66 0.732 0.341 0.395 0.522 0.721 0.314 0.033 0.069 0.477 0.957 0.241 0.29 0.937 0.724 0.866 0.38 0.266 0.016 0.531 0.478 0.139 0.006 0.004 0.996 0.577 0.28 0.174 0.994 0.987 0.655 0.041 0.107 0.318 0.048 0.8 0.411 0.825 0.854 0.457 0.314 0.273 0.791 0.222 0.752 0.099 0.721 0.752 0.877 0.484 0.204 0.602 0.019 0.204 0.262 0.246 0.235 0.394 0.004 0.298 0.222 0.519 0.596 0.08 0.22 0.578 0.812 0.3 0.717 0.818 0.86 0.423 0.456 0.618 0.783 0.085 0.728 0.513 0.81
5 6 GPCM 0.666666666666667 5805 6557 0 0 0 0 0 1.0094 0 0 0 0.462 0.507 0.372 0.506 0.502 0.526 0.189 0.017 0.992 0.93 0.01 0.061 0.689 0.651 0.169 0.285 0.65 0.591 0.876 0.75 0.196 0.416 0.792 0.417 0.811 0.185 0.322 0.648 0.202 0.156 0.091 0.941 0.521 0.014 0.428 0.852 0.802 0.044 0.016 0.224 0.57 0.921 0.686 0.785 0.016 0.243 0.212 0.432 0.356 0.294 0.904 0.762 0.084 0.012 0.496 0.718 0.656 0.806 0.598 0.202 0.21 0.631 0.944 0.315 0.471 0.605 0.414 0.016 0.02 0.988 0.973 0.928 0.519 0.33 0.264 0.285 0.098 0.532 0.184 0.558 0.18 0.453 0.072 0.033 0.21 0.534 0.164 0.594 0.477 0.105 0.607 0.144 0.193 0.332 0.454 0.854 0.646 0.057 0.918 0.691 0.496 0.093 0.503 0.147 0.132
5 7 GPCM 0.666666666666667 4763 5503 0 0 0 0 0 1.0245 0 0 0 0.464 0.503 0.476 0.501 0.474 0.545 0.018 0.069 0.99 0.997 0.018 0.036 0.617 0.562 0.182 0.124 0.614 0.649 0.365 0.854 0.059 0.266 0.383 0.348 0.331 0.686 0.683 0.607 0.385 0.432 0.032 0.817 0.821 0.382 0.006 0.883 0.797 0.096 0.063 0.284 0.495 0.938 0.766 0.835 0.05 0.116 0.984 0.987 0.054 0.022 0.789 0.872 0.236 0.06 0.93 0.884 0.992 0.945 0.998 0.171 0.255 0.48 0.582 0.944 0.664 0.069 0.447 0.751 0.954 0.427 0.425 0.276 0.228 0.442 0.839 0.065 0.394 0.228 0.284 0.013 0.324 0.245 0.21 0.074 0.136 0.62 0.162 0.553 0.193 0.118 0.112 0.142 0.255 0.416 0.989 0.961 0.652 0.324 0.358 0.316 0.117 0.483 0.204 0.189 0.701
5 8 GPCM 0.666666666666667 6186 6931 0 0 0 0 0 1.0095 0 0 0 0.639 0.318 0.427 0.808 0.577 0.382 0.034 0.029 1 0.988 0.001 0 0.656 0.61 0.01 0.309 0.451 0.604 0.114 0.313 0 0.584 0.5 0.528 0.84 0.578 0.084 0.753 0.249 0.532 0.271 0.948 0.107 0.143 0.01 0.858 0.856 0.029 0.041 0.968 0.45 0.676 0.866 0.567 0.065 0.097 0.987 0.569 0.093 0.05 0.998 0.676 0.057 0.026 0.998 0.592 0.787 0.48 0.373 0.001 0.513 0.674 0.286 0.9 0.972 0.387 0.315 0.713 0.516 0.395 0.918 0.96 0.522 0.474 0.663 0.214 0.009 0.586 0.077 0.027 0.015 0.33 0.009 0.024 0 0.265 0.091 0.445 0.581 0.012 0.2 0.685 0.326 0.08 0.026 0.613 0.928 0.509 0.347 0.994 0.696 0.975 0.913 0.734 0.11
5 9 GPCM 0.666666666666667 5926 6676 0 0 0 0 0 1.0043 0 0 0 0.506 0.592 0.262 0.436 0.506 0.489 0.037 0.388 1 0.991 0 0.001 0.558 0.646 0.024 0.139 0.528 0.516 0.102 0.805 0.2 0.346 0.796 0.221 0.192 0.162 0.562 0.43 0.893 0.304 0.006 0.861 0.856 0.042 0.057 0.991 0.574 0.084 0.352 0.848 0.691 0.502 0.329 0.883 0.001 0.164 0.995 0.723 0.006 0.031 0.979 0.427 0.035 0.185 0.992 0.437 0.55 0.434 0.604 0 0.081 0.53 0.157 0.06 0.141 0.298 0.476 0.041 0.968 0.457 0.873 0.754 0.878 0.146 0.817 0.086 0.078 0.274 0.023 0.042 0.002 0.422 0.11 0.313 0.001 0.39 0.522 0.561 0.466 0.001 0.003 0.285 0.547 0.941 0.912 0.992 0.467 0.077 0.528 0.995 0.21 0.32 0.321 0.543 0.975
5 10 GPCM 0.666666666666667 6280 7031 0 0 0 0 0 1.0091 0 0 0 0.453 0.38 0.603 0.622 0.525 0.52 0.008 0.258 1 0.999 0.004 0 0.548 0.602 0.073 0.055 0.588 0.464 0.612 0.812 0.032 0.307 0.604 0.168 0.331 0.686 0.953 0.623 0.453 0.346 0.352 0.175 0.789 0.142 0.152 0.89 0.736 0.026 0.123 0.914 0.9 0.681 0.814 0.294 0.002 0.14 0.478 0.597 0 0.011 0.896 0.889 0.032 0.104 1 0.897 0.357 0.971 0.538 0.001 0.183 0.136 0.816 0.004 0.603 0.26 0.938 0.032 0.822 0.486 0.134 0.075 0.876 0.984 0.1 0.314 0.612 0.295 0.086 0.03 0.059 0.097 0.072 0.073 0 0.156 0.528 0.292 0.614 0.002 0.676 0.538 0.481 0.801 0.708 0.664 0.197 0.955 0.293 0.493 0.58 0.384 0.141 0.498 0.825
5 11 GPCM 0.666666666666667 6178 6925 0 0 0 0 0 1.006 0 0 0 0.526 0.46 0.434 0.608 0.516 0.491 0.162 0.005 1 1 0.002 0 0.579 0.57 0.059 0.038 0.604 0.474 0.568 0.191 0.608 0.02 0.612 0.115 0.554 0.268 0.231 0.104 0.456 0.636 0.263 0.629 0.971 0.068 0.007 0.877 0.587 0 0.121 0.889 0.896 0.555 0.945 0.808 0.001 0.049 0.787 0.98 0.07 0.001 0.981 0.773 0.018 0.186 0.998 0.799 0.667 0.949 0.932 0 0.462 0.903 0.677 0.279 0.041 0.612 0.242 0.327 0.194 0.208 0.618 0.234 0.351 0.655 0.082 0.185 0.212 0.016 0.118 0.014 0.145 0.403 0.003 0.026 0.001 0.182 0.577 0.186 0.317 0.005 0.132 0.156 0.952 0.901 0.119 0.73 0.609 0.994 0.073 0.825 0.365 0.544 0.412 0.722 0.957
5 12 GPCM 0.666666666666667 5606 6330 0 0 0 0 0 1.0075 0 0 0 0.424 0.438 0.622 0.552 0.474 0.566 0.433 0.104 1 0.999 0 0 0.526 0.689 0.048 0.079 0.418 0.472 0.904 0.63 0.211 0.145 0.455 0.756 0.65 0.277 0.759 0.568 0.377 0.236 0.647 0.703 0.929 0.12 0.065 0.801 0.565 0 0.208 0.835 0.871 0.842 0.828 0.462 0 0.301 0.912 0.961 0.136 0.244 0.84 0.613 0.002 0.001 0.998 0.949 0.843 0.94 0.117 0 0.229 0.216 0.852 0.948 0.921 0.12 0.228 0.999 1 0.284 0.294 0.029 0.556 0.82 0.999 0.589 0.111 0.056 0.097 0.074 0.107 0.394 0.008 0.107 0.001 0.237 0.321 0.436 0.637 0.001 0.405 0.308 0.953 0.789 0.611 0.866 0.463 0.998 0.827 0.741 0.582 0.823 0.48 0.32 0.997
5 13 GPCM 0.666666666666667 4627 5383 0 0 0 0 0 1.0036 0 0 0 0.392 0.511 0.615 0.402 0.446 0.598 0.029 0.061 1 0.998 0 0.04 0.531 0.704 0.045 0.06 0.41 0.664 0.451 0.182 0.113 0.051 0.424 0.49 0.778 0.278 0.811 0.508 0.148 0.261 0.039 0.954 0.761 0.037 0.026 0.875 0.713 0.013 0.667 0.61 0.84 0.678 0.765 0.799 0.005 0.112 0.895 0.677 0.146 0.006 0.998 0.77 0.002 0.226 0.966 0.883 0.995 0.693 0.975 0.001 0.714 0.339 0.154 0.764 0.422 0.31 0.704 0.994 0.46 0.176 0.452 0.24 0.486 0.055 0.295 0.042 0.03 0.392 0.024 0.038 0.065 0.38 0.014 0.358 0.014 0.31 0.156 0.508 0.156 0.006 0.398 0.976 0.362 0.749 0.573 0.916 0.547 0.733 0.575 0.764 0.187 0.799 0.361 0.955 0.903
5 14 GPCM 0.666666666666667 7062 7743 0 0 0 0 0 1.0027 0 0 0 0.414 0.602 0.486 0.338 0.432 0.57 0.144 0.106 0.984 0.999 0 0.001 0.732 0.551 0.312 0.158 0.598 0.579 0.417 0.356 0.48 0.351 0.196 0.24 0.619 0.717 0.156 0.781 0.314 0.271 0.222 0.803 0.418 0.183 0.054 0.914 0.495 0.057 0.169 0.916 0.708 0.278 0.643 0.992 0 0.498 0.723 0.424 0.142 0.12 0.457 0.743 0.014 0.043 0.954 0.719 0.45 0.826 0.894 0.002 0.303 0.261 0.134 0.255 0.149 0.178 0.356 0.086 0.005 0.215 0.146 0.259 0.304 0.384 0.205 0.47 0.317 0.439 0.344 0.249 0.273 0.367 0.096 0.213 0.006 0.597 0.594 0.475 0.037 0.001 0.23 0.784 0.632 0.2 0.149 0.579 0.597 0.884 0.828 0.874 0.22 0.575 0.641 0.589 0.999
5 15 GPCM 0.666666666666667 5566 6290 3 0 0 0 0 1.0047 0 1 0 0.382 0.508 0.557 0.395 0.455 0.618 0.059 0.38 0.884 1 0.003 0.001 0.662 0.519 0.258 0.015 0.62 0.558 0.164 0.637 0.822 0.064 0.097 0.788 0.16 0.256 0.652 0.081 0.254 0.455 0.392 0.814 0.508 0.024 0.205 0.068 0.952 0.432 0.254 0.983 0.521 0.444 0.934 0.554 0 0.199 0.755 0.786 0.016 0.365 0.163 0.945 0.066 0.118 0.996 0.198 0.008 0.965 0.898 0.007 0.125 0.249 0.29 0.653 0.062 0.769 0.272 0.904 0.862 0.35 0.284 0.004 0.419 0.14 0.021 0.436 0.552 0.205 0.025 0.19 0.555 0.004 0.353 0.266 0 0.601 0.487 0.033 0.397 0.003 0.367 0.273 0.614 0.875 0.461 0.285 0.992 0.642 0.153 0.565 0.238 0.318 0.404 0.153 0.465
5 16 GPCM 0.666666666666667 4599 5352 0 0 0 0 0 1.002 0 0 0 0.514 0.567 0.238 0.373 0.483 0.542 0.515 0.042 0.999 0.966 0.003 0.017 0.425 0.464 0.142 0.126 0.463 0.625 0.931 0.708 0.533 0.342 0.193 0.924 0.343 0.318 0.244 0.61 0.03 0.827 0.109 0.925 0.722 0.215 0.617 0.896 0.92 0.046 0.003 0.452 0.597 0.604 0.47 0.453 0.114 0.271 0.832 0.946 0.629 0.686 0.777 0.929 0.384 0.036 0.708 0.427 0.888 0.407 0.377 0.244 0.885 0.641 0.451 0.178 0.606 0.204 0.23 0.089 0.403 0.09 0.832 0.572 0.275 0.335 0.831 0.157 0.027 0.32 0.191 0.566 0.112 0.271 0.031 0.044 0.049 0.479 0.529 0.629 0.615 0.119 0.256 0.727 0.103 0.27 0.33 0.781 0.809 0.066 0.037 0.618 0.465 0.372 0.33 0.39 0.041
5 17 GPCM 0.666666666666667 5000 5733 0 0 0 0 0 1.0079 0 0 0 0.259 0.615 0.646 0.137 0.377 0.734 0.112 0.036 0.999 1 0 0 0.629 0.569 0.123 0.01 0.366 0.337 0.42 0.64 0.193 0.025 0.617 0.708 0.286 0.263 0.202 0.055 0.126 0.113 0.299 0.927 0.978 0.002 0.002 0.961 0.267 0.06 0.096 0.62 0.653 0.826 0.989 0.964 0 0.11 0.793 0.99 0 0.024 0.701 0.452 0.136 0.032 1 0.854 0.837 0.982 0.974 0.007 0.595 0.487 0.691 1 0.988 0.669 0.765 0.494 0.977 0.496 0.335 0.509 0.867 0.971 0.986 0.345 0.091 0.004 0.007 0.006 0.172 0.339 0.039 0.044 0.001 0.541 0.482 0.014 0.048 0 0.144 0.352 0.114 0.956 0.977 0.875 0.425 0.29 0.065 0.102 0.321 0.584 0.24 0.038 0.93
5 18 GPCM 0.666666666666667 6239 6987 0 0 0 0 0 1.0033 0 0 0 0.451 0.517 0.511 0.473 0.463 0.542 0.011 0.074 1 1 0 0 0.648 0.552 0.086 0.021 0.407 0.521 0.335 0.946 0.217 0.472 0.24 0.681 0.227 0.732 0.526 0.236 0.444 0.628 0.16 0.949 0.336 0.017 0.019 0.522 0.93 0.009 0.134 0.97 0.695 0.692 0.933 0.521 0.005 0.534 0.725 0.365 0.006 0.27 0.916 0.993 0.123 0.57 1 0.782 0.965 0.9 0.517 0.05 0.238 0.825 0.102 0.215 0.674 0.458 0.346 0.865 0.692 0.435 0.667 0.66 0.408 0.654 0.095 0.152 0.106 0.505 0.014 0.05 0.374 0.053 0.021 0.15 0 0.486 0.546 0.15 0.573 0.027 0.571 0.114 0.755 0.296 0.044 0.508 0.95 0.656 0.266 0.165 0.412 0.399 0.733 0.527 0.134
5 19 GPCM 0.666666666666667 4780 5530 0 0 0 0 0 1.0042 0 0 0 0.3 0.611 0.512 0.202 0.404 0.667 0.216 0.243 1 0.949 0.006 0 0.547 0.548 0.033 0.31 0.581 0.181 0.204 0.673 0.012 0.059 0.51 0.352 0.427 0.941 0.75 0.538 0.375 0.218 0.707 0.178 0.418 0.171 0.376 0.942 0.862 0 0.099 0.93 1 0.393 0.62 0.22 0.006 0.483 0.34 0.923 0.611 0.432 0.985 0.847 0.001 0.028 0.716 0.983 0.488 0.503 0.416 0.006 0.787 0.092 0.245 0.922 0.337 0.312 0.724 0.999 0.983 0.234 0.413 0.104 0.399 0.513 0.167 0.609 0.316 0.497 0.263 0.184 0.011 0.249 0.01 0.04 0.002 0.002 0.552 0.57 0.43 0.002 0.294 0.583 0.639 0.654 0.675 0.983 0.84 0.762 0.815 0.97 0.988 0.481 0.83 0.838 0.912
5 20 GPCM 0.666666666666667 5816 6567 0 0 0 0 0 1.0042 0 0 0 0.524 0.514 0.407 0.501 0.511 0.475 0.259 0.016 0.987 1 0.003 0 0.698 0.53 0.251 0.018 0.582 0.554 0.436 0.349 0.17 0.22 0.531 0.745 0.485 0.692 0.072 0.057 0.489 0.488 0.033 0.886 0.978 0.043 0.05 0.26 0.73 0.038 0.36 0.924 0.731 0.575 0.615 0.702 0.035 0.183 0.947 0.962 0.065 0.072 0.161 0.697 0.009 0.052 0.995 0.74 0.387 0.578 0.54 0.003 0.919 0.75 0.367 0.027 0.035 0.942 0.469 0.806 0.47 0.582 0.338 0.612 0.795 0.799 0.002 0.125 0.135 0.008 0.082 0.06 0.605 0.261 0.08 0.13 0.001 0.5 0.615 0.265 0.44 0.013 0.526 0.965 0.96 0.029 0.067 0.804 0.19 0.098 0.334 0.985 0.678 0.54 0.663 0.606 0.023
5 21 GPCM 0.666666666666667 5827 6580 1 0 0 0 0 1.0036 0 1 0 0.55 0.456 0.448 0.628 0.511 0.428 0.024 0.103 0.982 0.979 0 0.138 0.558 0.615 0.241 0.142 0.547 0.493 0.471 0.401 0.401 0.749 0.29 0.539 0.27 0.243 0.477 0.882 0.139 0.443 0.646 0.254 0.501 0.135 0.112 0.774 0.421 0.04 0.301 0.9 0.63 0.385 0.456 0.957 0.051 0.942 0.946 0.362 0.025 0.649 0.627 0.544 0.102 0.61 0.962 0.401 0.549 0.207 0.993 0.037 0.754 0.427 0.731 0.948 0.311 0.541 0.419 0.999 0.484 0.633 0.236 0.209 0.264 0.253 0.958 0.423 0.527 0.598 0.04 0.3 0.202 0.58 0.042 0.543 0.007 0.406 0.467 0.56 0.237 0.164 0.8 0.866 0.567 0.167 0.143 0.713 0.401 0.712 0.632 0.587 0.895 0.216 0.432 0.8 0.236
5 22 GPCM 0.666666666666667 7409 8092 0 0 0 0 0 1.0067 0 0 0 0.606 0.303 0.506 0.754 0.6 0.435 0.105 0.072 0.986 0.997 0.034 0 0.604 0.447 0.149 0.11 0.586 0.405 0.222 0.138 0.361 0.109 0.476 0.849 0.782 0.513 0.302 0.811 0.167 0.836 0.354 0.63 0.898 0.066 0.053 0.494 0.816 0.352 0.003 0.401 0.816 0.778 0.74 0.527 0.128 0.107 0.738 0.921 0.102 0.223 0.931 0.743 0.625 0.032 0.806 0.633 0.954 0.843 0.929 0.026 0.751 0.461 0.263 0.903 0.871 0.691 0.576 0.946 0.981 0.515 0.562 0.324 0.289 0.176 0.969 0.552 0.322 0.136 0.105 0.057 0.41 0.21 0.262 0.012 0.067 0.262 0.374 0.319 0.555 0.029 0.788 0.55 0.734 0.116 0.325 0.75 0.585 0.773 0.961 0.986 0.806 0.697 0.812 0.577 0.174
5 23 GPCM 0.666666666666667 5199 5910 0 0 0 0 0 1.0086 0 0 0 0.338 0.526 0.626 0.327 0.426 0.657 0.051 0.083 1 0.997 0.004 0.006 0.538 0.553 0.014 0.089 0.489 0.512 0.138 0.161 0.112 0.04 0.675 0.5 0.304 0.597 0.423 0.766 0.122 0.131 0.325 0.768 0.556 0.14 0.012 0.319 0.831 0.269 0.118 0.902 0.896 0.874 0.354 0.676 0.068 0.484 0.928 0.659 0.062 0.161 0.833 0.702 0.076 0.137 0.993 0.736 0.553 0.56 0.829 0.143 0.06 0.391 0.382 0.014 0.063 0.556 0.725 0.199 0.085 0.458 0.007 0.122 0.818 0.722 0.743 0.271 0.14 0.402 0.065 0.034 0.445 0.176 0.087 0.135 0 0.258 0.319 0.612 0.563 0.052 0.157 0.707 0.452 0.557 0.066 0.781 0.721 0.544 0.14 0.969 0.392 0.586 0.495 0.372 0.431
5 24 GPCM 0.666666666666667 7123 7805 0 0 0 0 0 1.0027 0 0 0 0.428 0.483 0.395 0.498 0.493 0.577 0.07 0.365 0.998 0.977 0.013 0 0.594 0.366 0.065 0.03 0.653 0.477 0.466 0.295 0.226 0.32 0.617 0.66 0.294 0.185 0.275 0.637 0.431 0.572 0.259 0.427 0.819 0.084 0.109 0.949 0.538 0.542 0.053 0.519 0.786 0.874 0.557 0.524 0.001 0.027 0.693 0.826 0.095 0.047 0.999 0.22 0.588 0.007 0.964 0.898 0.9 0.678 0.343 0.013 0.214 0.902 0.386 0.206 0.96 0.654 0.108 0.34 0.001 0.29 0.708 0.676 0.118 0.142 0.09 0.333 0.439 0.344 0.212 0.072 0.04 0.323 0.44 0.072 0.041 0.503 0.35 0.448 0.563 0.013 0.274 0.464 0.803 0.782 0.366 0.329 0.839 0.314 0.056 0.889 0.226 0.308 0.938 0.656 0.947
5 25 GPCM 0.666666666666667 8674 9380 0 0 0 0 0 1.0033 0 0 0 0.506 0.526 0.595 0.489 0.483 0.489 0.141 0.135 0.999 0.963 0.006 0.004 0.329 0.436 0.093 0.202 0.425 0.623 0.328 0.647 0.016 0.186 0.495 0.41 0.295 0.792 0.24 0.758 0.311 0.686 0.607 0.899 0.389 0.435 0.015 0.631 0.438 0.15 0.19 0.73 0.878 0.767 0.325 0.975 0.001 0.748 0.999 0.488 0.614 0.2 0.376 0.548 0.247 0.188 0.915 0.852 0.456 0.866 0.472 0.228 0.241 0.22 0.814 0.243 0.044 0.749 0.858 0.273 0.059 0.401 0.227 0.416 0.215 0.13 0.036 0.493 0.068 0.616 0.31 0.024 0.222 0.577 0.147 0.133 0.009 0.202 0.309 0.61 0.173 0.003 0.694 0.878 0.557 0.577 0.265 0.756 0.445 0.413 0.144 0.366 0.865 0.675 0.205 0.659 0.049
