cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
1 1 530 0 0 0 0 0 1.0089 0 0.9862 0.0746 0.1594 0.2418 1 1.8022 0.9234 0.1014 0.4216 0.5132 1 2.6787 0.9544 0.1151 0.2914 0.3468 1 1.747 0.0157 0.0157 NA NA 1 0.5684 0.5461 0.5461 0.5461 1.5461 1 1.9588 0.5091 0.5091 0.5091 1.5091 1 1.872 0 0
1 2 408 0 0 0 0 0 1.0019 0 0.8864 0.2707 0.5772 0.6627 0.9167 1.7821 0.8687 0.2318 0.5666 0.7128 0.88 2.2191 0.961 0.3335 0.3476 0.3886 1 1.4917 0.0216 0.0216 NA NA 1 0.7211 -0.5017 0.5017 -0.5017 0.4983 0 0.7759 -0.5191 0.5191 -0.5191 0.4809 0 0.754 0 0
1 3 450 0 0 0 0 0 1.0034 0 0.9634 0.0384 0.293 0.343 1 1.7212 0.8929 0.0541 0.4437 0.5587 0.96 2.4465 0.8881 -0.0028 0.2582 0.3326 1 1.6895 0.0984 0.0984 NA NA 1 0.6229 -0.0676 0.0676 -0.0676 0.9324 1 1.2544 -0.1036 0.1036 -0.1036 0.8964 1 1.1706 0 0
1 4 413 0 0 0 0 0 1.0017 0 0.9626 0.4329 0.4361 0.574 0.9167 1.8126 0.8898 0.3802 0.5971 0.7497 0.89 2.4651 0.9206 0.3322 0.4174 0.4528 1 1.6265 0.0473 0.0473 NA NA 1 0.7104 -0.2438 0.2438 -0.2438 0.7562 1 1.0517 -0.2702 0.2702 -0.2702 0.7298 1 1.0242 0 0
1 5 458 0 0 0 0 0 1.0081 0 0.9517 -0.2911 0.4701 0.6495 0.9167 1.8764 0.9228 -0.1665 0.4672 0.5801 0.99 2.5222 0.9335 -0.1702 0.3206 0.3759 1 1.5588 -0.083 0.083 NA NA 1 0.6194 0.1286 0.1286 0.1286 1.1286 1 1.4135 0.0928 0.0928 0.0928 1.0928 1 1.3901 0 0
1 6 453 0 0 0 0 0 1.0032 0 0.8539 -0.8199 0.8362 0.9287 0.5833 1.8373 0.8854 -0.7786 0.8242 0.9641 0.83 2.6609 0.9681 -0.8538 0.8538 0.894 0.49 1.7552 0.075 0.075 NA NA 1 0.6296 0.1645 0.1645 0.1645 1.1645 1 1.5012 0.1263 0.1263 0.1263 1.1263 1 1.4422 0 0
1 7 386 0 0 0 0 0 1.004 0 0.8565 -0.1037 0.4611 0.673 0.9167 1.764 0.8837 -0.0619 0.5518 0.6571 0.91 2.0144 0.9098 0.0253 0.2613 0.3159 1 1.3839 0.0095 0.0095 NA NA 1 0.7979 -0.6763 0.6763 -0.6763 0.3237 0 0.5861 -0.6896 0.6896 -0.6896 0.3104 0 0.568 0 0
1 8 430 0 0 0 0 0 1.0033 0 0.9048 -0.4648 0.6284 0.7052 0.8333 1.8128 0.9195 -0.415 0.5977 0.7576 0.84 2.251 0.8917 -0.367 0.4477 0.4888 0.84 1.4717 -0.1542 0.1542 NA NA 1 0.8051 -0.475 0.475 -0.475 0.525 1 0.8233 -0.5075 0.5075 -0.5075 0.4925 0 0.803 0 0
1 9 328 0 0 0 0 0 1.001 0 0.9395 -0.7292 0.7292 0.8391 0.75 1.8819 0.8676 -0.5567 0.6993 0.8238 0.79 2.2928 0.9397 -0.7064 0.7064 0.7624 0.56 1.5378 0.0325 0.0325 NA NA 1 0.7794 -0.4875 0.4875 -0.4875 0.5125 0 0.8005 -0.5082 0.5082 -0.5082 0.4918 0 0.779 0 0
1 10 395 0 0 0 0 0 1.0019 0 0.9137 0.3022 0.6758 1.0385 0.8333 1.9882 0.8147 0.1569 0.6376 0.7661 0.86 2.1851 0.8466 0.0254 0.366 0.4231 1 1.4673 0.0351 0.0351 NA NA 1 0.8729 -0.5979 0.5979 -0.5979 0.4021 0 0.7224 -0.6187 0.6187 -0.6187 0.3813 0 0.6818 0 0
1 11 411 0 0 0 0 0 1.0027 0 0.9318 0.1529 0.313 0.3535 1 1.6697 0.8498 0.1954 0.5741 0.7149 0.88 2.1692 0.9753 0.216 0.2875 0.3574 1 1.3916 -0.1625 0.1625 NA NA 1 0.6954 -0.4809 0.4809 -0.4809 0.5191 0 0.7648 -0.5095 0.5095 -0.5095 0.4905 0 0.7474 0 0
1 12 376 0 0 0 0 0 1.0026 0 0.9493 -0.919 0.9459 1.1121 0.4167 1.9405 0.8695 -0.5754 0.7386 0.9202 0.79 2.2578 0.9117 -0.7183 0.7183 0.8115 0.5 1.4798 -0.0526 0.0526 NA NA 1 0.7802 -0.5182 0.5182 -0.5182 0.4818 0 0.8447 -0.5376 0.5376 -0.5376 0.4624 0 0.8196 0 0
1 13 470 0 0 0 0 0 1.0025 0 0.9541 0.05 0.2926 0.3307 1 1.7276 0.8748 0.0428 0.4643 0.5899 0.97 2.4879 0.913 -0.0199 0.2562 0.3062 1 1.5778 -0.0624 0.0624 NA NA 1 0.6663 -0.0415 0.0415 -0.0415 0.9585 1 1.2454 -0.0738 0.0738 -0.0738 0.9262 1 1.2105 0 0
1 14 444 0 0 0 0 0 1.0028 0 0.8712 0.6808 0.7061 0.855 0.6667 1.8635 0.9137 0.5992 0.6573 0.7953 0.91 2.7248 0.9449 0.6344 0.6348 0.676 0.77 1.8349 0.0887 0.0887 NA NA 1 0.6104 0.3502 0.3502 0.3502 1.3502 1 1.7845 0.3022 0.3022 0.3022 1.3022 1 1.7031 0 0
1 15 571 0 0 0 0 0 1.0038 0 0.7495 0.1018 0.4219 0.569 0.8333 1.7956 0.9023 0.0543 0.4292 0.5557 0.98 2.5768 0.9517 0.0164 0.2151 0.245 1 1.7468 0.0366 0.0366 NA NA 1 0.6516 0.282 0.282 0.282 1.282 1 1.7458 0.2416 0.2416 0.2416 1.2416 1 1.6726 0 0
1 16 690 0 0 0 0 0 1.0033 0 0.9575 0.35 0.35 0.4518 1 1.7844 0.8732 0.2786 0.5381 0.652 0.94 2.4514 0.9789 0.2901 0.3028 0.3354 1 1.669 0.1004 0.1004 NA NA 1 0.7127 -0.1244 0.1244 -0.1244 0.8756 1 1.2151 -0.1656 0.1656 -0.1656 0.8344 1 1.1245 0 0
1 17 544 0 0 0 0 0 1.0041 0 0.8906 -0.9127 0.9127 1.0416 0.5 1.8439 0.8322 -0.6758 0.7847 0.9505 0.76 2.4397 0.9876 -0.8849 0.8849 0.8931 0.5 1.7448 0.1958 0.1958 NA NA 1 0.6742 -0.3079 0.3079 -0.3079 0.6921 1 1.1033 -0.3608 0.3608 -0.3608 0.6392 1 0.9816 0 0
1 18 364 0 0 0 0 0 1.004 0 0.9146 0.3738 0.4128 0.5031 0.9167 1.7313 0.8921 0.3266 0.5423 0.6684 0.94 2.4648 0.9239 0.3497 0.3622 0.4653 0.81 1.5432 -0.0681 0.0681 NA NA 1 0.5789 -0.0041 0.0041 -0.0041 0.9959 1 1.2549 -0.0306 0.0306 -0.0306 0.9694 1 1.2115 0 0
1 19 392 0 0 0 0 0 1.0025 0 0.9426 0.1057 0.1972 0.2793 1 1.6733 0.8657 0.0809 0.4386 0.5643 0.99 2.4185 0.976 0.1197 0.351 0.3957 1 1.5104 -0.102 0.102 NA NA 1 0.5902 0.0508 0.0508 0.0508 1.0508 1 1.3793 0.0161 0.0161 0.0161 1.0161 1 1.3462 0 0
1 20 384 0 0 0 0 0 1.0056 0 0.9032 0.7602 0.7602 0.8388 0.5833 1.8092 0.9072 0.7746 0.8243 0.9576 0.87 2.8639 0.9519 0.7758 0.7758 0.8104 0.61 1.8422 -0.0176 0.0176 NA NA 1 0.6073 0.6133 0.6133 0.6133 1.6133 1 1.995 0.5722 0.5722 0.5722 1.5722 1 1.9392 0 0
1 21 387 0 0 0 0 0 1.0042 0 0.9569 -0.2387 0.3691 0.4561 1 1.8404 0.8678 -0.1709 0.5511 0.6662 0.94 2.3084 0.9288 -0.3283 0.3389 0.4278 0.87 1.4692 -0.1094 0.1094 NA NA 1 0.728 -0.4245 0.4245 -0.4245 0.5755 1 0.8387 -0.4506 0.4506 -0.4506 0.5494 1 0.8255 0 0
