cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
1 1 402 0 0 0 0 0 1.0067 0 0.9626 -0.8563 0.8708 -0.2211 0.7789 0.9817 0.3333 0.9137 -0.6761 0.7449 -0.1622 0.8378 0.8609 0.645 0.9832 -0.634 0.634 -0.0266 0.9734 0.6592 0.53 0.1649 0.1649 0.6595 1.6595 1 -0.1965 0.1965 -0.1842 0.8158 1 -0.2914 0.2914 -0.2914 0.7086 0 0 0
1 2 332 0 0 0 0 0 1.0057 0 0.9678 0.2629 0.3427 -1.2689 -0.2689 0.4493 0.9167 0.9341 0.211 0.3878 -0.2921 0.7079 0.4891 0.945 0.9672 0.2667 0.3022 -0.5044 0.4956 0.3556 0.97 -0.0858 0.0858 -0.3434 0.6566 1 -0.1457 0.1457 -0.1366 0.8634 1 -0.1132 0.1132 -0.1132 0.8868 1 0 0
1 3 387 0 0 0 0 0 1.0091 0 0.9465 0.4082 0.4175 -0.1001 0.8999 0.4722 0.75 0.931 0.415 0.5466 -1.1184 -0.1184 0.6449 0.86 0.9609 0.3536 0.3722 0.0412 1.0412 0.4148 0.97 0.1006 0.1006 0.4022 1.4022 1 0.1177 0.1177 0.1104 1.1104 1 0.0254 0.0254 0.0254 1.0254 1 0 0
1 4 356 0 0 0 0 0 1.0128 0 0.9636 -0.2407 0.2987 -0.3241 0.6759 0.4823 0.9583 0.9411 -0.2313 0.389 0.0428 1.0428 0.4978 0.94 0.9596 -0.2707 0.3232 -0.2755 0.7245 0.3868 0.925 -0.0325 0.0325 -0.1299 0.8701 1 0.0375 0.0375 0.0352 1.0352 1 0.0414 0.0414 0.0414 1.0414 1 0 0
1 5 377 0 0 0 0 0 1.0051 0 0.9775 0.5095 0.5095 -1.0565 -0.0565 0.5646 0.6667 0.9467 0.4452 0.5504 -0.1941 0.8059 0.6515 0.895 0.9698 0.49 0.49 0.1817 1.1817 0.5253 0.79 -0.0053 0.0053 -0.0211 0.9789 1 0.1999 0.1999 0.1874 1.1874 1 0.1779 0.1779 0.1779 1.1779 1 0 0
1 6 373 0 0 0 0 0 1.007 0 0.9639 0.1674 0.2461 -3.5225 -2.5225 0.2985 0.9167 0.9609 0.2014 0.3475 0.2286 1.2286 0.4386 0.97 0.9558 0.134 0.1986 -0.1392 0.8608 0.265 0.995 0.0413 0.0413 0.1653 1.1653 1 0.1406 0.1406 0.1319 1.1319 1 0.0929 0.0929 0.0929 1.0929 1 0 0
1 7 334 0 0 0 0 0 1.0023 0 0.9774 -0.1607 0.2761 0.101 1.101 0.3481 0.9583 0.9293 -0.1811 0.3937 -0.9015 0.0985 0.4937 0.93 0.9728 -0.0926 0.1851 -0.1526 0.8474 0.2411 0.99 -0.1443 0.1443 -0.5771 0.4229 1 -0.3671 0.3671 -0.3442 0.6558 0 -0.3158 0.3158 -0.3158 0.6842 0 0 0
1 8 355 0 0 0 0 0 1.0051 0 0.9654 0.0755 0.2485 -0.3157 0.6843 0.2999 1 0.9498 0.143 0.3386 -3.7371 -2.7371 0.4331 0.985 0.8668 0.1322 0.3295 -0.6794 0.3206 0.4126 0.785 -0.1982 0.1982 -0.7926 0.2074 0 -0.0836 0.0836 -0.0784 0.9216 1 -0.0286 0.0286 -0.0286 0.9714 1 0 0
1 9 362 0 0 0 0 0 1.0028 0 0.9741 -0.0331 0.2238 -0.229 0.771 0.3078 0.9583 0.9349 -0.0384 0.3296 0.1001 1.1001 0.431 0.97 0.9294 -0.1697 0.2934 -0.3167 0.6833 0.3429 0.97 0.0083 0.0083 0.0332 1.0332 1 -0.257 0.257 -0.241 0.759 1 -0.2532 0.2532 -0.2532 0.7468 1 0 0
1 10 366 0 0 0 0 0 1.0063 0 0.9781 -0.054 0.2207 -0.6983 0.3017 0.2958 0.9583 0.9435 -0.0293 0.3914 -2.4979 -1.4979 0.496 0.95 0.9494 -0.03 0.2164 0.1285 1.1285 0.2699 1 -0.0711 0.0711 -0.2845 0.7155 1 -0.3519 0.3519 -0.3299 0.6701 0 -0.3162 0.3162 -0.3162 0.6838 0 0 0
1 11 333 0 0 0 0 0 1.0042 0 0.9613 -0.1632 0.2851 0.3564 1.3564 0.3582 0.9167 0.939 -0.1592 0.3913 0.3646 1.3646 0.4892 0.945 0.9708 -0.1016 0.1776 -0.2876 0.7124 0.2267 1 -0.1191 0.1191 -0.4762 0.5238 1 -0.1588 0.1588 -0.1489 0.8511 1 -0.1166 0.1166 -0.1166 0.8834 1 0 0
1 12 372 0 0 0 0 0 1.006 0 0.9847 -0.2353 0.306 -0.1114 0.8886 0.4068 0.9583 0.9441 -0.1898 0.3918 -0.1734 0.8266 0.4819 0.95 0.9613 -0.2041 0.232 0.2043 1.2043 0.2987 1 0.0163 0.0163 0.0654 1.0654 1 -0.0404 0.0404 -0.0379 0.9621 1 -0.0588 0.0588 -0.0588 0.9412 1 0 0
1 13 405 0 0 0 0 0 1.0075 0 0.9503 -0.7248 0.7248 -0.5992 0.4008 0.7753 0.2917 0.9103 -0.6548 0.7365 -0.1597 0.8403 0.8428 0.65 0.9844 -0.662 0.662 0.1123 1.1123 0.6775 0.155 -0.0703 0.0703 -0.2813 0.7187 1 -0.2199 0.2199 -0.2061 0.7939 1 -0.189 0.189 -0.189 0.811 1 0 0
1 14 393 0 0 0 0 0 1.0109 0 0.9593 -0.181 0.2557 0.0173 1.0173 0.3216 0.9583 0.952 -0.2313 0.4135 -0.4632 0.5368 0.5282 0.955 0.9855 -0.1046 0.207 -0.0422 0.9578 0.2551 1 0.0506 0.0506 0.2023 1.2023 1 0.5953 0.5953 0.5581 1.5581 0 0.4966 0.4966 0.4966 1.4966 0 0 0
1 15 362 0 0 0 0 0 1.0098 0 0.9659 -0.0478 0.2403 0.207 1.207 0.3414 0.9583 0.9436 -0.0582 0.3586 -0.0441 0.9559 0.4565 0.98 0.9627 -0.0852 0.1672 -0.0579 0.9421 0.2307 1 -0.0021 0.0021 -0.0084 0.9916 1 0.1607 0.1607 0.1506 1.1506 1 0.1393 0.1393 0.1393 1.1393 1 0 0
1 16 357 0 0 0 0 0 1.0091 0 0.9717 -0.2421 0.2791 0.596 1.596 0.3505 0.9583 0.9229 -0.2013 0.3708 3.6664 4.6664 0.4838 0.92 0.9901 -0.2116 0.239 -0.3009 0.6991 0.2899 1 -0.0336 0.0336 -0.1343 0.8657 1 -0.1391 0.1391 -0.1304 0.8696 1 -0.1259 0.1259 -0.1259 0.8741 1 0 0
1 17 370 0 0 0 0 0 1.0081 0 0.9179 -0.2215 0.3655 -0.415 0.585 0.4887 0.875 0.9464 -0.1068 0.3887 -0.2652 0.7348 0.4931 0.94 0.9453 -0.2211 0.2975 -0.0143 0.9857 0.3356 1 0.0591 0.0591 0.2363 1.2363 1 -0.2194 0.2194 -0.2057 0.7943 1 -0.2434 0.2434 -0.2434 0.7566 1 0 0
1 18 365 0 0 0 0 0 1.0079 0 0.955 -0.159 0.2657 -0.0068 0.9932 0.3146 0.9583 0.9305 -0.1797 0.3992 -0.2263 0.7737 0.511 0.935 0.9607 -0.2012 0.2345 0.0016 1.0016 0.3014 0.93 -0.017 0.017 -0.0678 0.9322 1 -0.1159 0.1159 -0.1087 0.8913 1 -0.1111 0.1111 -0.1111 0.8889 1 0 0
1 19 391 0 0 0 0 0 1.0042 0 0.9636 -0.1016 0.2829 -0.1519 0.8481 0.3625 0.9167 0.9341 -0.0325 0.3768 -2.3516 -1.3516 0.4679 0.97 0.9381 -0.0267 0.2198 0 1 0.2694 1 0.1465 0.1465 0.5859 1.5859 1 -0.1691 0.1691 -0.1585 0.8415 1 -0.2574 0.2574 -0.2574 0.7426 1 0 0
1 20 371 0 0 0 0 0 1.0039 0 0.9695 -0.1188 0.2183 -0.2059 0.7941 0.2892 0.9583 0.941 -0.1431 0.3741 -1.552 -0.552 0.4809 0.945 0.9532 -0.1717 0.1915 0.1969 1.1969 0.2981 0.99 -0.1126 0.1126 -0.4504 0.5496 1 0.1201 0.1201 0.1126 1.1126 1 0.1547 0.1547 0.1547 1.1547 1 0 0
1 21 389 0 0 0 0 0 1.008 0 0.969 -0.0481 0.2175 -0.1034 0.8966 0.2483 1 0.9392 -0.1043 0.3763 -0.0871 0.9129 0.4926 0.93 0.9453 -0.125 0.2445 0.477 1.477 0.3211 0.99 0.0886 0.0886 0.3544 1.3544 1 -0.1697 0.1697 -0.1591 0.8409 1 -0.217 0.217 -0.217 0.783 1 0 0
1 22 320 0 0 0 0 0 1.006 0 0.9716 0.1308 0.2778 -0.1053 0.8947 0.3294 0.875 0.9331 0.1076 0.3785 0.0583 1.0583 0.4712 0.965 0.939 0.0242 0.2658 -0.4418 0.5582 0.3099 0.905 -0.2008 0.2008 -0.8033 0.1967 0 -0.2297 0.2297 -0.2154 0.7846 1 -0.1722 0.1722 -0.1722 0.8278 1 0 0
1 23 366 0 0 0 0 0 1.005 0 0.9357 -0.2959 0.3368 -0.6616 0.3384 0.4674 0.9167 0.9272 -0.2777 0.4249 -13.4826 -12.4826 0.5319 0.92 0.9136 -0.2549 0.3605 0.1431 1.1431 0.4195 0.92 -0.0345 0.0345 -0.1381 0.8619 1 -0.1231 0.1231 -0.1154 0.8846 1 -0.1095 0.1095 -0.1095 0.8905 1 0 0
1 24 363 0 0 0 0 0 1.0086 0 0.9749 0.0292 0.208 -0.305 0.695 0.2556 0.9583 0.9384 0.0241 0.36 0.4299 1.4299 0.4751 0.94 0.9597 -0.0388 0.1807 -0.4424 0.5576 0.2296 1 0.0481 0.0481 0.1922 1.1922 1 0.1281 0.1281 0.1201 1.1201 1 0.0765 0.0765 0.0765 1.0765 1 0 0
