cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
3 1 505 0 0 0 0 0 1.0063 0 0.9843 0.2805 0.3205 0.1496 1.1496 0.3781 0.875 0.9685 0.2763 0.4872 -0.7801 0.2199 0.6161 0.89 0.9584 0.0583 0.3486 Inf Inf 0.4509 1 0.028 0.028 0.056 1.056 1 -0.0761 0.0761 -0.0571 0.9429 1 -0.1219 0.1219 -0.1219 0.8781 1 0 0
3 2 440 0 0 0 0 0 1.009 0 0.9779 -0.744 0.744 -1.1512 -0.1512 0.7822 0.2917 0.9583 -0.6086 0.6877 -0.1566 0.8434 0.8153 0.76 0.9613 -0.5473 0.6117 -Inf -Inf 0.6959 0.655 -0.1353 0.1353 -0.2706 0.7294 1 -0.1958 0.1958 -0.1469 0.8531 1 -0.0324 0.0324 -0.0324 0.9676 1 0 0
3 3 434 0 0 0 0 0 1.0106 0 0.9819 -0.0028 0.2022 0.2166 1.2166 0.2562 1 0.9709 -0.0058 0.3539 -0.0075 0.9925 0.4607 0.97 0.9641 0.1163 0.3419 Inf Inf 0.4507 0.97 -0.0423 0.0423 -0.0845 0.9155 1 -0.1088 0.1088 -0.0816 0.9184 1 -0.0508 0.0508 -0.0508 0.9492 1 0 0
3 4 447 0 0 0 0 0 1.0106 0 0.9584 0.0345 0.2701 -0.514 0.486 0.3684 0.9167 0.9655 0.0658 0.388 0.2951 1.2951 0.5139 0.95 0.9764 -0.2417 0.3442 -Inf -Inf 0.4141 0.94 -0.1392 0.1392 -0.2784 0.7216 1 -0.4161 0.4161 -0.3121 0.6879 0 -0.2173 0.2173 -0.2173 0.7827 1 0 0
3 5 412 0 0 0 0 0 1.0063 0 0.9585 -0.0788 0.2181 -0.0826 0.9174 0.2725 1 0.9587 -0.0993 0.4561 -1.4325 -0.4325 0.6044 0.935 0.9757 -0.0589 0.2794 -Inf -Inf 0.3481 1 -0.1555 0.1555 -0.311 0.689 1 -0.3961 0.3961 -0.297 0.703 1 -0.1865 0.1865 -0.1865 0.8135 1 0 0
3 6 454 0 0 0 0 0 1.007 0 0.9672 0.2168 0.2612 -11.5925 -10.5925 0.3192 1 0.9514 0.2032 0.4411 -0.1018 0.8982 0.5772 0.905 0.9841 0.3003 0.4205 Inf Inf 0.4949 0.86 -0.0895 0.0895 -0.179 0.821 1 -0.3233 0.3233 -0.2425 0.7575 1 -0.1745 0.1745 -0.1745 0.8255 1 0 0
3 7 651 0 0 0 0 0 1.0036 0 0.9813 0.0503 0.1758 0.2053 1.2053 0.2178 1 0.9618 0.0158 0.4169 0.8452 1.8452 0.535 0.94 0.9509 -0.064 0.4087 -Inf -Inf 0.487 1 0.0804 0.0804 0.1609 1.1609 1 0.1277 0.1277 0.0958 1.0958 1 -0.0615 0.0615 -0.0615 0.9385 1 0 0
3 8 546 0 0 0 0 0 1.0038 0 0.9414 0.2465 0.3296 -2.4329 -1.4329 0.4286 0.8333 0.9658 0.2024 0.4489 -0.1068 0.8932 0.5728 0.93 0.9916 0.3806 0.4651 Inf Inf 0.546 0.865 0.0247 0.0247 0.0494 1.0494 1 -0.2942 0.2942 -0.2207 0.7793 1 -0.2654 0.2654 -0.2654 0.7346 1 0 0
3 9 542 0 0 0 0 0 1.0058 0 0.9752 0.0314 0.2605 -0.1237 0.8763 0.3377 0.9583 0.9644 0.046 0.4146 -0.4624 0.5376 0.5656 0.955 0.9775 -0.0654 0.2755 -Inf -Inf 0.3401 1 -0.0312 0.0312 -0.0623 0.9377 1 0.0609 0.0609 0.0457 1.0457 1 0.0656 0.0656 0.0656 1.0656 1 0 0
3 10 611 0 0 0 0 0 1.0067 0 0.8921 0.2212 0.3241 -0.0451 0.9549 0.4206 0.875 0.9654 0.1697 0.4447 -0.2697 0.7303 0.5806 0.93 0.9827 0.1334 0.2999 Inf Inf 0.335 1 0.0359 0.0359 0.0717 1.0717 1 -0.375 0.375 -0.2812 0.7188 1 -0.3369 0.3369 -0.3369 0.6631 0 0 0
