cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
1 1 353 0 0 0 0 0 1.0102 0 0.9819 -0.865 0.865 -0.0717 0.9283 0.9323 0.375 0.9326 -0.7503 0.7808 7.419 8.419 0.9024 0.66 0.9702 -0.7132 0.7206 17326304915529 17326304915530 0.7581 0.335 0.034 0.034 0.136 1.136 1 -0.0372 0.0372 -0.0349 0.9651 1 -0.0643 0.0643 -0.0643 0.9357 1 0 0
1 2 420 0 0 0 0 0 1.0036 0 0.9767 0.261 0.3156 -0.6288 0.3712 0.4181 0.9583 0.9461 0.2411 0.3922 0.7258 1.7258 0.4965 0.965 0.9898 0.2979 0.3302 -5316962324092.03 -5316962324091.03 0.3902 0.9 0.004 0.004 0.016 1.016 1 -0.098 0.098 -0.0919 0.9081 1 -0.1037 0.1037 -0.1037 0.8963 1 0 0
1 3 390 0 0 0 0 0 1.0088 0 0.9508 0.4391 0.4394 -0.4439 0.5561 0.4956 0.6667 0.9515 0.3842 0.4937 0.0131 1.0131 0.5966 0.89 0.9816 0.3353 0.3428 -9242544385143.15 -9242544385142.15 0.3901 1 0.0701 0.0701 0.2803 1.2803 1 0.2347 0.2347 0.22 1.22 1 0.1537 0.1537 0.1537 1.1537 1 0 0
1 4 359 0 0 0 0 0 1.0048 0 0.9826 -0.3183 0.3583 0.0653 1.0653 0.4629 0.875 0.9509 -0.299 0.4543 0.0592 1.0592 0.5597 0.915 0.9781 -0.3445 0.3458 12558672061649 12558672061650 0.4132 0.82 -0.0388 0.0388 -0.1551 0.8449 1 -0.001 0.001 -9e-04 0.9991 1 0.0074 0.0074 0.0074 1.0074 1 0 0
1 5 362 0 0 0 0 0 1.0082 0 0.9793 0.4904 0.4904 -0.6911 0.3089 0.5308 0.7083 0.9529 0.5226 0.5944 -0.1485 0.8515 0.6996 0.81 0.9685 0.5732 0.6033 -11225840730591.2 -11225840730590.2 0.6195 0.895 -0.0142 0.0142 -0.057 0.943 1 0.3092 0.3092 0.2899 1.2899 1 0.2856 0.2856 0.2856 1.2856 1 0 0
1 6 386 0 0 0 0 0 1.012 0 0.9819 0.1484 0.2052 -1.3346 -0.3346 0.2348 1 0.9475 0.1143 0.3868 -0.1469 0.8531 0.4928 0.97 0.9493 0.0527 0.2343 -287996734485.351 -287996734484.351 0.3036 1 0.0617 0.0617 0.247 1.247 1 0.4779 0.4779 0.4481 1.4481 0 0.3767 0.3767 0.3767 1.3767 1 0 0
1 7 347 0 0 0 0 0 1.0065 0 0.9849 -0.1855 0.2511 0.05 1.05 0.3074 1 0.9487 -0.2206 0.3851 0.031 1.031 0.4801 0.965 0.9512 -0.1214 0.2584 2981963187067.36 2981963187068.36 0.3174 0.955 -0.0491 0.0491 -0.1965 0.8035 1 0.0045 0.0045 0.0042 1.0042 1 0.0165 0.0165 0.0165 1.0165 1 0 0
1 8 339 0 0 0 0 0 1.012 0 0.9531 0.1113 0.2632 -0.2636 0.7364 0.3502 0.9167 0.9394 0.1489 0.4005 1.9933 2.9933 0.5188 0.945 0.9222 0.1489 0.3184 -11837825519457.8 -11837825519456.8 0.4005 0.85 -0.1591 0.1591 -0.6364 0.3636 1 -0.2232 0.2232 -0.2093 0.7907 1 -0.1728 0.1728 -0.1728 0.8272 1 0 0
1 9 352 0 0 0 0 0 1.005 0 0.9745 -0.0565 0.2198 -0.0785 0.9215 0.3093 0.9583 0.947 -0.0693 0.3677 -17.4645 -16.4645 0.472 0.965 0.9743 -0.2041 0.2508 47140057823.3159 47140057824.3159 0.2967 1 -0.0627 0.0627 -0.251 0.749 1 -0.3169 0.3169 -0.2971 0.7029 0 -0.2856 0.2856 -0.2856 0.7144 0 0 0
1 10 338 0 0 0 0 0 1.0073 0 0.9813 -0.0505 0.2103 -0.1729 0.8271 0.2625 1 0.9452 -0.0641 0.3571 0.2158 1.2158 0.461 0.97 0.9299 -0.0602 0.3134 6123604855386.62 6123604855387.62 0.3795 0.9 -0.0646 0.0646 -0.2584 0.7416 1 -0.0713 0.0713 -0.0669 0.9331 1 -0.0486 0.0486 -0.0486 0.9514 1 0 0
1 11 351 0 0 0 0 0 1.0094 0 0.9851 -0.1909 0.2401 -0.4907 0.5093 0.2927 1 0.9476 -0.1361 0.3843 0.2585 1.2585 0.496 0.94 0.9774 -0.0779 0.1777 792488961567.848 792488961568.848 0.2351 1 -0.1554 0.1554 -0.6216 0.3784 1 -0.202 0.202 -0.1893 0.8107 1 -0.1513 0.1513 -0.1513 0.8487 1 0 0
1 12 366 0 0 0 0 0 1.0062 0 0.9798 -0.3011 0.3563 -0.0621 0.9379 0.4749 0.875 0.9547 -0.2011 0.4234 -0.478 0.522 0.5434 0.91 0.9956 -0.2171 0.2171 5190506346844.46 5190506346845.46 0.2351 1 0.0391 0.0391 0.1564 1.1564 1 -0.0806 0.0806 -0.0756 0.9244 1 -0.1084 0.1084 -0.1084 0.8916 1 0 0
1 13 355 0 0 0 0 0 1.0079 0 0.8599 -0.7624 0.7624 -0.4796 0.5204 0.8675 0.5417 0.9289 -0.706 0.7843 -1.2828 -0.2828 0.8929 0.65 0.9862 -0.7096 0.7096 13561986319829.9 13561986319830.9 0.7309 0.37 -0.0441 0.0441 -0.1764 0.8236 1 -0.176 0.176 -0.165 0.835 1 -0.1568 0.1568 -0.1568 0.8432 1 0 0
1 14 359 0 0 0 0 0 1.005 0 0.9599 -0.1787 0.252 0.3027 1.3027 0.3167 0.9583 0.9472 -0.1721 0.3686 -0.693 0.307 0.4612 0.95 0.9505 -0.0438 0.3034 503988751798.4 503988751799.4 0.3788 0.94 0.0501 0.0501 0.2003 1.2003 1 0.0026 0.0026 0.0024 1.0024 1 -0.0393 0.0393 -0.0393 0.9607 1 0 0
1 15 404 0 0 0 0 0 1.0063 0 0.9761 -0.0819 0.2463 -0.2074 0.7926 0.29 1 0.9454 -0.0498 0.364 -0.3023 0.6977 0.4635 0.96 0.9655 -0.0691 0.2147 4896277091517.73 4896277091518.73 0.2677 1 0.0681 0.0681 0.2726 1.2726 1 0.2333 0.2333 0.2188 1.2188 1 0.1543 0.1543 0.1543 1.1543 1 0 0
1 16 365 0 0 0 0 0 1.0083 0 0.9492 -0.3161 0.4002 0.8084 1.8084 0.4554 0.7917 0.9399 -0.2222 0.4152 1.2667 2.2667 0.5217 0.94 0.9912 -0.237 0.237 5923908350471.73 5923908350472.73 0.2682 1 -0.0487 0.0487 -0.1948 0.8052 1 -0.1666 0.1666 -0.1562 0.8438 1 -0.1474 0.1474 -0.1474 0.8526 1 0 0
