cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 1 6043 0 0 0 0 0 1.0014 0 0.9772 -0.3837 0.391 0.1081 1.1081 0.4324 0.7083 0.9303 -0.3751 0.462 0.2802 1.2802 0.5938 0.9033 0.9133 -0.5551 0.5551 -0.5737 0.4263 0.6037 0.7033 -0.0363 0.0363 -0.0725 0.9275 1 -0.2164 0.2164 -0.1623 0.8377 1 -0.1327 0.1327 -0.1327 0.8673 1 0 0
4 2 6177 0 0 0 0 0 1.0016 0 0.9714 0.2424 0.2868 0.219 1.219 0.3712 0.9167 0.9454 0.22 0.4049 0.3257 1.3257 0.5145 0.94 0.9807 0.12 0.1593 -0.0959 0.9041 0.2093 1 0.0152 0.0152 0.0303 1.0303 1 -0.1903 0.1903 -0.1427 0.8573 1 -0.1698 0.1698 -0.1698 0.8302 1 0 0
4 3 9628 0 0 0 0 0 1.0009 0 0.9747 -0.1573 0.2439 -0.1023 0.8977 0.2962 1 0.947 -0.1528 0.4122 1.0264 2.0264 0.5373 0.95 0.974 0.0965 0.2983 -0.3184 0.6816 0.3815 1 0.1491 0.1491 0.2982 1.2982 0 0.3824 0.3824 0.2868 1.2868 1 -0.0286 0.0286 -0.0286 0.9714 1 0 0
4 4 5870 0 0 0 0 0 1.0015 0 0.9722 0.5134 0.5305 -0.5744 0.4256 0.5877 0.5417 0.9363 0.5801 0.6212 -0.5986 0.4014 0.7455 0.8033 0.9732 0.6849 0.6849 -0.5076 0.4924 0.7187 0.4433 -0.0752 0.0752 -0.1504 0.8496 1 -0.1212 0.1212 -0.0909 0.9091 1 -0.0159 0.0159 -0.0159 0.9841 1 0 0
4 5 6653 0 0 0 0 0 1.001 0 0.99 0.2824 0.4012 -0.0759 0.9241 0.4509 0.875 0.9637 0.4576 0.5546 -0.8527 0.1473 0.6893 0.8767 0.9867 0.3175 0.3578 -1.8206 -0.8206 0.422 0.9567 0.0317 0.0317 0.0634 1.0634 1 -0.1627 0.1627 -0.122 0.878 1 -0.172 0.172 -0.172 0.828 1 0 0
4 6 4384 0 0 0 0 0 1.0052 0 0.982 0.0702 0.2153 -2.8708 -1.8708 0.271 0.9583 0.9208 0.1326 0.3756 0.5386 1.5386 0.4676 0.9467 0.8677 -0.0904 0.1819 1.3486 2.3486 0.2396 1 -0.1378 0.1378 -0.2756 0.7244 0 -0.2702 0.2702 -0.2027 0.7973 1 -0.0841 0.0841 -0.0841 0.9159 1 0 0
4 7 5398 0 0 0 0 0 1.0038 0 0.9659 0.6249 0.6249 -0.4833 0.5167 0.6579 0.4167 0.9514 0.613 0.6736 -6.411 -5.411 0.7887 0.7967 0.9751 0.7867 0.7867 0.9541 1.9541 0.8421 0.34 -0.0589 0.0589 -0.1177 0.8823 1 0.0229 0.0229 0.0172 1.0172 1 0.0812 0.0812 0.0812 1.0812 1 0 0
4 8 6721 0 0 0 0 0 1.0016 0 0.9773 0.4643 0.4682 1.1213 2.1213 0.5212 0.6667 0.9446 0.4314 0.5437 0.2037 1.2037 0.6619 0.82 0.9764 0.5992 0.5992 1.654 2.654 0.6674 0.8667 0.1363 0.1363 0.2726 1.2726 0 0.0189 0.0189 0.0142 1.0142 1 -0.2114 0.2114 -0.2114 0.7886 1 0 0
4 9 5118 0 0 0 0 0 1.0018 0 0.9802 -0.4694 0.4694 -0.0428 0.9572 0.5291 0.7083 0.9614 -0.4439 0.5507 -5.1287 -4.1287 0.6697 0.8633 0.9772 -0.4921 0.4921 -0.4121 0.5879 0.578 0.56 -0.1929 0.1929 -0.3857 0.6143 0 -0.4571 0.4571 -0.3429 0.6571 0 -0.2132 0.2132 -0.2132 0.7868 1 0 0
4 10 4602 0 0 0 0 0 1.0031 0 0.987 0.0152 0.1676 0.161 1.161 0.2064 1 0.9366 0.0516 0.3822 -0.4432 0.5568 0.4825 0.9633 0.9593 -0.0249 0.2166 -0.1575 0.8425 0.2572 1 -0.202 0.202 -0.404 0.596 0 -0.1462 0.1462 -0.1097 0.8903 1 0.0741 0.0741 0.0741 1.0741 1 0 0
4 11 5889 0 0 0 0 0 1.0023 0 0.983 -0.1933 0.2351 -0.261 0.739 0.2829 0.9583 0.9496 -0.2919 0.4238 0.1464 1.1464 0.5398 0.93 0.9647 -0.0851 0.2369 0.5972 1.5972 0.3017 1 -0.1341 0.1341 -0.2682 0.7318 1 -0.3435 0.3435 -0.2576 0.7424 0 -0.1509 0.1509 -0.1509 0.8491 1 0 0
4 12 3454 0 0 0 0 0 1.0013 0 0.9732 0.2616 0.2882 -0.0017 0.9983 0.3572 0.9583 0.9571 0.1798 0.4789 0.0244 1.0244 0.6055 0.9333 0.9725 0.0487 0.3026 -0.2426 0.7574 0.3529 1 -0.1285 0.1285 -0.2569 0.7431 1 -0.1744 0.1744 -0.1308 0.8692 1 -0.0115 0.0115 -0.0115 0.9885 1 0 0
4 13 6064 0 0 0 0 0 1.0012 0 0.9808 0.0866 0.2256 -0.0762 0.9238 0.2724 0.9583 0.9629 0.1035 0.4555 0.1199 1.1199 0.5815 0.9733 0.9884 0.1617 0.2703 -0.1725 0.8275 0.315 1 -0.0506 0.0506 -0.1013 0.8987 1 -0.204 0.204 -0.153 0.847 1 -0.1095 0.1095 -0.1095 0.8905 1 0 0
4 14 3632 0 0 0 0 0 1.0025 0 0.9724 0.2724 0.3138 0.0798 1.0798 0.3998 0.8333 0.9523 0.2674 0.4046 -0.6739 0.3261 0.5023 0.92 0.9534 0.4013 0.407 -0.6649 0.3351 0.4773 0.7433 -0.2157 0.2157 -0.4315 0.5685 0 -0.3754 0.3754 -0.2816 0.7184 0 -0.126 0.126 -0.126 0.874 1 0 0
