cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
2 1 2395 0 0 0 0 0 1.0105 0 0.9724 0.3058 0.3484 -0.1178 0.8822 0.3794 0.9167 0.9602 0.3751 0.5133 -0.1906 0.8094 0.6277 0.9067 0.9954 0.4714 0.4735 -0.1481 0.8519 0.5094 0.7967 0.0791 0.0791 0.3166 1.3166 1 -0.0976 0.0976 -0.0915 0.9085 1 -0.1431 0.1431 -0.1431 0.8569 1 0 0
2 2 2676 0 0 0 0 0 1.0124 0 0.9805 -0.455 0.455 -0.117 0.883 0.4877 0.75 0.9587 -0.4829 0.6039 -2.3194 -1.3194 0.7208 0.8767 0.986 -0.4125 0.438 -0.0168 0.9832 0.4895 0.8467 0.0247 0.0247 0.0988 1.0988 1 0.2721 0.2721 0.2551 1.2551 1 0.2273 0.2273 0.2273 1.2273 1 0 0
2 3 1901 0 0 0 0 0 1.0082 0 0.9778 0.2416 0.2779 1.0856 2.0856 0.3278 1 0.9587 0.2406 0.4734 -0.0359 0.9641 0.5962 0.9433 0.9954 0.3878 0.3878 -0.0844 0.9156 0.4164 0.97 -0.1212 0.1212 -0.4846 0.5154 1 -0.0171 0.0171 -0.016 0.984 1 0.0255 0.0255 0.0255 1.0255 1 0 0
2 4 2130 0 0 0 0 0 1.0173 0 0.9588 0.3082 0.3539 0.099 1.099 0.421 0.8333 0.9551 0.2928 0.502 0.1383 1.1383 0.6409 0.92 0.9779 0.4513 0.4576 0.0226 1.0226 0.556 0.68 0.049 0.049 0.1961 1.1961 1 -0.1172 0.1172 -0.1098 0.8902 1 -0.143 0.143 -0.143 0.857 1 0 0
2 5 2107 0 0 0 0 0 1.0078 0 0.9592 0.0913 0.2109 0.9931 1.9931 0.2459 1 0.9626 0.1163 0.3982 -0.259 0.741 0.5145 0.9567 0.9896 0.0753 0.1657 -0.1793 0.8207 0.2506 1 -0.0909 0.0909 -0.3634 0.6366 1 -0.2054 0.2054 -0.1926 0.8074 1 -0.1673 0.1673 -0.1673 0.8327 1 0 0
2 6 2397 0 0 0 0 0 1.006 0 0.9788 -0.3364 0.3461 -0.294 0.706 0.4111 0.8333 0.9615 -0.3576 0.5161 -0.2973 0.7027 0.6377 0.9 0.9972 -0.3157 0.3157 -0.0387 0.9613 0.3566 1 -0.0604 0.0604 -0.2415 0.7585 1 -0.0509 0.0509 -0.0477 0.9523 1 -0.0273 0.0273 -0.0273 0.9727 1 0 0
2 7 2398 0 0 0 0 0 1.0125 0 0.9858 -0.0418 0.1314 0.1456 1.1456 0.1945 1 0.9615 -0.0369 0.3964 2.9762 3.9762 0.5125 0.9633 0.9941 0.0545 0.173 -0.0774 0.9226 0.2029 1 0.0607 0.0607 0.2428 1.2428 1 -0.0223 0.0223 -0.0209 0.9791 1 -0.0643 0.0643 -0.0643 0.9357 1 0 0
2 8 1890 0 0 0 0 0 1.0144 0 0.9837 0.6537 0.6537 -0.4177 0.5823 0.6982 0.375 0.9663 0.6376 0.6864 -1.1558 -0.1558 0.8036 0.81 0.9962 0.6141 0.6141 -0.1022 0.8978 0.6312 0.4667 -0.065 0.065 -0.2599 0.7401 1 -0.0884 0.0884 -0.0828 0.9172 1 -0.0624 0.0624 -0.0624 0.9376 1 0 0
2 9 2676 0 0 0 0 0 1.0069 0 0.9777 -0.3238 0.3238 0.0603 1.0603 0.388 0.875 0.9597 -0.3197 0.4814 0.2427 1.2427 0.6208 0.9267 0.9755 -0.439 0.5049 -0.1089 0.8911 0.5769 0.6867 -0.0164 0.0164 -0.0658 0.9342 1 0.0205 0.0205 0.0192 1.0192 1 0.0203 0.0203 0.0203 1.0203 1 0 0
2 10 2229 0 0 0 97 0 1.0172 0 0.9553 0.572 0.5815 1.8373 2.8373 0.6384 0.5 0.962 0.5399 0.6047 -0.4531 0.5469 0.7401 0.8333 0.9783 0.3609 0.3914 -0.2787 0.7213 0.5374 0.8467 0.1016 0.1016 0.4066 1.4066 1 -0.1524 0.1524 -0.1428 0.8572 1 -0.2061 0.2061 -0.2061 0.7939 1 0 1
2 11 3963 0 1 1000 624 592 11.1042 609 0.8618 0.8967 1.0047 -2.3342 -1.3342 1.1418 0.4583 0.9046 1.0283 1.1548 0.3573 1.3573 1.4483 0.81 0.0037 144.867 234.7542 185.0492 186.0492 269.6413 0.6467 0.1933 0.1933 0.7733 1.7733 1 1393.5633 1393.5633 1306.4656 1307.4656 1 1.7935 1.7935 1.7935 2.7935 1 1 1
2 12 2321 0 0 0 0 0 1.0102 0 0.9533 -0.0257 0.2204 0.4356 1.4356 0.2646 1 0.9604 0.0228 0.4249 0.0177 1.0177 0.575 0.9333 0.9854 -0.0989 0.2524 0.024 1.024 0.3309 0.9367 -0.0739 0.0739 -0.2955 0.7045 1 -0.1235 0.1235 -0.1158 0.8842 1 -0.0915 0.0915 -0.0915 0.9085 1 0 0
2 13 2530 0 0 0 0 0 1.0075 0 0.9713 -0.2554 0.3077 0.2957 1.2957 0.3861 0.8333 0.9647 -0.2407 0.4286 1.7896 2.7896 0.5507 0.9533 0.9933 -0.3624 0.3624 0.0603 1.0603 0.4057 1 0.0295 0.0295 0.1179 1.1179 1 0.3019 0.3019 0.283 1.283 1 0.253 0.253 0.253 1.253 1 0 0
2 14 2674 0 0 0 0 0 1.0066 0 0.9828 0.294 0.3397 -0.0923 0.9077 0.4241 0.875 0.9634 0.3191 0.4674 -0.6027 0.3973 0.5949 0.9267 0.9767 0.4685 0.4875 -0.2182 0.7818 0.5767 0.77 0.1431 0.1431 0.5725 1.5725 0 -0.0677 0.0677 -0.0634 0.9366 1 -0.163 0.163 -0.163 0.837 1 0 0
2 15 2053 0 0 0 0 0 1.0057 0 0.9791 0.5023 0.5023 -0.4785 0.5215 0.5637 0.7083 0.9641 0.5824 0.6443 -0.0205 0.9795 0.7689 0.82 0.9871 0.5415 0.5415 0.1368 1.1368 0.5962 0.5533 -0.0139 0.0139 -0.0557 0.9443 1 -0.1656 0.1656 -0.1553 0.8447 1 -0.1557 0.1557 -0.1557 0.8443 1 0 0
2 16 2096 0 0 0 0 0 1.0132 0 0.9834 -0.5551 0.5551 0.2186 1.2186 0.6336 0.4583 0.9643 -0.507 0.6218 -0.3841 0.6159 0.7438 0.82 0.9855 -0.4772 0.4847 -0.2573 0.7427 0.5577 0.6367 -0.0736 0.0736 -0.2946 0.7054 1 -0.1236 0.1236 -0.1159 0.8841 1 -0.0929 0.0929 -0.0929 0.9071 1 0 0
2 17 1978 0 0 0 30 0 1.0115 0 0.962 0.673 0.673 -0.0374 0.9626 0.709 0.3333 0.9607 0.7242 0.7656 0.1947 1.1947 0.8964 0.76 0.9943 0.7574 0.7574 0.1646 1.1646 0.7789 0.4033 0.0459 0.0459 0.1838 1.1838 1 0.1897 0.1897 0.1779 1.1779 1 0.1358 0.1358 0.1358 1.1358 1 0 1
2 18 1840 0 0 0 0 0 1.0088 0 0.9663 0.4504 0.46 19.5751 20.5751 0.501 0.875 0.9608 0.4706 0.5702 0.9457 1.9457 0.6982 0.8833 0.9887 0.5619 0.5702 0.1154 1.1154 0.6079 0.46 -0.1492 0.1492 -0.5969 0.4031 0 0.0924 0.0924 0.0866 1.0866 1 0.1404 0.1404 0.1404 1.1404 1 0 0
2 19 2400 0 0 0 0 0 1.0112 0 0.97 0.0721 0.2097 -0.0478 0.9522 0.2486 1 0.9611 0.0391 0.3919 -6.3006 -5.3006 0.4968 0.97 0.9978 -0.1119 0.1352 -0.0819 0.9181 0.1721 1 0.0067 0.0067 0.0268 1.0268 1 -0.137 0.137 -0.1285 0.8715 1 -0.1377 0.1377 -0.1377 0.8623 1 0 0
2 20 1885 0 0 0 0 0 1.008 0 0.9814 0.3433 0.3433 -0.2116 0.7884 0.3903 0.875 0.9571 0.3663 0.5199 -0.2421 0.7579 0.6457 0.92 0.9877 0.3227 0.3755 -0.0729 0.9271 0.4219 0.94 -0.0829 0.0829 -0.3316 0.6684 1 0.5551 0.5551 0.5205 1.5205 0 0.5673 0.5673 0.5673 1.5673 0 0 0
2 21 2035 0 0 0 0 0 1.0141 0 0.9599 0.6632 0.6632 -0.854 0.146 0.7046 0.4167 0.9621 0.598 0.6749 -3.993 -2.993 0.8014 0.82 0.9918 0.5453 0.5453 0.08 1.08 0.5801 0.69 0.0307 0.0307 0.1226 1.1226 1 0.0771 0.0771 0.0723 1.0723 1 0.0455 0.0455 0.0455 1.0455 1 0 0
2 22 2313 0 0 0 15 0 1.0136 0 0.985 0.6092 0.6092 -0.7666 0.2334 0.6373 0.5417 0.9537 0.5863 0.6594 0.4514 1.4514 0.8027 0.79 0.9688 0.5503 0.5754 -0.2283 0.7717 0.6772 0.5533 0.0853 0.0853 0.3413 1.3413 1 -0.1123 0.1123 -0.1053 0.8947 1 -0.1595 0.1595 -0.1595 0.8405 1 0 1
2 23 2000 0 0 0 0 0 1.0149 0 0.9874 0.2882 0.3049 -0.5266 0.4734 0.3496 1 0.9653 0.3788 0.4907 0.4604 1.4604 0.5988 0.9233 0.9867 0.4476 0.4598 -0.1005 0.8995 0.5254 0.66 -0.0354 0.0354 -0.1417 0.8583 1 -0.1384 0.1384 -0.1297 0.8703 1 -0.1204 0.1204 -0.1204 0.8796 1 0 0
2 24 1949 0 0 0 16 0 1.0253 0 0.9844 0.1335 0.3233 -0.0637 0.9363 0.3676 0.9583 0.9689 0.1348 0.4157 -0.3463 0.6537 0.5487 0.9533 0.991 0.2076 0.2484 0.1231 1.1231 0.3024 1 0.0293 0.0293 0.1171 1.1171 1 -0.2631 0.2631 -0.2467 0.7533 1 -0.265 0.265 -0.265 0.735 0 0 1
