cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
3 1 1332 1 0 0 0 0 1.0065 0 0.9685 0.394 0.4269 -0.0581 0.9419 0.5256 0.875 0.9811 0.3823 0.6147 -0.1655 0.8345 0.7807 0.945 0.9884 0.1911 0.4232 Inf Inf 0.514 1 -0.0368 0.0368 -0.0736 0.9264 1 0.2367 0.2367 0.1775 1.1775 1 0.1879 0.1879 0.1879 1.1879 1 1 0
3 2 1251 0 0 0 0 0 1.0047 0 0.9576 -0.7109 0.7109 -0.5512 0.4488 0.7764 0.5833 0.9767 -0.6592 0.8135 -0.7513 0.2487 0.9753 0.835 0.9906 -0.6027 0.6757 -Inf -Inf 0.752 0.735 -0.0835 0.0835 -0.1669 0.8331 1 -0.2925 0.2925 -0.2193 0.7807 1 -0.1627 0.1627 -0.1627 0.8373 1 0 0
3 3 1453 1 0 0 2 0 1.0151 0 0.9451 0.0567 0.3923 0.0333 1.0333 0.4697 0.9167 0.9717 0.1219 0.6687 -0.11 0.89 0.8482 0.895 0.9771 0.2612 0.6511 Inf Inf 0.7649 0.82 0.0098 0.0098 0.0197 1.0197 1 -0.4726 0.4726 -0.3545 0.6455 1 -0.3844 0.3844 -0.3844 0.6156 0 1 1
3 4 1388 2 0 0 0 1 1.0061 0 0.9482 0.0979 0.4427 -0.655 0.345 0.5199 0.7917 0.9764 0.1846 0.6812 -0.125 0.875 0.8625 0.925 0.9933 -0.1034 0.4044 -Inf -Inf 0.4866 0.945 -0.0235 0.0235 -0.0469 0.9531 1 -0.5936 0.5936 -0.4452 0.5548 0 -0.4507 0.4507 -0.4507 0.5493 0 1 1
3 5 1345 0 0 0 0 0 1.0078 0 0.9434 -0.0226 0.2503 -1.79 -0.79 0.3105 1 0.9601 -0.1558 0.7189 0.016 1.016 0.9889 0.92 0.973 -0.098 0.512 -Inf -Inf 0.8294 0.965 -0.0618 0.0618 -0.1236 0.8764 1 -0.2292 0.2292 -0.1719 0.8281 1 -0.1366 0.1366 -0.1366 0.8634 1 0 0
3 6 1028 0 0 0 0 0 1.0066 0 0.8988 0.3615 0.4729 -45.6863 -44.6863 0.5406 0.9167 0.9738 0.354 0.6744 -0.0287 0.9713 0.8313 0.885 0.9916 0.4607 0.641 Inf Inf 0.7113 0.71 -0.1891 0.1891 -0.3781 0.6219 1 -0.5671 0.5671 -0.4253 0.5747 0 -0.328 0.328 -0.328 0.672 1 0 0
3 7 1302 0 0 0 0 0 1.0071 0 0.9075 0.1017 0.4272 -0.4861 0.5139 0.4927 1 0.9812 -0.0027 0.5349 0.296 1.296 0.6815 0.97 0.9895 -0.0719 0.3843 -Inf -Inf 0.4906 1 0.0419 0.0419 0.0839 1.0839 1 0.0395 0.0395 0.0296 1.0296 1 -0.065 0.065 -0.065 0.935 1 0 0
3 8 1060 0 0 0 0 0 1.0127 0 0.9162 0.4187 0.5154 -9.4126 -8.4126 0.607 0.75 0.973 0.4491 0.7041 -0.1282 0.8718 0.8751 0.93 0.9915 0.6634 0.7074 Inf Inf 0.7773 0.82 -0.1109 0.1109 -0.2219 0.7781 1 0.0107 0.0107 0.008 1.008 1 0.1189 0.1189 0.1189 1.1189 1 0 0
3 9 1451 0 0 0 0 0 1.0054 0 0.9486 0.1251 0.4479 -0.4393 0.5607 0.5305 0.875 0.9783 0.1917 0.6662 -0.1258 0.8742 0.8898 0.93 0.9911 0.0927 0.3779 -Inf -Inf 0.5611 0.9 0.0158 0.0158 0.0315 1.0315 1 -0.1393 0.1393 -0.1045 0.8955 1 -0.1514 0.1514 -0.1514 0.8486 1 0 0
3 10 1272 3 0 0 1 0 1.0107 0 0.7556 0.2905 0.5108 -1.6421 -0.6421 0.6158 0.8333 0.9734 0.3887 0.6717 0.0075 1.0075 0.8687 0.9 0.9895 0.3694 0.4567 Inf Inf 0.5817 0.92 -0.0181 0.0181 -0.0362 0.9638 1 -0.2326 0.2326 -0.1745 0.8255 1 -0.1956 0.1956 -0.1956 0.8044 1 1 1
