cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
1 1 1126 0 0 0 0 0 1.008 0 0.9827 -0.9925 0.9925 -0.049 0.951 1.0452 0.2083 0.9319 -0.9006 0.9159 8.3592 9.3592 1.0304 0.56 0.975 -0.8914 0.8914 20918951146849.6 20918951146850.6 0.9227 0.25 0.0154 0.0154 0.0615 1.0615 1 0.0481 0.0481 0.0451 1.0451 1 0.0254 0.0254 0.0254 1.0254 1 0 0
1 2 1204 0 0 0 0 0 1.0041 0 0.9765 0.2769 0.324 -0.6537 0.3463 0.428 0.9583 0.946 0.2574 0.3976 0.729 1.729 0.5044 0.97 0.9882 0.3249 0.3469 -5672383424594.57 -5672383424593.57 0.4085 0.91 -0.008 0.008 -0.0321 0.9679 1 -0.0918 0.0918 -0.0861 0.9139 1 -0.0924 0.0924 -0.0924 0.9076 1 0 0
1 3 1165 0 0 0 0 0 1.0063 0 0.9514 0.4118 0.4146 -0.4111 0.5889 0.4718 0.8333 0.9512 0.3595 0.4788 0.0163 1.0163 0.581 0.91 0.9809 0.3258 0.3346 -8810971086147.01 -8810971086146.02 0.3796 1 0.047 0.047 0.1879 1.1879 1 0.244 0.244 0.2288 1.2288 1 0.1824 0.1824 0.1824 1.1824 1 0 0
1 4 1082 0 0 0 0 0 1.0045 0 0.9829 -0.424 0.4307 -0.1271 0.8729 0.537 0.7917 0.9511 -0.4102 0.5082 0.2897 1.2897 0.6237 0.88 0.9806 -0.479 0.479 14927511467417.6 14927511467418.6 0.5236 0.79 -0.0534 0.0534 -0.2137 0.7863 1 0.0071 0.0071 0.0066 1.0066 1 0.0219 0.0219 0.0219 1.0219 1 0 0
1 5 1102 0 0 0 0 0 1.0053 0 0.979 0.5596 0.5596 -0.8338 0.1662 0.5956 0.625 0.9529 0.5944 0.6509 -0.156 0.844 0.7548 0.765 0.9653 0.6548 0.6817 -12931699296973.8 -12931699296972.8 0.6996 0.545 -0.0265 0.0265 -0.1061 0.8939 1 0.3047 0.3047 0.2856 1.2856 1 0.289 0.289 0.289 1.289 1 0 0
1 6 2638 0 1 1000 416 333 5.1193 338 0.9778 0.1767 0.2234 -1.0974 -0.0974 0.2821 1 0.9297 0.1296 0.4641 -0.0388 0.9612 0.6175 0.96 -0.3791 69.3362 202.1247 -6197686583933937 -6197686583933935 268.6976 1 0.2862 0.2862 1.1449 2.1449 1 873.7348 873.7348 819.1264 820.1264 0 1.156 1.156 1.156 2.156 1 1 1
1 7 1054 0 0 0 0 0 1.0044 0 0.9849 -0.2644 0.2916 0.006 1.006 0.3596 0.9583 0.9487 -0.3015 0.4229 0.0201 1.0201 0.5221 0.95 0.9463 -0.2203 0.3212 5041949440017.05 5041949440018.05 0.3766 0.935 -0.056 0.056 -0.2241 0.7759 1 0.0056 0.0056 0.0053 1.0053 1 0.0219 0.0219 0.0219 1.0219 1 0 0
1 8 1057 0 0 0 0 0 1.0073 0 0.9536 0.0783 0.2614 -0.2275 0.7725 0.3396 0.9583 0.9391 0.1156 0.3915 1.8164 2.8164 0.5092 0.955 0.9231 0.1098 0.3108 -11164757442482.4 -11164757442481.4 0.3882 0.865 -0.1684 0.1684 -0.6737 0.3263 1 -0.1881 0.1881 -0.1763 0.8237 1 -0.1365 0.1365 -0.1365 0.8635 1 0 0
1 9 1116 0 0 0 0 0 1.0027 0 0.9751 -0.1351 0.2353 -0.0244 0.9756 0.3272 0.9583 0.9471 -0.1529 0.3838 -23.1007 -22.1007 0.4888 0.95 0.9741 -0.2969 0.324 1823699724534.21 1823699724535.21 0.3693 0.94 -0.0724 0.0724 -0.2897 0.7103 1 -0.294 0.294 -0.2757 0.7243 1 -0.2609 0.2609 -0.2609 0.7391 1 0 0
1 10 1100 0 0 0 0 0 1.0056 0 0.9814 -0.0956 0.2166 -0.0611 0.9389 0.2732 1 0.9456 -0.1108 0.3637 0.2391 1.2391 0.4673 0.97 0.9308 -0.1089 0.3248 7256328520111.96 7256328520112.96 0.3855 0.905 -0.0702 0.0702 -0.2809 0.7191 1 -0.0669 0.0669 -0.0627 0.9373 1 -0.0422 0.0422 -0.0422 0.9578 1 0 0
1 11 1042 0 0 0 0 0 1.0133 0 0.9851 -0.2578 0.284 -0.6969 0.3031 0.3388 1 0.9477 -0.2074 0.4058 0.0827 1.0827 0.518 0.93 0.9767 -0.1592 0.205 2240707214107.29 2240707214108.29 0.2717 1 -0.174 0.174 -0.6959 0.3041 1 -0.1927 0.1927 -0.1806 0.8194 1 -0.1391 0.1391 -0.1391 0.8609 1 0 0
1 12 1120 0 0 0 0 0 1.0073 0 0.9801 -0.3712 0.4002 -0.0321 0.9679 0.5182 0.8333 0.9546 -0.2756 0.4517 -0.4427 0.5573 0.5733 0.91 0.9954 -0.3098 0.3098 7001628494135.1 7001628494136.1 0.3239 1 0.0239 0.0239 0.0956 1.0956 1 -0.068 0.068 -0.0638 0.9362 1 -0.0876 0.0876 -0.0876 0.9124 1 0 0
1 13 1131 0 0 0 0 0 1.0088 0 0.8626 -0.8913 0.8913 -0.5448 0.4552 0.9815 0.2917 0.9292 -0.845 0.8971 -1.4367 -0.4367 1.0044 0.54 0.9888 -0.8761 0.8761 16894068908254.3 16894068908255.3 0.8905 0.115 -0.0601 0.0601 -0.2402 0.7598 1 -0.1648 0.1648 -0.1545 0.8455 1 -0.14 0.14 -0.14 0.86 1 0 0
1 14 1153 0 0 0 0 0 1.0123 0 0.96 -0.1862 0.2548 0.3366 1.3366 0.3206 0.9583 0.9473 -0.1806 0.3702 -0.712 0.288 0.4628 0.95 0.9572 -0.0628 0.2918 1111800640616.77 1111800640617.77 0.3616 0.98 0.0425 0.0425 0.1698 1.1698 1 0.0163 0.0163 0.0153 1.0153 1 -0.0233 0.0233 -0.0233 0.9767 1 0 0
1 15 1151 0 0 0 0 0 1.0037 0 0.9765 -0.1307 0.2574 -0.2934 0.7066 0.304 1 0.9452 -0.0998 0.375 -0.328 0.672 0.473 0.96 0.9657 -0.1431 0.2282 6120525769310.65 6120525769311.65 0.2877 1 0.058 0.058 0.2321 1.2321 1 0.2575 0.2575 0.2414 1.2414 1 0.1839 0.1839 0.1839 1.1839 1 0 0
1 16 1187 0 0 0 0 0 1.0077 0 0.95 -0.4033 0.4643 0.9562 1.9562 0.5182 0.7917 0.94 -0.3153 0.4622 1.4817 2.4817 0.567 0.905 0.9902 -0.3453 0.3453 7904837881446.55 7904837881447.54 0.3699 1 -0.0656 0.0656 -0.2623 0.7377 1 -0.16 0.16 -0.15 0.85 1 -0.1343 0.1343 -0.1343 0.8657 1 0 0
1 17 1230 0 0 0 0 0 1.016 0 0.9697 -0.2884 0.3582 -0.8028 0.1972 0.4008 0.9583 0.9516 -0.2747 0.4377 -0.0611 0.9389 0.5434 0.915 0.9561 -0.3975 0.4585 12630740781319.1 12630740781320.1 0.4857 0.95 0.087 0.087 0.348 1.348 1 -0.0642 0.0642 -0.0602 0.9398 1 -0.1231 0.1231 -0.1231 0.8769 1 0 0
1 18 1081 0 0 0 0 0 1.0059 0 0.9637 -0.2608 0.274 -0.0962 0.9038 0.3535 0.9583 0.9469 -0.2971 0.4364 -0.74 0.26 0.5486 0.935 0.9855 -0.3341 0.3341 11099447326509.3 11099447326510.3 0.3705 1 -0.0862 0.0862 -0.3448 0.6552 1 0.1712 0.1712 0.1605 1.1605 1 0.193 0.193 0.193 1.193 1 0 0
1 19 1125 0 0 0 0 0 1.0057 0 0.976 -0.1214 0.2447 -0.2017 0.7983 0.2907 1 0.9296 -0.1578 0.4061 0.0633 1.0633 0.5226 0.925 0.9543 -0.1537 0.3033 9436819181512.16 9436819181513.16 0.3442 1 0.0046 0.0046 0.0182 1.0182 1 -0.1595 0.1595 -0.1495 0.8505 1 -0.1608 0.1608 -0.1608 0.8392 1 0 0
1 20 1083 0 0 0 0 0 1.0148 0 0.981 -0.1744 0.2084 0.2855 1.2855 0.2706 0.9583 0.9539 -0.2098 0.3952 -0.113 0.887 0.4897 0.965 0.9507 -0.2408 0.2467 4260669935195.54 4260669935196.54 0.3818 0.965 -0.0702 0.0702 -0.2806 0.7194 1 0.3785 0.3785 0.3548 1.3548 1 0.385 0.385 0.385 1.385 0 0 0
1 21 1161 0 0 0 0 0 1.0045 0 0.9724 -0.1081 0.2033 0.1813 1.1813 0.2567 0.9583 0.9498 -0.1376 0.3908 0.1468 1.1468 0.4983 0.955 0.9516 -0.1691 0.3387 3494327102666.42 3494327102667.42 0.4042 1 -8e-04 8e-04 -0.0033 0.9967 1 -0.0842 0.0842 -0.0789 0.9211 1 -0.0908 0.0908 -0.0908 0.9092 1 0 0
1 22 1135 0 0 0 0 0 1.0104 0 0.9605 0.1057 0.2537 -0.2455 0.7545 0.3029 1 0.9502 0.0778 0.3821 -0.1039 0.8961 0.465 0.955 0.9754 -0.0094 0.1754 -5944849992114.54 -5944849992113.54 0.2079 1 -0.0083 0.0083 -0.0332 0.9668 1 -0.07 0.07 -0.0656 0.9344 1 -0.0713 0.0713 -0.0713 0.9287 1 0 0
