cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 1 7053 0 0 0 0 0 1.002 0 0.9773 -0.3655 0.3742 0.0843 1.0843 0.416 0.8333 0.9304 -0.3553 0.4503 0.238 1.238 0.5814 0.91 0.9128 -0.5383 0.5383 -0.5529 0.4471 0.5885 0.7367 -0.035 0.035 -0.0699 0.9301 1 -0.2113 0.2113 -0.1585 0.8415 1 -0.1303 0.1303 -0.1303 0.8697 1 0 0
4 2 7203 0 0 0 0 0 1.0019 0 0.9714 0.2451 0.2892 0.2256 1.2256 0.3731 0.9167 0.9453 0.2227 0.406 0.3292 1.3292 0.5158 0.94 0.9805 0.125 0.1636 -0.0994 0.9006 0.2141 1 0.0143 0.0143 0.0286 1.0286 1 -0.1922 0.1922 -0.1441 0.8559 1 -0.1707 0.1707 -0.1707 0.8293 1 0 0
4 3 10640 0 0 0 0 0 1.001 0 0.9747 -0.1545 0.243 -0.1032 0.8968 0.2952 1 0.947 -0.1509 0.4111 1.0183 2.0183 0.5363 0.95 0.9741 0.1038 0.303 -0.3202 0.6798 0.3888 1 0.151 0.151 0.3021 1.3021 0 0.381 0.381 0.2858 1.2858 1 -0.0342 0.0342 -0.0342 0.9658 1 0 0
4 4 6839 0 0 0 0 0 1.0015 0 0.9723 0.512 0.5288 -0.5712 0.4288 0.5861 0.5833 0.9362 0.5767 0.6187 -0.5955 0.4045 0.7428 0.7967 0.9729 0.6834 0.6834 -0.5059 0.4941 0.7176 0.39 -0.0758 0.0758 -0.1515 0.8485 1 -0.1142 0.1142 -0.0857 0.9143 1 -0.01 0.01 -0.01 0.99 1 0 0
4 5 7607 0 0 0 0 0 1.0018 0 0.99 0.2823 0.4014 -0.077 0.923 0.4515 0.8333 0.9638 0.4586 0.5555 -0.8668 0.1332 0.6902 0.8767 0.9868 0.3168 0.358 -1.8653 -0.8653 0.4224 0.95 0.0302 0.0302 0.0604 1.0604 1 -0.1688 0.1688 -0.1266 0.8734 1 -0.1737 0.1737 -0.1737 0.8263 1 0 0
4 6 6165 0 0 0 0 0 1.0024 0 0.9821 0.0616 0.2111 -2.7573 -1.7573 0.2681 0.9583 0.9207 0.1239 0.3738 0.5447 1.5447 0.4653 0.9467 0.8693 -0.1005 0.1872 1.4514 2.4514 0.2419 1 -0.14 0.14 -0.28 0.72 0 -0.2696 0.2696 -0.2022 0.7978 1 -0.0819 0.0819 -0.0819 0.9181 1 0 0
4 7 5816 0 0 0 0 0 1.0029 0 0.9662 0.6152 0.6152 -0.4755 0.5245 0.6484 0.4583 0.9514 0.603 0.6653 -6.3676 -5.3676 0.781 0.7933 0.9751 0.7781 0.7781 0.9344 1.9344 0.8342 0.3533 -0.0589 0.0589 -0.1179 0.8821 1 0.0253 0.0253 0.0189 1.0189 1 0.0832 0.0832 0.0832 1.0832 1 0 0
4 8 8180 0 0 0 0 0 1.0021 0 0.9773 0.4554 0.4597 1.0955 2.0955 0.513 0.7083 0.9445 0.4233 0.5388 0.1943 1.1943 0.6567 0.8267 0.9759 0.5905 0.5905 1.6341 2.6341 0.66 0.8733 0.1344 0.1344 0.2689 1.2689 0 0.0185 0.0185 0.0139 1.0139 1 -0.2084 0.2084 -0.2084 0.7916 1 0 0
4 9 6439 0 0 0 0 0 1.001 0 0.9801 -0.4659 0.4659 -0.045 0.955 0.5261 0.7083 0.9614 -0.4399 0.5482 -5.0959 -4.0959 0.6675 0.86 0.9772 -0.4888 0.4888 -0.4075 0.5925 0.5751 0.5467 -0.1898 0.1898 -0.3795 0.6205 0 -0.4589 0.4589 -0.3442 0.6558 0 -0.2162 0.2162 -0.2162 0.7838 1 0 0
4 10 5040 0 0 0 0 0 1.0037 0 0.9871 0.0198 0.1673 0.1619 1.1619 0.2058 1 0.9366 0.0559 0.3829 -0.4505 0.5495 0.483 0.9633 0.9591 -0.0203 0.2166 -0.1558 0.8442 0.2571 1 -0.2018 0.2018 -0.4035 0.5965 0 -0.1455 0.1455 -0.1091 0.8909 1 0.0744 0.0744 0.0744 1.0744 1 0 0
