cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
2 1 2770 0 0 0 0 0 1.0032 0 0.9599 -0.3111 0.348 -0.8553 0.1447 0.4063 0.75 0.9266 -0.3432 0.4587 0.1909 1.1909 0.5698 0.92 0.9685 -0.2425 0.2425 0.189 1.189 0.3045 0.9267 0.0943 0.0943 0.3772 1.3772 1 0.1294 0.1294 0.1213 1.1213 1 0.0461 0.0461 0.0461 1.0461 1 0 0
2 2 1924 0 0 0 0 0 1.0115 0 0.964 0.1123 0.2423 0.3174 1.3174 0.3298 1 0.8904 0.029 0.4089 0.6426 1.6426 0.5155 0.97 0.9311 0.0453 0.1397 0.0685 1.0685 0.1833 1 -0.0168 0.0168 -0.0673 0.9327 1 -0.0673 0.0673 -0.0631 0.9369 1 -0.062 0.062 -0.062 0.938 1 0 0
2 3 1982 0 0 0 24 0 1.006 0 0.9844 -0.2724 0.3128 0.2282 1.2282 0.3524 0.9583 0.9377 -0.3074 0.434 1.0311 2.0311 0.5414 0.93 0.9676 -0.1746 0.2153 -1.772 -0.772 0.2438 1 -0.1033 0.1033 -0.4131 0.5869 1 -0.098 0.098 -0.0919 0.9081 1 -0.058 0.058 -0.058 0.942 1 0 1
2 4 2341 0 0 0 0 0 1.0138 0 0.9884 0.6193 0.6193 -0.4127 0.5873 0.6457 0.2917 0.9316 0.6135 0.6617 -1.8144 -0.8144 0.7663 0.6867 0.9728 0.7761 0.7761 -3.5074 -2.5074 0.788 0.0367 0.0592 0.0592 0.2369 1.2369 1 -0.154 0.154 -0.1444 0.8556 1 -0.1808 0.1808 -0.1808 0.8192 1 0 0
2 5 1927 0 0 0 144 0 1.0221 0 0.9788 -0.6004 0.6004 -13.0961 -12.0961 0.6477 0.4167 0.9307 -0.5952 0.6283 -1.6193 -0.6193 0.7221 0.78 0.9336 -0.6727 0.6727 0.2625 1.2625 0.7002 0.2 -0.1633 0.1633 -0.6534 0.3466 0 -0.2863 0.2863 -0.2684 0.7316 0 -0.2304 0.2304 -0.2304 0.7696 0 0 1
2 6 1892 0 0 0 0 0 1.007 0 0.9703 0.1083 0.205 0.7852 1.7852 0.2595 0.9583 0.9232 0.1795 0.3882 1.2369 2.2369 0.4837 0.96 0.9342 0.1971 0.2304 -0.9753 0.0247 0.2696 0.98 -0.1533 0.1533 -0.6132 0.3868 0 0.2403 0.2403 0.2253 1.2253 1 0.2874 0.2874 0.2874 1.2874 1 0 0
2 7 2284 0 0 0 0 0 1.0104 0 0.9845 -0.226 0.2659 -0.2546 0.7454 0.3102 0.9583 0.9444 -0.2054 0.3854 -0.514 0.486 0.4915 0.9567 0.9866 -0.1414 0.1531 -0.0834 0.9166 0.2059 1 0.0203 0.0203 0.0811 1.0811 1 -0.0786 0.0786 -0.0737 0.9263 1 -0.0905 0.0905 -0.0905 0.9095 1 0 0
2 8 2118 0 0 0 0 0 1.0064 0 0.9804 0.0699 0.2247 -0.086 0.914 0.2917 0.9583 0.8958 0.045 0.3592 0.1017 1.1017 0.4439 0.9567 0.1039 -0.0073 0.1117 -0.3046 0.6954 0.173 0.98 -0.0888 0.0888 -0.3553 0.6447 1 -0.1774 0.1774 -0.1663 0.8337 1 -0.1385 0.1385 -0.1385 0.8615 1 0 0
2 9 2440 0 0 0 1 0 1.0213 0 0.9775 0.0376 0.1554 -0.0611 0.9389 0.2006 1 0.929 0.0786 0.3419 0.6943 1.6943 0.4285 0.9767 0.8658 -0.052 0.2178 0.0346 1.0346 0.2682 0.9867 0.0136 0.0136 0.0544 1.0544 1 -0.0367 0.0367 -0.0344 0.9656 1 -0.0485 0.0485 -0.0485 0.9515 1 0 1
2 10 2371 0 0 0 0 0 1.0121 0 0.971 -0.0993 0.2612 -0.574 0.426 0.3404 0.9583 0.9111 -0.099 0.3599 -0.6165 0.3835 0.4608 0.93 0.8182 -0.304 0.3476 -0.5351 0.4649 0.4122 0.7867 0.062 0.062 0.2482 1.2482 1 -0.123 0.123 -0.1154 0.8846 1 -0.1549 0.1549 -0.1549 0.8451 1 0 0
