cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 1 4155 0 0 0 0 0 1.0057 0 0.977 -0.3851 0.3927 0.1033 1.1033 0.4341 0.75 0.9302 -0.3779 0.4639 0.2745 1.2745 0.596 0.9067 0.9124 -0.5669 0.5669 -0.5856 0.4144 0.6151 0.7133 -0.0423 0.0423 -0.0847 0.9153 1 -0.2261 0.2261 -0.1696 0.8304 1 -0.1338 0.1338 -0.1338 0.8662 1 0 0
4 2 4260 0 0 0 0 0 1.0059 0 0.9715 0.2799 0.3165 0.3238 1.3238 0.3963 0.9167 0.9454 0.259 0.4211 0.3721 1.3721 0.532 0.92 0.9733 0.1622 0.1909 -0.1205 0.8795 0.2574 1 0.0145 0.0145 0.029 1.029 1 -0.1791 0.1791 -0.1343 0.8657 1 -0.1624 0.1624 -0.1624 0.8376 1 0 0
4 3 5868 0 0 0 0 0 1.0052 0 0.9745 -0.1838 0.2599 -0.1135 0.8865 0.312 1 0.9469 -0.1802 0.4196 1.0346 2.0346 0.546 0.95 0.9749 0.0702 0.3027 -0.3421 0.6579 0.3877 1 0.1509 0.1509 0.3019 1.3019 0 0.3805 0.3805 0.2854 1.2854 1 -0.0346 0.0346 -0.0346 0.9654 1 0 0
4 4 4064 0 0 0 0 0 1.0053 0 0.972 0.5187 0.5359 -0.5786 0.4214 0.5929 0.5417 0.9364 0.585 0.6248 -0.6082 0.3918 0.749 0.7967 0.9741 0.6933 0.6933 -0.5122 0.4878 0.7263 0.4067 -0.0778 0.0778 -0.1557 0.8443 1 -0.1289 0.1289 -0.0967 0.9033 1 -0.0195 0.0195 -0.0195 0.9805 1 0 0
4 5 4174 0 0 0 0 0 1.0057 0 0.99 0.2741 0.3954 -0.0762 0.9238 0.4451 0.875 0.9636 0.4477 0.5486 -0.7319 0.2681 0.683 0.88 0.9884 0.3099 0.3473 -1.904 -0.904 0.411 0.9733 0.0324 0.0324 0.0647 1.0647 1 -0.1589 0.1589 -0.1192 0.8808 1 -0.1705 0.1705 -0.1705 0.8295 1 0 0
4 6 3400 0 0 0 0 0 1.0158 0 0.982 0.0699 0.2149 -2.9165 -1.9165 0.2707 0.9583 0.921 0.1321 0.3751 0.5498 1.5498 0.4668 0.9533 0.8677 -0.09 0.1804 1.3294 2.3294 0.2397 1 -0.1344 0.1344 -0.2687 0.7313 1 -0.2669 0.2669 -0.2001 0.7999 1 -0.0838 0.0838 -0.0838 0.9162 1 0 0
4 7 3891 0 0 0 0 0 1.0068 0 0.9656 0.6092 0.6092 -0.4746 0.5254 0.6433 0.5417 0.9515 0.5955 0.6591 -6.3222 -5.3222 0.7751 0.81 0.979 0.7656 0.7656 0.9287 1.9287 0.817 0.4067 -0.0613 0.0613 -0.1225 0.8775 1 0.0219 0.0219 0.0164 1.0164 1 0.0824 0.0824 0.0824 1.0824 1 0 0
4 8 5417 0 0 0 0 0 1.0047 0 0.9774 0.465 0.4683 1.1423 2.1423 0.5212 0.7083 0.9446 0.434 0.5453 0.2071 1.2071 0.6633 0.8333 0.9724 0.6153 0.6153 1.7398 2.7398 0.6991 0.8467 0.1361 0.1361 0.2722 1.2722 0 0.037 0.037 0.0277 1.0277 1 -0.2 0.2 -0.2 0.8 1 0 0
4 9 3501 0 0 0 0 0 1.0083 0 0.9801 -0.4562 0.4562 -0.0451 0.9549 0.5175 0.7083 0.9612 -0.4314 0.5428 -5.1187 -4.1187 0.6624 0.8733 0.9775 -0.4824 0.4824 -0.4094 0.5906 0.5681 0.59 -0.1806 0.1806 -0.3611 0.6389 0 -0.4534 0.4534 -0.3401 0.6599 0 -0.2167 0.2167 -0.2167 0.7833 1 0 0
4 10 3341 0 0 0 0 0 1.0096 0 0.987 0.0358 0.1713 0.1737 1.1737 0.2094 1 0.9367 0.0726 0.385 -0.4812 0.5188 0.4849 0.9633 0.9575 -0.0017 0.2176 -0.1769 0.8231 0.2616 1 -0.2034 0.2034 -0.4069 0.5931 0 -0.1471 0.1471 -0.1103 0.8897 1 0.0739 0.0739 0.0739 1.0739 1 0 0
4 11 3787 0 0 0 0 0 1.0059 0 0.983 -0.2023 0.2413 -0.259 0.741 0.2891 0.9583 0.9493 -0.3016 0.4291 0.1587 1.1587 0.5461 0.9233 0.9664 -0.0906 0.2346 0.582 1.582 0.295 1 -0.1301 0.1301 -0.2603 0.7397 1 -0.3389 0.3389 -0.2542 0.7458 0 -0.15 0.15 -0.15 0.85 1 0 0
4 12 2788 0 0 0 0 0 1.0191 0 0.9728 0.2725 0.2981 -0.0536 0.9464 0.3664 0.9583 0.9572 0.1915 0.4825 0.0341 1.0341 0.6084 0.93 0.9729 0.0564 0.3039 -0.2326 0.7674 0.3522 1 -0.1186 0.1186 -0.2373 0.7627 1 -0.177 0.177 -0.1328 0.8672 1 -0.0223 0.0223 -0.0223 0.9777 1 0 0
4 13 4050 0 0 0 0 0 1.0094 0 0.9807 0.0512 0.211 -0.083 0.917 0.2645 1 0.963 0.0721 0.4512 0.1477 1.1477 0.5767 0.97 0.9877 0.1398 0.2679 -0.2241 0.7759 0.3101 1 -0.0428 0.0428 -0.0856 0.9144 1 -0.2173 0.2173 -0.163 0.837 1 -0.1287 0.1287 -0.1287 0.8713 1 0 0
4 14 3367 0 0 0 0 0 1.0072 0 0.9721 0.2702 0.3128 0.0768 1.0768 0.3998 0.8333 0.9523 0.2658 0.4041 -0.6638 0.3362 0.5018 0.9167 0.9556 0.4014 0.4066 -0.6649 0.3351 0.4744 0.7433 -0.2177 0.2177 -0.4353 0.5647 0 -0.3794 0.3794 -0.2845 0.7155 0 -0.1289 0.1289 -0.1289 0.8711 1 0 0
4 15 4740 0 0 0 0 0 1.0077 0 0.9787 0.2204 0.3046 0.372 1.372 0.3686 0.875 0.955 0.2845 0.4761 0.1768 1.1768 0.6338 0.9233 0.9843 0.1651 0.2442 -0.1682 0.8318 0.3197 0.9633 0.0772 0.0772 0.1544 1.1544 1 -0.23 0.23 -0.1725 0.8275 1 -0.2763 0.2763 -0.2763 0.7237 0 0 0
4 16 4041 0 0 0 0 0 1.0079 0 0.9815 0.0318 0.2003 -0.0887 0.9113 0.238 1 0.9585 -0.0211 0.3905 -3.0053 -2.0053 0.5039 0.97 0.9853 0.1488 0.2192 -0.153 0.847 0.3077 0.9633 -0.0371 0.0371 -0.0742 0.9258 1 -0.1241 0.1241 -0.0931 0.9069 1 -0.0609 0.0609 -0.0609 0.9391 1 0 0
