cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
1 1 1971 0 0 0 0 0 1.0055 0 0.9634 -0.9613 0.9682 -0.2104 0.7896 1.0725 0.2917 0.9143 -0.7867 0.8318 -0.1922 0.8078 0.9495 0.555 0.9965 -0.7822 0.7822 -0.0823 0.9177 0.7918 0.145 0.134 0.134 0.5361 1.5361 1 -0.2302 0.2302 -0.2158 0.7842 1 -0.2962 0.2962 -0.2962 0.7038 0 0 0
1 2 2136 0 0 0 0 0 1.0164 0 0.9692 0.3855 0.4276 -1.382 -0.382 0.525 0.875 0.9343 0.3394 0.4487 -0.1743 0.8257 0.556 0.915 0.9918 0.4105 0.4105 -0.3247 0.6753 0.439 0.725 -0.1141 0.1141 -0.4565 0.5435 1 -0.1514 0.1514 -0.1419 0.8581 1 -0.1096 0.1096 -0.1096 0.8904 1 0 0
1 3 2252 0 0 0 0 0 1.0047 0 0.9464 0.5082 0.5082 -0.2651 0.7349 0.5613 0.5833 0.9314 0.5181 0.6176 -0.9024 0.0976 0.7148 0.79 0.9884 0.4963 0.4963 0.0405 1.0405 0.5104 0.925 0.0716 0.0716 0.2866 1.2866 1 0.0847 0.0847 0.0794 1.0794 1 0.0203 0.0203 0.0203 1.0203 1 0 0
1 4 2149 0 0 0 0 0 1.0046 0 0.9645 -0.3468 0.3659 -0.5396 0.4604 0.5386 0.9167 0.9413 -0.3427 0.4475 0.0632 1.0632 0.5574 0.93 0.985 -0.4094 0.4112 -0.1487 0.8513 0.4588 0.86 -0.0622 0.0622 -0.2489 0.7511 1 0.0181 0.0181 0.0169 1.0169 1 0.0376 0.0376 0.0376 1.0376 1 0 0
1 5 2168 0 0 0 0 0 1.0068 0 0.9777 0.6566 0.6566 -1.3553 -0.3553 0.6995 0.5417 0.9472 0.5964 0.6669 -0.3409 0.6591 0.7617 0.805 0.9926 0.6696 0.6696 0.183 1.183 0.6768 0.37 -0.0356 0.0356 -0.1425 0.8575 1 0.1729 0.1729 0.1621 1.1621 1 0.1718 0.1718 0.1718 1.1718 1 0 0
1 6 2572 0 0 0 0 0 1.0119 0 0.9634 0.2101 0.2698 -3.5795 -2.5795 0.3257 0.9167 0.961 0.2474 0.3684 0.2794 1.2794 0.4612 0.975 0.9868 0.1958 0.1961 0.0087 1.0087 0.2334 1 0.0267 0.0267 0.1069 1.1069 1 0.1334 0.1334 0.125 1.125 1 0.0966 0.0966 0.0966 1.0966 1 0 0
1 7 2083 1 0 0 0 0 1.0066 0 0.9773 -0.1874 0.2921 0.0892 1.0892 0.3616 0.9583 0.9279 -0.2093 0.4061 -0.9651 0.0349 0.5075 0.935 0.991 -0.121 0.1493 -0.1713 0.8287 0.2046 1 -0.1574 0.1574 -0.6298 0.3702 1 -0.3675 0.3675 -0.3445 0.6555 0 -0.3139 0.3139 -0.3139 0.6861 0 1 0
1 8 2438 0 0 0 0 0 1.0071 0 0.9659 0.1721 0.2635 -0.3837 0.6163 0.3362 1 0.9496 0.2444 0.3754 -5.1043 -4.1043 0.4761 0.965 0.9184 0.2449 0.3026 -0.4471 0.5529 0.3929 0.81 -0.1992 0.1992 -0.7968 0.2032 0 -0.0617 0.0617 -0.0579 0.9421 1 -0.0078 0.0078 -0.0078 0.9922 1 0 0
1 9 1848 0 0 0 0 0 1.009 0 0.9741 -0.0616 0.2248 -0.2123 0.7877 0.3109 1 0.9349 -0.068 0.3345 0.1951 1.1951 0.4342 0.975 0.9659 -0.2068 0.2825 -0.1367 0.8633 0.3023 1 0.0029 0.0029 0.0115 1.0115 1 -0.2502 0.2502 -0.2345 0.7655 1 -0.245 0.245 -0.245 0.755 1 0 0
1 10 3002 0 0 0 0 0 1.0048 0 0.9781 -0.0224 0.2151 -0.7571 0.2429 0.2902 1 0.9443 0.0028 0.3887 -2.1 -1.1 0.4912 0.945 0.9816 1e-04 0.1386 0.057 1.057 0.1732 1 -0.0579 0.0579 -0.2317 0.7683 1 -0.3323 0.3323 -0.3116 0.6884 0 -0.3003 0.3003 -0.3003 0.6997 0 0 0
1 11 2239 0 0 0 0 0 1.0066 0 0.9614 -0.1804 0.2932 0.2903 1.2903 0.3658 0.9583 0.9393 -0.1783 0.398 0.386 1.386 0.4951 0.96 0.9953 -0.12 0.1393 -0.1895 0.8105 0.171 1 -0.1075 0.1075 -0.4301 0.5699 1 -0.1517 0.1517 -0.1422 0.8578 1 -0.1119 0.1119 -0.1119 0.8881 1 0 0
1 12 2052 0 0 0 0 0 1.0034 0 0.985 -0.3151 0.3603 -0.0792 0.9208 0.454 0.9583 0.9437 -0.273 0.4262 -0.1557 0.8443 0.521 0.95 0.9791 -0.2991 0.3027 0.173 1.173 0.3392 1 -0.0087 0.0087 -0.0349 0.9651 1 -0.0562 0.0562 -0.0527 0.9473 1 -0.0581 0.0581 -0.0581 0.9419 1 0 0
1 13 2258 0 0 0 0 0 1.0166 0 0.9503 -0.859 0.859 -0.6681 0.3319 0.9018 0.25 0.9117 -0.793 0.8454 -0.0642 0.9358 0.9522 0.545 0.9905 -0.8228 0.8228 0.0475 1.0475 0.8308 0.075 -0.0924 0.0924 -0.3694 0.6306 1 -0.2373 0.2373 -0.2225 0.7775 1 -0.1982 0.1982 -0.1982 0.8018 1 0 0
1 14 2524 0 0 0 0 0 1.0142 0 0.9589 -0.1501 0.2461 -0.0284 0.9716 0.3063 0.9583 0.9522 -0.1992 0.4005 -0.47 0.53 0.5143 0.965 0.9898 -0.0691 0.2077 0.1211 1.1211 0.2706 1 0.0165 0.0165 0.066 1.066 1 0.5347 0.5347 0.5013 1.5013 0 0.4724 0.4724 0.4724 1.4724 0 0 0
1 15 2341 0 0 0 0 0 1.0084 0 0.9659 -0.0592 0.2419 0.1875 1.1875 0.3434 0.9583 0.9438 -0.0708 0.3595 -0.0402 0.9598 0.4574 0.98 0.9894 -0.0984 0.1331 0.0043 1.0043 0.1551 1 -0.005 0.005 -0.0201 0.9799 1 0.1617 0.1617 0.1516 1.1516 1 0.1449 0.1449 0.1449 1.1449 1 0 0
