cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 1 2371 35 0 0 0 0 1.0087 0 0.9941 -0.1394 0.1612 0.1557 1.1557 0.2256 1 0.946 -0.1105 0.3946 4.3655 5.3655 0.5016 0.95 0.9892 -0.2371 0.268 -0.0742 0.9258 0.3068 1 0.0164 0.0164 0.0329 1.0329 1 -0.044 0.044 -0.033 0.967 1 -0.0646 0.0646 -0.0646 0.9354 1 1 0
4 2 3096 0 0 0 0 0 1.0069 0 0.968 -0.7991 0.7991 -1.287 -0.287 0.8708 0.3333 0.954 -0.7305 0.7867 -0.7657 0.2343 0.8995 0.6367 0.9909 -0.8079 0.8079 -0.2759 0.7241 0.84 0.3533 -0.0328 0.0328 -0.0656 0.9344 1 -0.3483 0.3483 -0.2612 0.7388 0 -0.2377 0.2377 -0.2377 0.7623 1 0 0
4 3 2789 2 0 0 0 0 1.013 0 0.9931 -0.1562 0.1939 -0.288 0.712 0.2647 0.9583 0.9684 -0.1157 0.3635 -0.1524 0.8476 0.4698 0.96 0.9907 0.1426 0.1521 0.0018 1.0018 0.2129 1 0.0863 0.0863 0.1726 1.1726 1 -0.1018 0.1018 -0.0763 0.9237 1 -0.2032 0.2032 -0.2032 0.7968 1 1 0
4 4 3634 1 0 0 0 0 1.0045 0 0.9815 -0.1035 0.1878 0.0036 1.0036 0.2308 1 0.9568 -0.09 0.3916 -0.1419 0.8581 0.5053 0.9667 0.9927 -0.0077 0.108 0.0322 1.0322 0.1399 1 0.0011 0.0011 0.0023 1.0023 1 -0.0634 0.0634 -0.0475 0.9525 1 -0.0582 0.0582 -0.0582 0.9418 1 1 0
4 5 2823 5 0 0 0 0 1.006 0 0.9863 -0.5891 0.6033 0.4047 1.4047 0.6559 0.5 0.9592 -0.5337 0.619 -0.7634 0.2366 0.7401 0.8367 0.9972 -0.7122 0.7122 -0.0957 0.9043 0.7192 0.4033 0.024 0.024 0.0481 1.0481 1 -2e-04 2e-04 -2e-04 0.9998 1 -0.0441 0.0441 -0.0441 0.9559 1 1 0
4 6 2478 0 0 0 0 0 1.0059 0 0.9792 -0.2628 0.2769 -0.0234 0.9766 0.3276 0.9583 0.9459 -0.2272 0.4296 0.0923 1.0923 0.5326 0.93 0.9949 -0.4549 0.4549 -0.15 0.85 0.4922 0.6767 -0.0997 0.0997 -0.1994 0.8006 1 -0.3357 0.3357 -0.2518 0.7482 1 -0.17 0.17 -0.17 0.83 1 0 0
4 7 2348 11 0 0 0 0 1.0096 0 0.9776 0.1053 0.236 0.065 1.065 0.2898 0.9583 0.9543 0.1035 0.3851 0.3775 1.3775 0.4871 0.9633 0.9869 0.2832 0.2885 -0.1069 0.8931 0.3649 0.9233 0.0307 0.0307 0.0615 1.0615 1 -0.1377 0.1377 -0.1033 0.8967 1 -0.1505 0.1505 -0.1505 0.8495 1 1 0
4 8 3199 17 0 0 0 0 1.0093 0 0.956 -0.1576 0.2691 0.0109 1.0109 0.3276 0.9583 0.9627 -0.1468 0.3727 -0.1697 0.8303 0.4787 0.96 0.9969 -0.0026 0.1429 -0.1673 0.8327 0.167 1 0.0659 0.0659 0.1318 1.1318 1 -0.042 0.042 -0.0315 0.9685 1 -0.1327 0.1327 -0.1327 0.8673 1 1 0
4 9 2055 4 0 0 0 0 1.0019 0 0.9861 0.6106 0.6106 -0.8449 0.1551 0.6289 0.4167 0.949 0.5909 0.6669 0.3224 1.3224 0.7726 0.7433 0.9836 0.5702 0.5702 -0.0454 0.9546 0.6081 0.5567 -0.1227 0.1227 -0.2454 0.7546 1 -0.5332 0.5332 -0.3999 0.6001 0 -0.3199 0.3199 -0.3199 0.6801 0 1 0
4 10 3015 4 0 0 0 0 1.0089 0 0.9871 -0.277 0.2839 -0.8642 0.1358 0.3337 0.9167 0.9494 -0.3062 0.4358 0.5516 1.5516 0.5543 0.9133 0.9764 -0.388 0.4048 0.0747 1.0747 0.4657 0.79 -0.0259 0.0259 -0.0518 0.9482 1 -0.261 0.261 -0.1957 0.8043 1 -0.1764 0.1764 -0.1764 0.8236 1 1 0
