cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
1 1 2234 0 0 0 0 0 1.0111 0 0.9747 -0.9778 0.9778 0.0452 1.0452 1.0658 0.2083 0.9333 -0.838 0.8867 -0.1088 0.8912 1.0077 0.55 0.994 -0.8345 0.8345 -Inf -Inf 0.8561 0.215 0.1273 0.1273 0.5092 1.5092 1 -0.3607 0.3607 -0.3382 0.6618 0 -0.4031 0.4031 -0.4031 0.5969 0 0 0
1 2 2116 0 0 0 0 0 1.0044 0 0.9489 0.3917 0.495 -0.2687 0.7313 0.5916 0.7917 0.9597 0.3777 0.4643 -0.6542 0.3458 0.5648 0.9 0.9907 0.4507 0.4507 Inf Inf 0.5141 0.565 -0.0616 0.0616 -0.2464 0.7536 1 -0.2076 0.2076 -0.1946 0.8054 1 -0.1796 0.1796 -0.1796 0.8204 1 0 0
1 3 2419 0 0 0 0 0 1.022 0 0.9219 0.5122 0.5146 -0.402 0.598 0.5788 0.7083 0.9501 0.4741 0.5656 -0.1441 0.8559 0.6896 0.81 0.9929 0.4518 0.4518 Inf Inf 0.4772 0.94 0.086 0.086 0.3441 1.3441 1 -0.0891 0.0891 -0.0835 0.9165 1 -0.1431 0.1431 -0.1431 0.8569 1 0 0
1 4 1922 0 0 0 0 0 1.004 0 0.9731 -0.3236 0.3821 -0.2641 0.7359 0.5257 0.8333 0.9511 -0.2685 0.4267 0.5805 1.5805 0.5477 0.915 0.9941 -0.332 0.3343 -Inf -Inf 0.3886 0.94 -0.1231 0.1231 -0.4923 0.5077 1 -0.1473 0.1473 -0.138 0.862 1 -0.1037 0.1037 -0.1037 0.8963 1 0 0
1 5 2084 0 0 0 0 0 1.0214 0 0.9632 0.6594 0.6594 -1.795 -0.795 0.7139 0.4583 0.9487 0.6795 0.7513 -2.4718 -1.4718 0.8553 0.73 0.9951 0.7642 0.7642 Inf Inf 0.7714 0.1 -0.0264 0.0264 -0.1054 0.8946 1 0.2172 0.2172 0.2036 1.2036 1 0.2073 0.2073 0.2073 1.2073 1 0 0
1 6 2806 0 0 0 0 0 1.0054 0 0.9677 0.2125 0.2707 3.0041 4.0041 0.3269 1 0.9535 0.2313 0.4257 -1.5795 -0.5795 0.5274 0.965 0.9907 0.1761 0.1855 Inf Inf 0.2585 1 0.0255 0.0255 0.1021 1.1021 1 0.0996 0.0996 0.0933 1.0933 1 0.0664 0.0664 0.0664 1.0664 1 0 0
1 7 2294 0 0 0 0 0 1.0064 0 0.982 -0.1817 0.2659 -0.0049 0.9951 0.331 0.9583 0.9425 -0.1677 0.4096 -0.2232 0.7768 0.5184 0.93 0.9868 -0.0836 0.2057 -Inf -Inf 0.2514 1 -0.0267 0.0267 -0.1068 0.8932 1 -0.4294 0.4294 -0.4026 0.5974 0 -0.4022 0.4022 -0.4022 0.5978 0 0 0
1 8 2358 0 0 0 0 0 1.0121 0 0.9508 0.1688 0.2941 -0.1621 0.8379 0.3798 0.9583 0.9495 0.1715 0.3932 0.1158 1.1158 0.4988 0.96 0.9623 0.1694 0.252 Inf Inf 0.3315 0.845 -0.2104 0.2104 -0.8416 0.1584 0 -0.1167 0.1167 -0.1094 0.8906 1 -0.0598 0.0598 -0.0598 0.9402 1 0 0
1 9 2065 0 0 0 0 0 1.0055 0 0.9654 -0.073 0.2446 -0.0243 0.9757 0.3506 0.9167 0.9397 -0.1004 0.3872 -0.0283 0.9717 0.5056 0.93 0.9579 -0.2392 0.3432 -Inf -Inf 0.3968 0.745 -0.1142 0.1142 -0.4567 0.5433 1 -0.3539 0.3539 -0.3318 0.6682 0 -0.3077 0.3077 -0.3077 0.6923 0 0 0
1 10 3333 0 0 0 0 0 1.008 0 0.9747 -0.0315 0.2348 0.452 1.452 0.302 1 0.9527 -0.04 0.3741 -0.0243 0.9757 0.4887 0.955 0.9899 -0.0385 0.2085 -Inf -Inf 0.2716 1 -0.011 0.011 -0.0442 0.9558 1 0.0972 0.0972 0.0911 1.0911 1 0.0858 0.0858 0.0858 1.0858 1 0 0
