cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 1 3432 0 0 0 0 0 1.0088 0 0.9897 -0.1447 0.2063 -1.5448 -0.5448 0.2701 1 0.9632 -0.1106 0.424 0.1479 1.1479 0.5365 0.9467 0.9868 -0.2387 0.3018 -Inf -Inf 0.3835 0.8633 -0.0044 0.0044 -0.0089 0.9911 1 -0.2842 0.2842 -0.2131 0.7869 1 -0.2177 0.2177 -0.2177 0.7823 1 0 0
4 2 3636 0 0 0 0 0 1.0085 0 0.9769 -0.7824 0.7824 -1.103 -0.103 0.8341 0.2083 0.9679 -0.7399 0.7956 -5.1361 -4.1361 0.9004 0.69 0.9956 -0.8155 0.8155 -Inf -Inf 0.8487 0.4533 0.0013 0.0013 0.0025 1.0025 1 -0.0852 0.0852 -0.0639 0.9361 1 -0.0752 0.0752 -0.0752 0.9248 1 0 0
4 3 3423 0 0 0 0 0 1.0094 0 0.986 -0.115 0.2414 -0.3854 0.6146 0.2899 1 0.9724 -0.1995 0.4402 0.1482 1.1482 0.5697 0.95 0.9937 0.0459 0.1586 -Inf -Inf 0.198 1 0.0969 0.0969 0.1937 1.1937 1 -0.0875 0.0875 -0.0657 0.9343 1 -0.2101 0.2101 -0.2101 0.7899 1 0 0
4 4 3181 3 0 0 0 0 1.0061 0 0.9721 -0.1094 0.2015 0.1388 1.1388 0.2415 0.9583 0.969 -0.1388 0.4321 -0.2336 0.7664 0.5467 0.98 0.9933 -0.0527 0.1686 -Inf -Inf 0.2332 1 0.0046 0.0046 0.0092 1.0092 1 0.0895 0.0895 0.0671 1.0671 1 0.0487 0.0487 0.0487 1.0487 1 1 0
4 5 3298 1 0 0 0 0 1.0062 0 0.9853 -0.605 0.6069 0.1475 1.1475 0.6817 0.5833 0.9691 -0.475 0.6392 0.1378 1.1378 0.7627 0.82 0.9931 -0.6522 0.6522 -Inf -Inf 0.6868 0.5833 0.0343 0.0343 0.0686 1.0686 1 -0.256 0.256 -0.192 0.808 1 -0.2397 0.2397 -0.2397 0.7603 1 1 0
4 6 2693 1 0 0 0 0 1.0113 0 0.9459 -0.281 0.3602 -0.4312 0.5688 0.4269 0.8333 0.962 -0.2631 0.4986 0.8865 1.8865 0.6162 0.9 0.9942 -0.4868 0.4868 -Inf -Inf 0.5887 0.5167 -0.0905 0.0905 -0.1809 0.8191 1 -0.5094 0.5094 -0.382 0.618 0 -0.3209 0.3209 -0.3209 0.6791 0 1 0
4 7 3343 2 0 0 0 0 1.0043 0 0.9889 0.106 0.2105 0.0019 1.0019 0.259 1 0.9695 0.1991 0.4339 0.0696 1.0696 0.5577 0.9367 0.9904 0.3801 0.3913 Inf Inf 0.4832 0.8 0.0126 0.0126 0.0251 1.0251 1 -0.2336 0.2336 -0.1752 0.8248 1 -0.1986 0.1986 -0.1986 0.8014 1 1 0
4 8 3977 0 0 0 0 0 1.0075 0 0.9786 -0.1508 0.2027 0.0599 1.0599 0.2515 1 0.9641 -0.156 0.4636 0.0189 1.0189 0.5819 0.9533 0.9923 -0.0025 0.1794 Inf Inf 0.2118 1 0.1052 0.1052 0.2103 1.2103 1 0.5016 0.5016 0.3762 1.3762 1 0.1421 0.1421 0.1421 1.1421 1 0 0
4 9 2244 1 0 0 0 0 1.0093 0 0.9392 0.628 0.6396 -0.5093 0.4907 0.6942 0.4583 0.9621 0.6347 0.7055 -0.1512 0.8488 0.8435 0.75 0.9841 0.6116 0.6116 Inf Inf 0.6832 0.4233 -0.1663 0.1663 -0.3326 0.6674 0 -0.535 0.535 -0.4012 0.5988 0 -0.2967 0.2967 -0.2967 0.7033 0 1 0
4 10 3108 1 0 0 0 0 1.0144 0 0.9695 -0.3184 0.3659 0.0039 1.0039 0.4211 0.8333 0.9609 -0.3538 0.5141 -9.3361 -8.3361 0.6451 0.92 0.99 -0.4342 0.441 -Inf -Inf 0.5044 0.78 -0.0651 0.0651 -0.1301 0.8699 1 -0.1418 0.1418 -0.1063 0.8937 1 -0.0443 0.0443 -0.0443 0.9557 1 1 0
