cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
1 1 2692 0 0 0 0 0 1.0051 0 0.982 -1.0067 1.0067 -0.0604 0.9396 1.064 0.25 0.9324 -0.9004 0.9162 8.193 9.193 1.0306 0.54 0.9844 -0.8964 0.8964 20502886118976.1 20502886118977.1 0.9227 0.21 0.0269 0.0269 0.1075 1.1075 1 -0.022 0.022 -0.0206 0.9794 1 -0.0475 0.0475 -0.0475 0.9525 1 0 0
1 2 3282 0 0 0 0 0 1.0042 0 0.9763 0.3198 0.357 -0.71 0.29 0.4586 0.9167 0.9462 0.3005 0.4176 0.6898 1.6898 0.5282 0.955 0.9876 0.3759 0.3925 -6765316698880.2 -6765316698879.2 0.4556 0.76 -0.0026 0.0026 -0.0104 0.9896 1 -0.1172 0.1172 -0.1099 0.8901 1 -0.1179 0.1179 -0.1179 0.8821 1 0 0
1 3 3511 0 0 0 0 0 1.009 0 0.9509 0.4663 0.4663 -0.4932 0.5068 0.5196 0.7083 0.9511 0.4124 0.5121 0.0272 1.0272 0.6164 0.89 0.9815 0.3853 0.3853 -10409366302330.3 -10409366302329.3 0.4355 0.935 0.0592 0.0592 0.2367 1.2367 1 0.223 0.223 0.2091 1.2091 1 0.1511 0.1511 0.1511 1.1511 1 0 0
1 4 2628 0 0 0 0 0 1.0203 0 0.983 -0.4246 0.4319 -0.1306 0.8694 0.5389 0.7917 0.9515 -0.4116 0.5089 0.2926 1.2926 0.6247 0.88 0.9828 -0.4776 0.4776 14290082149315.8 14290082149316.8 0.5203 0.78 -0.0471 0.0471 -0.1886 0.8114 1 0.0026 0.0026 0.0024 1.0024 1 0.0153 0.0153 0.0153 1.0153 1 0 0
1 5 3380 0 0 0 0 0 1.0077 0 0.9789 0.6177 0.6177 -0.9529 0.0471 0.6507 0.5417 0.9526 0.6522 0.6989 -0.1633 0.8367 0.802 0.75 0.976 0.7303 0.7443 -14813943375083.4 -14813943375082.4 0.7589 0.135 -0.0255 0.0255 -0.1022 0.8978 1 0.2931 0.2931 0.2747 1.2747 1 0.2786 0.2786 0.2786 1.2786 1 0 0
1 6 3792 0 0 0 0 0 1.013 0 0.9818 0.1539 0.2085 -1.3321 -0.3321 0.2384 1 0.9473 0.1181 0.3896 -0.1416 0.8584 0.4941 0.96 0.9521 0.0579 0.2105 341041142347.661 341041142348.661 0.2988 1 0.0547 0.0547 0.2189 1.2189 1 0.4647 0.4647 0.4357 1.4357 0 0.3715 0.3715 0.3715 1.3715 1 0 0
1 7 2966 0 0 0 0 0 1.0061 0 0.9849 -0.2531 0.2852 0.0095 1.0095 0.3526 1 0.9482 -0.2898 0.4173 0.0184 1.0184 0.5172 0.94 0.9461 -0.2105 0.3121 3693941004911.51 3693941004912.51 0.3721 0.96 -0.0489 0.0489 -0.1957 0.8043 1 -0.0015 0.0015 -0.0014 0.9986 1 0.0113 0.0113 0.0113 1.0113 1 0 0
1 8 3759 0 0 0 0 0 1.0051 0 0.9528 0.111 0.2639 -0.2643 0.7357 0.351 0.9167 0.9388 0.1471 0.4021 1.965 2.965 0.521 0.94 0.9326 0.1439 0.3001 -11283294572164.2 -11283294572163.2 0.374 0.86 -0.1535 0.1535 -0.614 0.386 1 -0.225 0.225 -0.2109 0.7891 1 -0.1751 0.1751 -0.1751 0.8249 1 0 0
1 9 3231 0 0 0 0 0 1.004 0 0.9739 -0.1434 0.2447 -0.0326 0.9674 0.3413 0.9583 0.9469 -0.158 0.3898 -24.4599 -23.4599 0.4961 0.955 0.9848 -0.2981 0.3088 2857884840429.31 2857884840430.31 0.3402 1 -0.0371 0.0371 -0.1484 0.8516 1 -0.3158 0.3158 -0.2961 0.7039 0 -0.2919 0.2919 -0.2919 0.7081 0 0 0
1 10 2710 0 0 0 0 0 1.0046 0 0.9813 -0.0884 0.2147 -0.0945 0.9055 0.2731 1 0.9456 -0.1031 0.3648 0.2292 1.2292 0.4678 0.97 0.9509 -0.1082 0.3029 5727143534202.51 5727143534203.51 0.3566 0.91 -0.0532 0.0532 -0.2127 0.7873 1 -0.0702 0.0702 -0.0658 0.9342 1 -0.0525 0.0525 -0.0525 0.9475 1 0 0
