cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
2 1 3577 0 0 0 0 0 1.0103 0 0.9721 0.1453 0.2109 -0.1179 0.8821 0.2711 0.9583 0.9504 0.1536 0.3728 0.0775 1.0775 0.4748 0.9733 0.9755 0.2227 0.2835 5876384604524.8 5876384604525.8 0.3082 1 0.0584 0.0584 0.2335 1.2335 1 0.1005 0.1005 0.0942 1.0942 1 0.0474 0.0474 0.0474 1.0474 1 0 0
2 2 3145 2 0 0 0 0 1.0068 0 0.9733 -0.5877 0.5877 -0.3025 0.6975 0.6191 0.4167 0.943 -0.5833 0.6428 2.2563 3.2563 0.7487 0.77 0.9639 -0.5309 0.5338 -37013705908665.7 -37013705908664.7 0.5876 0.63 0.0901 0.0901 0.3603 1.3603 1 -0.117 0.117 -0.1097 0.8903 1 -0.1669 0.1669 -0.1669 0.8331 1 1 0
2 3 2647 0 0 0 4 0 1.0071 0 0.9739 0.0459 0.2112 0.5127 1.5127 0.2488 1 0.939 0.0291 0.3963 -0.6433 0.3567 0.5135 0.9433 0.9829 0.1636 0.1947 7941694298731.96 7941694298732.96 0.2443 1 0.0281 0.0281 0.1122 1.1122 1 -0.1099 0.1099 -0.103 0.897 1 -0.1237 0.1237 -0.1237 0.8763 1 0 1
2 4 3256 5 0 0 0 0 1.0108 0 0.9808 0.1556 0.1985 -0.0023 0.9977 0.2364 1 0.9385 0.13 0.3849 -0.5095 0.4905 0.4951 0.95 0.9735 0.2746 0.3006 13022861898278.1 13022861898279.1 0.3725 0.8767 0.1073 0.1073 0.4293 1.4293 1 -0.0692 0.0692 -0.0649 0.9351 1 -0.1367 0.1367 -0.1367 0.8633 1 1 0
2 5 2437 0 0 0 27 0 1.0171 0 0.9492 -0.1063 0.2369 1.8033 2.8033 0.2756 1 0.9404 -0.0698 0.3629 0.534 1.534 0.4565 0.97 0.9576 -0.1323 0.2666 -21617467083620 -21617467083619 0.3022 1 -0.0476 0.0476 -0.1906 0.8094 1 -0.065 0.065 -0.061 0.939 1 -0.0452 0.0452 -0.0452 0.9548 1 0 1
2 6 2540 0 0 4 0 0 1.0177 0 0.9879 -0.52 0.52 -0.3081 0.6919 0.5493 0.625 0.9444 -0.5064 0.5728 -0.3366 0.6634 0.6926 0.8433 0.9964 -0.4758 0.4758 -11655909818495.8 -11655909818494.8 0.4907 0.78 -0.1176 0.1176 -0.4706 0.5294 1 0.1374 0.1374 0.1288 1.1288 1 0.1767 0.1767 0.1767 1.1767 1 0 1
2 7 3573 0 0 0 0 0 1.0049 0 0.9828 -0.1993 0.2421 0.2332 1.2332 0.2808 0.9583 0.9484 -0.1611 0.3907 -0.2331 0.7669 0.4839 0.96 0.9888 -0.0896 0.139 -11544607165126.3 -11544607165125.3 0.1704 1 0.1148 0.1148 0.4591 1.4591 1 0.027 0.027 0.0253 1.0253 1 -0.0593 0.0593 -0.0593 0.9407 1 0 0
2 8 2698 0 0 0 0 0 1.0078 0 0.9797 0.4474 0.4505 -0.243 0.757 0.5085 0.7083 0.9416 0.4283 0.4995 -4.4787 -3.4787 0.6169 0.8667 0.9902 0.388 0.388 13548402969967.2 13548402969968.2 0.4283 0.8767 0.0127 0.0127 0.0508 1.0508 1 -0.0941 0.0941 -0.0882 0.9118 1 -0.1009 0.1009 -0.1009 0.8991 1 0 0
2 9 2977 0 0 5 0 0 1.0147 0 0.9891 -0.455 0.455 0.0286 1.0286 0.4773 0.75 0.9375 -0.5279 0.5964 -1.1496 -0.1496 0.7223 0.8167 0.9724 -0.661 0.661 -21517263299767.4 -21517263299766.3 0.6983 0.2867 -0.0229 0.0229 -0.0916 0.9084 1 0.1904 0.1904 0.1785 1.1785 1 0.1847 0.1847 0.1847 1.1847 1 0 1
2 10 3691 0 0 0 1 0 1.0165 0 0.9571 0.377 0.3805 0.4597 1.4597 0.463 0.6667 0.9467 0.3467 0.4785 -0.2902 0.7098 0.588 0.8867 0.9603 0.1415 0.2716 6402250017095.66 6402250017096.66 0.3046 1 0.1515 0.1515 0.6061 1.6061 0 -0.0669 0.0669 -0.0627 0.9373 1 -0.1683 0.1683 -0.1683 0.8317 1 0 1
2 11 3426 0 0 0 0 0 1.0047 0 0.9856 0.4471 0.4471 -0.8569 0.1431 0.4819 0.75 0.9468 0.4233 0.5059 0.3477 1.3477 0.6165 0.9067 0.9838 0.3553 0.3554 10404396882966 10404396882967 0.3934 0.9133 -0.0895 0.0895 -0.3579 0.6421 1 0.0817 0.0817 0.0766 1.0766 1 0.1113 0.1113 0.1113 1.1113 1 0 0
2 12 2479 0 0 3 134 0 1.0084 0 0.9732 -0.2093 0.2415 -0.4692 0.5308 0.2886 1 0.9469 -0.2703 0.4279 3.2648 4.2648 0.5504 0.9367 0.9877 -0.3936 0.3936 -24501812284825.9 -24501812284824.9 0.4209 0.79 -0.1298 0.1298 -0.5192 0.4808 1 0.1356 0.1356 0.1272 1.1272 1 0.1783 0.1783 0.1783 1.1783 1 0 1
2 13 2865 5 0 0 0 0 1.0066 0 0.9834 -0.4425 0.452 -0.3665 0.6335 0.5014 0.75 0.9441 -0.4007 0.4923 0.0435 1.0435 0.621 0.89 0.9751 -0.5454 0.5454 -26670755131690.5 -26670755131689.5 0.5856 0.62 0.074 0.074 0.296 1.296 1 0.1013 0.1013 0.095 1.095 1 0.0381 0.0381 0.0381 1.0381 1 1 0
2 14 2757 3 0 0 0 0 1.0062 0 0.9827 0.1051 0.2417 0.1617 1.1617 0.3 1 0.942 0.0544 0.3868 0.0323 1.0323 0.4868 0.96 0.9605 0.1767 0.2501 4593317130195.3 4593317130196.3 0.3273 0.91 -0.0049 0.0049 -0.0198 0.9802 1 0.0501 0.0501 0.0469 1.0469 1 0.0422 0.0422 0.0422 1.0422 1 1 0
2 15 3277 1 0 0 0 0 1.0085 0 0.968 0.3645 0.3697 -0.4678 0.5322 0.4758 0.8333 0.9569 0.3763 0.4682 0.0796 1.0796 0.5702 0.9167 0.9864 0.3182 0.3301 19588980207432.1 19588980207433.1 0.3728 1 0.0829 0.0829 0.3316 1.3316 1 0.0949 0.0949 0.089 1.089 1 0.0245 0.0245 0.0245 1.0245 1 1 0
2 16 2561 0 0 0 0 0 1.0054 0 0.9851 -0.6972 0.6972 -0.048 0.952 0.7638 0.375 0.9445 -0.6711 0.699 7.281 8.281 0.8146 0.7067 0.976 -0.6566 0.6566 -30169381823397.1 -30169381823396.1 0.7 0.3733 0.0246 0.0246 0.0984 1.0984 1 0.0712 0.0712 0.0667 1.0667 1 0.0443 0.0443 0.0443 1.0443 1 0 0
2 17 3318 1 0 0 0 0 1.0114 0 0.9606 0.4944 0.4946 0.1032 1.1032 0.5467 0.6667 0.9392 0.5062 0.5844 -0.0769 0.9231 0.7032 0.8267 0.9834 0.5018 0.5018 17681175363479.5 17681175363480.5 0.5302 0.72 0.1036 0.1036 0.4142 1.4142 1 -0.0569 0.0569 -0.0533 0.9467 1 -0.1237 0.1237 -0.1237 0.8763 1 1 0
2 18 3234 0 0 3 0 0 1.0063 0 0.9666 0.2578 0.2753 13.9431 14.9431 0.3457 0.9167 0.9538 0.3036 0.4363 -7.0486 -6.0486 0.5346 0.9567 0.9857 0.3703 0.3703 8147918755932.91 8147918755933.91 0.4045 0.9233 -0.1413 0.1413 -0.565 0.435 0 0.2582 0.2582 0.242 1.242 1 0.3017 0.3017 0.3017 1.3017 1 0 1
2 19 2478 0 0 0 255 0 1.0152 0 0.9842 -0.1193 0.1699 0.3746 1.3746 0.2136 1 0.9518 -0.1052 0.3397 0.0429 1.0429 0.4253 0.9867 0.9896 -0.2732 0.2732 -5126875392184.38 -5126875392183.38 0.3065 1 -0.0447 0.0447 -0.1787 0.8213 1 -0.0469 0.0469 -0.044 0.956 1 -0.0295 0.0295 -0.0295 0.9705 1 0 1
2 20 3509 0 0 2 0 0 1.0082 0 0.9739 0.1729 0.2146 -0.0117 0.9883 0.2808 0.9583 0.949 0.1942 0.4006 -0.0634 0.9366 0.5225 0.9467 0.974 0.1323 0.2231 16905744017219.8 16905744017220.8 0.2593 1 -0.0896 0.0896 -0.3586 0.6414 1 0.3031 0.3031 0.2842 1.2842 1 0.3271 0.3271 0.3271 1.3271 0 0 1
2 21 2784 0 0 0 0 0 1.0071 0 0.9732 0.4464 0.4464 -0.6735 0.3265 0.4872 0.75 0.9454 0.3921 0.5076 -0.063 0.937 0.6356 0.85 0.9844 0.3075 0.3102 -3959755734144.21 -3959755734143.21 0.3533 1 -0.0366 0.0366 -0.1464 0.8536 1 0.0307 0.0307 0.0288 1.0288 1 0.0404 0.0404 0.0404 1.0404 1 0 0
2 22 2538 0 0 0 0 0 1.0225 0 0.9796 0.4811 0.4919 -0.9273 0.0727 0.5337 0.625 0.945 0.4815 0.5505 0.0239 1.0239 0.6618 0.8333 0.9526 0.4225 0.4401 26158315420597.1 26158315420598.1 0.523 0.6467 0.0353 0.0353 0.1411 1.1411 1 -0.1026 0.1026 -0.0962 0.9038 1 -0.1209 0.1209 -0.1209 0.8791 1 0 0
2 23 3157 0 0 0 0 0 1.0225 0 0.987 0.1247 0.1898 -0.0059 0.9941 0.2299 1 0.9449 0.1196 0.3643 0.0445 1.0445 0.4591 0.97 0.9449 0.1734 0.3226 6026513129074.96 6026513129075.96 0.3543 1 0.0655 0.0655 0.2618 1.2618 1 -0.0318 0.0318 -0.0299 0.9701 1 -0.0754 0.0754 -0.0754 0.9246 1 0 0
2 24 2548 0 0 0 119 0 1.012 0 0.9848 -0.0527 0.2903 -0.0486 0.9514 0.4267 0.9583 0.948 -0.0207 0.3767 -0.795 0.205 0.4742 0.97 0.9724 0.0318 0.1752 -1493810503464.1 -1493810503463.1 0.2249 1 -0.0167 0.0167 -0.0667 0.9333 1 -0.2097 0.2097 -0.1966 0.8034 1 -0.1949 0.1949 -0.1949 0.8051 1 0 1
