cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
2 1 3406 30 0 0 0 210 1.0071 0 0.9822 0.1652 0.2017 -0.0747 0.9253 0.2478 1 0.9317 0.1592 0.392 0.7489 1.7489 0.4904 0.9533 0.9969 0.2369 0.2599 -0.182 0.818 0.2888 1 -0.0031 0.0031 -0.0126 0.9874 1 -0.1416 0.1416 -0.1328 0.8672 1 -0.1367 0.1367 -0.1367 0.8633 1 1 1
2 2 3089 29 0 0 130 0 1.0099 0 0.9711 -0.5081 0.5081 -0.3183 0.6817 0.5528 0.5417 0.9403 -0.5349 0.589 -0.1397 0.8603 0.6867 0.79 0.9979 -0.4742 0.4742 -0.0279 0.9721 0.4773 0.49 -0.053 0.053 -0.2119 0.7881 1 0.0483 0.0483 0.0452 1.0452 1 0.0651 0.0651 0.0651 1.0651 1 1 1
2 3 2825 12 0 0 0 0 1.0031 0 0.9764 0.1147 0.2011 0.1798 1.1798 0.254 0.9583 0.9439 0.1081 0.3597 -0.2945 0.7055 0.4524 0.96 0.9995 0.2426 0.2426 0.0588 1.0588 0.2446 1 -0.0909 0.0909 -0.3636 0.6364 1 -0.0466 0.0466 -0.0437 0.9563 1 -0.0111 0.0111 -0.0111 0.9889 1 1 0
2 4 3047 16 0 0 77 0 1.0137 0 0.9779 0.2197 0.2413 0.1971 1.1971 0.2901 0.9583 0.9392 0.2336 0.4047 0.2984 1.2984 0.5114 0.94 0.9974 0.3874 0.3874 -0.0191 0.9809 0.3915 1 -0.0256 0.0256 -0.1023 0.8977 1 0.0073 0.0073 0.0069 1.0069 1 0.0144 0.0144 0.0144 1.0144 1 1 1
2 5 3079 16 0 0 0 0 1.0078 0 0.985 -0.0225 0.1205 0.8761 1.8761 0.1437 1 0.9281 0.0312 0.3582 0.1692 1.1692 0.4593 0.9533 0.9971 -0.0244 0.0525 -0.0318 0.9682 0.0654 1 -0.1025 0.1025 -0.4102 0.5898 1 -0.1741 0.1741 -0.1632 0.8368 1 -0.1321 0.1321 -0.1321 0.8679 1 1 0
2 6 2682 7 0 0 238 0 1.0183 0 0.9809 -0.4545 0.4545 -0.2846 0.7154 0.5062 0.75 0.9299 -0.4376 0.5307 -0.3901 0.6099 0.6518 0.86 0.9998 -0.4014 0.4014 -0.0238 0.9762 0.4037 1 -0.1152 0.1152 -0.4606 0.5394 1 0.0945 0.0945 0.0886 1.0886 1 0.134 0.134 0.134 1.134 1 1 1
2 7 2987 14 0 0 211 0 1.0157 0 0.9629 -0.1546 0.2597 0.1025 1.1025 0.3238 0.9583 0.9413 -0.1439 0.3583 -0.7968 0.2032 0.4606 0.9533 0.9982 -0.0731 0.0856 -0.0647 0.9353 0.1136 1 0.0466 0.0466 0.1864 1.1864 1 -0.0792 0.0792 -0.0743 0.9257 1 -0.1047 0.1047 -0.1047 0.8953 1 1 1
2 8 2720 12 0 0 0 0 1.0083 0 0.9713 0.4918 0.4918 -0.4184 0.5816 0.5705 0.7083 0.9415 0.4456 0.5245 -0.3039 0.6961 0.6259 0.8533 0.9971 0.4099 0.4099 -0.0652 0.9348 0.4145 0.7633 -0.0772 0.0772 -0.3087 0.6913 1 -0.172 0.172 -0.1612 0.8388 1 -0.1374 0.1374 -0.1374 0.8626 1 1 0
2 9 3343 13 0 0 0 0 1.014 0 0.9841 -0.4014 0.4014 -0.097 0.903 0.4328 0.7917 0.9368 -0.4683 0.5389 5.2977 6.2977 0.6486 0.87 0.993 -0.5954 0.5954 -0.1123 0.8877 0.604 0.24 0.0011 0.0011 0.0042 1.0042 1 5e-04 5e-04 5e-04 1.0005 1 -0.0065 0.0065 -0.0065 0.9935 1 1 0
2 10 3644 17 0 0 52 0 1.0108 0 0.9804 0.4296 0.4296 0.9587 1.9587 0.4676 0.7083 0.9343 0.4276 0.4952 0.0054 1.0054 0.6124 0.87 0.9865 0.2234 0.2234 -0.2581 0.7419 0.284 0.9567 0.0749 0.0749 0.2996 1.2996 1 0.0882 0.0882 0.0827 1.0827 1 0.0263 0.0263 0.0263 1.0263 1 1 1
2 11 3198 9 0 0 0 0 1.0083 0 0.9861 0.5389 0.5389 -0.9832 0.0168 0.5726 0.5833 0.935 0.6034 0.66 0.0141 1.0141 0.7686 0.7933 0.9975 0.5438 0.5438 0.0383 1.0383 0.5488 0.26 -0.0236 0.0236 -0.0943 0.9057 1 0.3108 0.3108 0.2914 1.2914 1 0.2989 0.2989 0.2989 1.2989 1 1 0
2 12 3765 5 0 0 0 0 1.0182 0 0.9702 -0.1091 0.176 -0.7799 0.2201 0.2351 1 0.934 -0.0836 0.3768 0.344 1.344 0.4853 0.9667 0.9942 -0.2012 0.2012 0.0756 1.0756 0.2177 1 -0.1385 0.1385 -0.5541 0.4459 0 0.1932 0.1932 0.1811 1.1811 1 0.2381 0.2381 0.2381 1.2381 1 1 0
2 13 5648 1 1 1007 625 599 11.3601 605 0.8813 -0.3324 0.6486 -0.0932 0.9068 0.7877 0.875 0.7872 -0.5237 0.8493 77.8898 78.8898 1.145 0.94 0.9996 -30.3152 43.2522 56.9585 57.9585 52.5976 0.8367 0.274 0.274 1.096 2.096 1 1271.5558 1271.5558 1192.0835 1193.0835 1 1.6183 1.6183 1.6183 2.6183 1 1 1
