cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
4 1 4654 0 0 0 0 0 1.0028 0 0.9898 -0.136 0.199 -1.5067 -0.5067 0.2635 1 0.9632 -0.1036 0.4232 0.1497 1.1497 0.5345 0.9467 0.9879 -0.2256 0.2842 -Inf -Inf 0.3645 0.8733 -0.0063 0.0063 -0.0126 0.9874 1 -0.2701 0.2701 -0.2026 0.7974 1 -0.2057 0.2057 -0.2057 0.7943 1 0 0
4 2 4534 20 0 0 0 0 1.0072 0 0.9772 -0.772 0.772 -1.0836 -0.0836 0.8225 0.2917 0.968 -0.7372 0.7906 -5.1743 -4.1743 0.8955 0.6967 0.9889 -0.8131 0.8131 -Inf -Inf 0.8635 0.4167 0.0016 0.0016 0.0033 1.0033 1 -0.0265 0.0265 -0.0198 0.9802 1 -0.0333 0.0333 -0.0333 0.9667 1 1 0
4 3 5305 0 0 609 0 0 1.0058 0 0.9861 -0.1303 0.2417 -0.3978 0.6022 0.2901 1 0.9721 -0.2158 0.444 0.1693 1.1693 0.5726 0.95 0.9951 0.0308 0.1433 -Inf -Inf 0.174 1 0.0823 0.0823 0.1647 1.1647 1 -0.042 0.042 -0.0315 0.9685 1 -0.1603 0.1603 -0.1603 0.8397 1 0 1
4 4 4681 1 0 2 0 0 1.0047 0 0.9723 -0.1006 0.1981 0.1374 1.1374 0.2378 0.9583 0.9692 -0.1314 0.4308 -0.2156 0.7844 0.5445 0.9767 0.9944 -0.0465 0.1584 -Inf -Inf 0.2223 1 0.0016 0.0016 0.0033 1.0033 1 0.1212 0.1212 0.0909 1.0909 1 0.0745 0.0745 0.0745 1.0745 1 1 1
4 5 4512 4 0 0 0 0 1.006 0 0.9856 -0.5896 0.5922 0.1417 1.1417 0.6646 0.625 0.9694 -0.4648 0.6252 0.1493 1.1493 0.7495 0.8367 0.9874 -0.6469 0.6469 -Inf -Inf 0.703 0.4633 0.0263 0.0263 0.0526 1.0526 1 -0.2245 0.2245 -0.1684 0.8316 1 -0.2087 0.2087 -0.2087 0.7913 1 1 0
4 6 4572 1 0 159 0 0 1.0082 0 0.9459 -0.2768 0.3568 -0.4255 0.5745 0.4233 0.8333 0.962 -0.2621 0.4959 0.859 1.859 0.6134 0.9 0.9934 -0.4873 0.4873 -Inf -Inf 0.5875 0.5333 -0.0928 0.0928 -0.1856 0.8144 1 -0.499 0.499 -0.3742 0.6258 0 -0.3116 0.3116 -0.3116 0.6884 0 1 1
4 7 4380 0 0 0 0 0 1.0055 0 0.989 0.1108 0.2066 0.0252 1.0252 0.2551 1 0.9696 0.2056 0.4314 0.0729 1.0729 0.555 0.9467 0.9921 0.3808 0.3913 Inf Inf 0.4674 0.8333 -0.0018 0.0018 -0.0036 0.9964 1 -0.203 0.203 -0.1523 0.8477 1 -0.16 0.16 -0.16 0.84 1 0 0
4 8 6018 21 0 1565 0 0 1.0044 0 0.9793 -0.1429 0.2005 0.0717 1.0717 0.2446 1 0.9642 -0.1488 0.4661 0.0277 1.0277 0.5846 0.9533 0.9873 -0.0017 0.2218 Inf Inf 0.2738 1 0.1026 0.1026 0.2052 1.2052 1 0.5602 0.5602 0.4201 1.4201 0 0.1855 0.1855 0.1855 1.1855 1 1 1
4 9 3951 0 0 0 0 0 1.0092 0 0.9396 0.6185 0.6304 -0.4946 0.5054 0.6851 0.4583 0.9621 0.6285 0.6991 -0.142 0.858 0.8377 0.77 0.9839 0.6071 0.6071 Inf Inf 0.68 0.51 -0.1786 0.1786 -0.3571 0.6429 0 -0.5233 0.5233 -0.3924 0.6076 0 -0.2801 0.2801 -0.2801 0.7199 0 0 0
4 10 4578 0 0 0 0 0 1.0132 0 0.9696 -0.2971 0.3492 0.056 1.056 0.4052 0.8333 0.9609 -0.3358 0.5045 -8.3484 -7.3484 0.6353 0.9167 0.9906 -0.4186 0.425 -Inf -Inf 0.4862 0.8033 -0.0683 0.0683 -0.1365 0.8635 1 -0.1388 0.1388 -0.1041 0.8959 1 -0.0383 0.0383 -0.0383 0.9617 1 0 0
4 11 4129 5 0 0 0 0 1.004 0 0.969 0.6705 0.672 0.7458 1.7458 0.7202 0.4167 0.9649 0.677 0.7313 -0.2452 0.7548 0.8485 0.7767 0.9934 0.8972 0.8972 Inf Inf 0.9199 0.1967 -0.0879 0.0879 -0.1758 0.8242 1 -0.1996 0.1996 -0.1497 0.8503 1 -0.0684 0.0684 -0.0684 0.9316 1 1 0
4 12 6815 0 0 2992 0 0 1.0024 0 0.9763 -0.0199 0.1936 0.0406 1.0406 0.2408 0.9583 0.9723 -0.0371 0.378 -0.0768 0.9232 0.498 0.9733 0.9787 -0.1496 0.3209 -Inf -Inf 0.3884 1 0.0349 0.0349 0.0698 1.0698 1 0.193 0.193 0.1447 1.1447 1 0.075 0.075 0.075 1.075 1 0 1
4 13 4232 0 0 8 0 0 1.009 0 0.9725 0.232 0.2787 -6.7299 -5.7299 0.3556 0.875 0.9639 0.1776 0.4456 -0.0196 0.9804 0.5962 0.94 0.9864 0.2097 0.2851 Inf Inf 0.3511 0.9 -0.0272 0.0272 -0.0544 0.9456 1 -0.1658 0.1658 -0.1243 0.8757 1 -0.1037 0.1037 -0.1037 0.8963 1 0 1
4 14 3627 2 0 0 0 0 1.0077 0 0.9752 0.2945 0.3397 0.1673 1.1673 0.5052 0.9167 0.9633 0.2445 0.4706 -0.1679 0.8321 0.5935 0.91 0.9827 0.3612 0.4494 Inf Inf 0.511 0.7367 -0.1735 0.1735 -0.3469 0.6531 0 -0.4218 0.4218 -0.3164 0.6836 0 -0.1923 0.1923 -0.1923 0.8077 1 1 0
