cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rbias beta.rbias2 beta.rmse beta.cover theta.cor theta.bias theta.abbias theta.rbias theta.rbias2 theta.rmse theta.cover attra.cor attra.bias attra.abbias attra.rbias attra.rbias2 attra.rmse attra.cover lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover corrupt efficiency
3 1 3820 0 0 1159 0 0 1.0083 0 0.9918 0.2528 0.2926 -0.0437 0.9563 0.3512 0.9583 0.9624 0.2566 0.468 0.0355 1.0355 0.5828 0.905 0.9417 0.0523 0.4223 1165028121948.74 1165028121949.74 0.4788 0.945 -0.0449 0.0449 -0.0898 0.9102 1 -0.1077 0.1077 -0.0808 0.9192 1 -0.0444 0.0444 -0.0444 0.9556 1 0 1
3 2 4311 0 0 2879 0 0 1.0052 0 0.9762 -0.8559 0.8559 -1.155 -0.155 0.8875 0.1667 0.964 -0.8416 0.8679 -0.7746 0.2254 0.9736 0.595 0.9587 -0.7786 0.7789 14129973987282.3 14129973987283.3 0.8789 0.55 -0.126 0.126 -0.252 0.748 1 -0.2374 0.2374 -0.178 0.822 1 -0.0719 0.0719 -0.0719 0.9281 1 0 1
3 3 3690 2 0 491 0 0 1.0038 0 0.9794 -0.0611 0.1986 -0.0752 0.9248 0.2667 1 0.9599 -0.1054 0.3865 -0.0272 0.9728 0.4987 0.965 0.9699 0.0416 0.2666 -145795237030.92 -145795237029.92 0.3494 1 -0.0651 0.0651 -0.1301 0.8699 1 -0.3132 0.3132 -0.2349 0.7651 1 -0.1865 0.1865 -0.1865 0.8135 1 1 1
3 4 4990 3 0 2997 0 0 1.0073 0 0.9818 -0.0152 0.2191 -0.2072 0.7928 0.2738 1 0.9617 -0.0203 0.4031 -0.0075 0.9925 0.5093 0.965 0.9904 -0.3211 0.3296 1577018083262.82 1577018083263.82 0.3771 1 0.0952 0.0952 0.1904 1.1904 1 -0.3047 0.3047 -0.2285 0.7715 1 -0.3619 0.3619 -0.3619 0.6381 0 1 1
3 5 4000 0 0 1186 0 0 1.0077 0 0.9619 -0.1406 0.2337 -1.1807 -0.1807 0.2854 1 0.9536 -0.0738 0.4056 0.4293 1.4293 0.5343 0.945 0.9669 -0.0179 0.3444 7854922433629.63 7854922433630.63 0.3868 1 -0.1581 0.1581 -0.3161 0.6839 1 -0.157 0.157 -0.1177 0.8823 1 0.0265 0.0265 0.0265 1.0265 1 0 1
3 6 3674 1 0 674 0 0 1.0091 0 0.962 0.1998 0.2496 -14.6339 -13.6339 0.3241 0.9583 0.9538 0.2558 0.493 0.2154 1.2154 0.6179 0.89 0.9824 0.3782 0.4324 -4517107408239.89 -4517107408238.89 0.4775 0.985 -0.0517 0.0517 -0.1033 0.8967 1 -0.5764 0.5764 -0.4323 0.5677 0 -0.4065 0.4065 -0.4065 0.5935 0 1 1
3 7 4142 0 0 1334 0 0 1.0071 0 0.9883 0.0066 0.137 -0.5928 0.4072 0.1671 1 0.9561 0.0039 0.3808 -0.1126 0.8874 0.4819 0.965 0.9712 -0.0861 0.3425 3668360160902.56 3668360160903.56 0.4117 1 -0.0076 0.0076 -0.0152 0.9848 1 -0.0724 0.0724 -0.0543 0.9457 1 -0.0621 0.0621 -0.0621 0.9379 1 0 1
3 8 4269 0 0 1851 0 0 1.0078 0 0.9556 0.2613 0.3049 -2.0576 -1.0576 0.4164 0.9167 0.9608 0.2067 0.4229 -5.2518 -4.2518 0.5589 0.94 0.9925 0.4163 0.4215 -7365715941808.42 -7365715941807.42 0.4732 1 -0.0222 0.0222 -0.0443 0.9557 1 -0.0827 0.0827 -0.062 0.938 1 -0.0516 0.0516 -0.0516 0.9484 1 0 1
3 9 4799 0 0 2738 0 0 1.0083 0 0.9706 -0.0199 0.3259 -0.1763 0.8237 0.419 0.875 0.9664 0.0064 0.4566 -0.4155 0.5845 0.6217 0.93 0.9956 -0.0984 0.142 2254767001733.74 2254767001734.74 0.1722 1 0.0344 0.0344 0.0689 1.0689 1 -0.2163 0.2163 -0.1622 0.8378 1 -0.2188 0.2188 -0.2188 0.7812 1 0 1
3 10 4216 0 0 1912 0 0 1.0026 0 0.9651 0.191 0.2436 0.0054 1.0054 0.3014 1 0.9502 0.1696 0.4128 0.3313 1.3313 0.5191 0.94 0.9852 0.1474 0.3494 -1464595009441.05 -1464595009440.05 0.4151 0.96 -0.0104 0.0104 -0.0209 0.9791 1 -0.1903 0.1903 -0.1427 0.8573 1 -0.1476 0.1476 -0.1476 0.8524 1 0 1
